         མཚན་བྱང་།,           ཤོག་གྲངས།,1,       མཆན་གྲངས།,         པར་མ།,                                                                              མཆན།,
སློབ་དཔོན་ཀཱ་མ་ལ་ཤཱི་ལའི་སྨོན་ལམ་མུ་གཉིས་མ་བཞུགས།,1707,2,1,,མཚན་བྱང་འདི་《སྡེ་》《ཅོ་》 ལྟར་བཀོད་ཅིང་།《པེ་》ལ་སློབ་དཔོན་ཀ་མ་ཤཱི་ལས་མཛད་པའི་སྨོན་ལམ་མུ་གཉིས་མ་བཞུགས་སོ། །ཞེས་དང་།《སྣར་》ལ་སློབ་དཔོན་ཀ་མ་ཤཱི་ལས་མཛད་པའི་སྨོན་ལམ་བཅུ་གཉིས་མ་བཞུགས་སོ། །ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,pགུས་པར།,
,,4,3,《པེ་》《སྣར་》,སྐྱེས།,
,,5,4,《པེ་》《སྣར་》,དག,
,,6,5,《པེ་》《སྣར་》,དག,
,,7,6,《པེ་》《སྣར་》,བརྩེ་བས། །སྟོང་།,
,,8,7,《སྣར་》,སྦྱིན།,
,,9,8,《པེ་》《སྣར་》,བཟློགས།,
,,10,9,《པེ་》《སྣར་》,ཁུར།,
,1708,11,1,《པེ་》,ཏུ་ཆུང་འགྱུར།,《སྣར་》,དུ་ཆུང་འགྱུར།
,,12,2,《པེ་》《སྣར་》,འགྱུར།,
,,13,3,《སྣར་》,བདེ།,
,,14,4,《པེ་》《སྣར་》,པའི།,
,,15,5,《པེ་》《སྣར་》,བསྲུངས།,
,,16,6,《པེ་》《སྣར་》,བདེ་ལ་འགོད།,
,,17,7,《པེ་》《སྣར་》,ཀ,,
,,18,8,《སྣར་》,ཅུ།,,
