མཚན་བྱང་།,ཤོག་གྲགས།,1,མཆན་གྲངས། ,པར་མ།,མཆན།,,,,,,
འཕགས་པ་སཱ་ལུ་ལྗང་པ་རྒྱ་ཆེར་འགྲེལ་པ།,380,2,1,《པེ་》《སྣར་》,སཱ་ལུ་ལྗང་པའི་མདོ་སྡེ་རྒྱ་ཆེར་བཤད་པ་སློབ་དཔོན་ཀ་མ་ལ་ཤཱི་ལས་མཛད་པ་བཞུགས་སོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《སྣར་》,ཏཱི།,,,,,,
,381,4,1,《སྣར་》,mསུ།,,,,,,
,,5,2,《སྣར་》,མེད།,,,,,,
,,6,3,《པེ་》《སྣར་》,གིས།,,,,,,
,382,7,1,《པེ་》《སྣར་》,བར།,,,,,,
,,8,2,《པེ་》《སྣར་》,སྤོང་།,,,,,,
,,9,3,《སྣར་》,pདགོས་པའོ།,,,,,,
,,10,4,《སྣར་》,གཉན།,,,,,,
,,11,5,《སྣར་》,པ།,,,,,,
,,12,6,《པེ་》《སྣར་》,ན།,,,,,,
,,13,7,《པེ་》《སྣར་》,ཏོ།,,,,,,
,,14,8,《པེ་》《སྣར་》,ཀྱི་ཐོས་ཀྱི།,,,,,,
,383,15,1,《པེ་》《སྣར་》,ཁྱེར།,,,,,,
,,16,2,《སྣར་》,འཆེར་བ།,,,,,,
,,17,3,《པེ་》《སྣར་》,mནི།,,,,,,
,,18,4,《པེ་》《སྣར་》,pཀྱི།,,,,,,
,,19,5,《སྣར་》,ཏོ།,,,,,,
,,20,6,《པེ་》,གྱིས།,,,,,,
,,21,7,《པེ་》《སྣར་》,བསྟན།,,,,,,
,384,22,1,《པེ་》《སྣར་》,བར།,,,,,,
,,23,2,《པེ་》《སྣར་》,mདེའི།,,,,,,
,,24,3,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,25,4,《པེ་》《སྣར་》,ཞ།,,,,,,
,,26,5,《པེ་》《སྣར་》,པས།,,,,,,
,,27,6,《པེ་》《སྣར་》,མང་།,,,,,,
,385,28,1,《པེ་》,mཏུ།,,,,,,
,,29,2,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,30,3,《པེ་》《སྣར་》,གང་ན་གང་།,,,,,,
,,31,4,《སྣར་》,བཞི།,,,,,,
,,32,5,《པེ་》《སྣར་》,།། །།,,,,,,
,,33,6,《པེ་》《སྣར་》,དེ།,,,,,,
,386,34,1,《པེ་》《སྣར་》,བོ།,,,,,,
,,35,2,《པེ་》《སྣར་》,ནས།,,,,,,
,,36,3,《པེ་》《སྣར་》,ལས་བལྟོས།,,,,,,
,,37,4,《སྣར་》,mདོ།,,,,,,
,,38,5,《པེ་》《སྣར་》,བརྟགས་ཏེ།,,,,,,
,,39,6,《པེ་》《སྣར་》,གི།,,,,,,
,387,40,1,《པེ་》《སྣར་》,mལ།,,,,,,
,,41,2,《པེ་》《སྣར་》,mཔ།,,,,,,
,,42,3,《པེ་》《སྣར་》,mརོ།,,,,,,
,,43,4,《པེ་》《སྣར་》,ཚེ།,,,,,,
,,44,5,《པེ་》《སྣར་》,ཆོས།,,,,,,
,388,45,1,《པེ་》《སྣར་》,གཞན།,,,,,,
,,46,2,《པེ་》《སྣར་》,mན།,,,,,,
,,47,3,《པེ་》,གདོངས།,,,,,,
,389,48,1,《པེ་》,དག,,,,,,
,,49,2,《པེ་》《སྣར་》,རིགས།,,,,,,
,,50,3,《པེ་》《སྣར་》,དབྲལ།,,,,,,
,,51,4,《པེ་》《སྣར་》,mལུགས་སུ།,,,,,,
,,52,5,《སྣར་》,འཕངས།,,,,,,
,,53,6,《སྣར་》,བསྒྲུབ།,,,,,,
,,54,7,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,390,55,1,《པེ་》,pརྣམས།,,,,,,
,,56,2,《པེ་》,རིམ།,,,,,,
,,57,3,《པེ་》《སྣར་》,རིགས།,,,,,,
,,58,4,《པེ་》《སྣར་》,mལ།,,,,,,
,,59,5,《པེ་》,mདངོས་ཀྱི།,,,,,,
,391,60,1,《པེ་》《སྣར་》,འདིར།,,,,,,
,,61,2,《པེ་》《སྣར་》,mབརྗོད།,,,,,,
,,62,3,《པེ་》《སྣར་》,བུ།,,,,,,
,,63,4,《པེ་》《སྣར་》,pཉིད།,,,,,,
,392,64,1,《པེ་》,ལམ།,,,,,,
,,65,2,《པེ་》《སྣར་》,གཞོག་སློངས།,,,,,,
,,66,3,《པེ་》《སྣར་》,བརྗོད།,,,,,,
,,67,4,《པེ་》《སྣར་》,mཔའི།,,,,,,
,,68,5,《པེ་》《སྣར་》,བུར།,,,,,,
,393,69,1,《སྣར་》,མཐས།,,,,,,
,,70,2,《པེ་》,གང་།,,,,,,
,,71,3,《པེ་》,རྟོགས་པ།,,,,,,
,,72,4,《སྣར་》,དེ།,,,,,,
,394,73,1,《པེ་》《སྣར་》,གིས།,,,,,,
,,74,2,《སྣར་》,ཀྱིས།,,,,,,
,,75,3,《པེ་》《སྣར་》,pདུ།,,,,,,
,,76,4,《པེ་》《སྣར་》,བར།,,,,,,
,395,77,1,《པེ་》《སྣར་》,ནར་བསྒོམ།,,,,,,
,,78,2,《པེ་》《སྣར་》,ལས།,,,,,,
,,79,3,《པེ་》《སྣར་》,ཅི།,,,,,,
,,80,4,《པེ་》《སྣར་》,རྟག,,,,,,
,,81,5,《པེ་》《སྣར་》,pདུ།,,,,,,
,,82,6,《པེ་》《སྣར་》,པས།,,,,,,
,396,83,1,《པེ་》《སྣར་》,བརྟག,,,,,,
,397,84,1,《པེ་》《སྣར་》,mཔས།,,,,,,
,,85,2,《སྣར་》,ཐོབ།,,,,,,
,,86,3,《པེ་》《སྣར་》,པ།,,,,,,
,,87,4,《པེ་》《སྣར་》,mབ།,,,,,,
,,88,5,《པེ་》《སྣར་》,ཅིང་།,,,,,,
,398,89,1,《པེ་》《སྣར་》,སྟེ།,,,,,,
,,90,2,《པེ་》《སྣར་》,བསྒོམ།,,,,,,
,,91,3,《སྣར་》,བཞིན།,,,,,,
,,92,4,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,93,5,《པེ་》《སྣར་》,བསྒོམས།,,,,,,
,,94,6,《པེ་》《སྣར་》,mཅིང་།,,,,,,
,,95,7,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,96,8,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,97,9,《པེ་》《སྣར་》,བསྒོམས།,,,,,,
,399,98,1,《པེ་》《སྣར་》,mསུས་ཀྱང་།,,,,,,
,,99,2,《པེ་》,mཔོས།,,,,,,
,,100,3,《པེ་》《སྣར་》,ལ།,,,,,,
,,101,4,《པེ་》《སྣར་》,བལྟ།,,,,,,
,,102,5,《པེ་》《སྣར་》,བསལ།,,,,,,
,,103,6,《པེ་》《སྣར་》,mཡང་ཉེ་བར།,,,,,,
,,104,7,《པེ་》《སྣར་》,འགྱུར།,,,,,,
,,105,8,《པེ་》《སྣར་》,གཟོད།,,,,,,
,400,106,1,《སྣར་》,པའི།,,,,,,
,,107,2,《པེ་》《སྣར་》,pཁོང་དུ་ཆུད་པ་དེ་ནི་འཕགས་པའི་ཆོས།,,,,,,
,401,108,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,109,2,《པེ་》《སྣར་》,pཅིའི་ཕྱིར།,,,,,,
,,110,3,《པེ་》《སྣར་》,mབྱ་བ།,,,,,,
,,111,4,《པེ་》,དོ།,,,,,,
,,112,5,《པེ་》《སྣར་》,འདི།,,,,,,
,,113,6,《པེ་》《སྣར་》,བསལ།,,,,,,
,402,114,1,《སྣར་》,སྒྲལ།,,,,,,
,,115,2,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,116,3,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,,117,4,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,,118,5,《པེ་》《སྣར་》,པ།,,,,,,
,,119,6,《པེ་》《སྣར་》,པ།,,,,,,
,403,120,1,《སྣར་》,སྐྱེན།,,,,,,
,,121,2,《པེ་》《སྣར་》,བྱིས།,,,,,,
,404,122,1,《པེ་》《སྣར་》,བསལ།,,,,,,
,,123,2,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,124,3,《པེ་》,mཏེ།,,,,,,
,,125,4,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,126,5,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,127,6,《སྣར་》,ཐུགས།,,,,,,
,,128,7,《པེ་》《སྣར་》,mན།,,,,,,
,,129,8,《སྣར་》,mདོ།,,,,,,
,,130,9,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,131,10,《པེ་》《སྣར་》,བསལ།,,,,,,
,,132,11,《སྣར་》,སྟན།,,,,,,
,405,133,1,《པེ་》《སྣར་》,mདུ།,,,,,,
,,134,2,《པེ་》《སྣར་》,ལྟའོ།,,,,,,
,,135,3,《པེ་》《སྣར་》,ལྟ་བ་བསལ།,,,,,,
,,136,4,《པེ་》《སྣར་》,བསལ།,,,,,,
,,137,5,《པེ་》《སྣར་》,གྱི།,,,,,,
,,138,6,《པེ་》《སྣར་》,mམ།,,,,,,
,,139,7,《པེ་》《སྣར་》,mབས།,,,,,,
,,140,8,《སྣར་》,བརྟག,,,,,,
,,141,9,《སྣར་》,སྡང་།,,,,,,
,406,142,1,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,,143,2,《པེ་》《སྣར་》,འཕྲོ།,,,,,,
,,144,3,《པེ་》《སྣར་》,བསལ།,,,,,,
,,145,4,《པེ་》《སྣར་》,ས།,,,,,,
,,146,5,《པེ་》《སྣར་》,ས།,,,,,,
,407,147,1,《པེ་》《སྣར་》,ནི།,,,,,,
,,148,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,149,3,《པེ་》,བ་སྦྱར་རོ།;《སྣར་》,བ་སྦྱ།,,,,,
,,150,4,《སྣར་》,ལྔས།,,,,,,
,408,151,1,《པེ་》《སྣར་》,མངོན་པར་འགྲུབ།,,,,,,
,,152,2,《པེ་》《སྣར་》,mཔར།,,,,,,
,,153,3,《པེ་》《སྣར་》,mམ།,,,,,,
,409,154,1,《པེ་》《སྣར་》,བརྟན།,,,,,,
,,155,2,《པེ་》《སྣར་》,ན།,,,,,,
,,156,3,《པེ་》《སྣར་》,ལ།,,,,,,
,,157,4,《སྣར་》,བསྐྱོད།,,,,,,
,410,158,1,《སྣར་》,ཚོལ།,,,,,,
,,159,2,《སྣར་》,སྟ་བ།,,,,,,
,,160,3,《པེ་》《སྣར་》,དེས།,,,,,,
,,161,4,《སྣར་》,ཞེས།,,,,,,
,,162,5,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,163,6,《པེ་》,སྐྱེ།;《སྣར་》,སྐྱ།,,,,,
,,164,7,《སྣར་》,སྨ།,,,,,,
,411,165,1,《པེ་》,པོས་སྟན།,,,,,,
,,166,2,《སྣར་》,ཕྱིར་ཅི་ལག་བི།,,,,,,
,,167,3,《སྣར་》,ཏེ།,,,,,,
,412,168,1,《པེ་》《སྣར་》,པོས།,,,,,,
,,169,2,《པེ་》《སྣར་》,བ།,,,,,,
,,170,3,《སྣར་》,གཞེན།,,,,,,
,413,171,1,《པེ་》《སྣར་》,གྱུར།,,,,,,
,,172,2,《པེ་》《སྣར་》,རྣམས།,,,,,,
,,173,3,《པེ་》《སྣར་》,pཞེས་བྱའོ།,,,,,,
,414,174,1,《པེ་》,ཏུ་རབ་ཏུ་དབྱེ་བ།;《སྣར་》,ཏུ་རབ་ཏུ་དབྱེའི།,,,,
,,175,2,《པེ་》,དྲུག,,,,,,
,,176,3,《པེ་》《སྣར་》,ན།,,,,,,
,,177,4,《པེ་》《སྣར་》,སྲེད།,,,,,,
,,178,5,《སྣར་》,འབྱུང་།,,,,,,
,,179,6,《པེ་》《སྣར་》,བསལ།,,,,,,
