མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས། ,པར་མ།,མཆན།,
རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་བ།,747,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་སྟོད་ཞི་དུམ་པའི་དབུའི་མཚན་སྨོས་པ་ལྟར་བཀོད།,
,,3,2,《པེ་》《སྣར་》,mརྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་བ།,
,,4,3,《པེ་》《སྣར་》,བྱ་བའམ།,
,748,5,1,《པེ་》《སྣར་》,ག,
,,6,2,《པེ་》《སྣར་》,mདེ།,
,,7,3,《སྣར་》,བལྟོས།,
,,8,4,《པེ་》《སྣར་》,པར།,
,,9,5,《པེ་》《སྣར་》,mདུ།,
,749,10,1,《པེ་》,pམ།,
,,11,2,《པེ་》,ལ།,
,,12,3,《པེ་》《སྣར་》,ལྟ།,
,,13,4,《པེ་》《སྣར་》,mཡང་།,
,750,14,1,《པེ་》《སྣར་》,mལ།,
,,15,2,《པེ་》《སྣར་》,mཔ་ཡིན།,
,,16,3,《པེ་》《སྣར་》,mབྱ།,
,,17,4,《པེ་》《སྣར་》,mསེམས་ལས་བྱུང་བ་རྒྱུ་མཚན་དང་།,,,,,,
,,18,5,《པེ་》《སྣར་》,པར།,,,,,,
,751,19,1,《པེ་》《སྣར་》,ལྷའི།,,,,,,
,752,20,1,《པེ་》《སྣར་》,འཐུན།,,,,,,
,,21,2,《པེ་》《སྣར་》《ཅོ་》,སྐྱེ།,,,,,,
,,22,3,《པེ་》《སྣར་》,mགཞན།,,,,,,
,,23,4,《པེ་》《སྣར་》,pགྱི།,,,,,,
,,24,5,《པེ་》,སྐྱེས།,《སྣར་》,སྐྱེད།,,,,,
,,25,6,《སྣར་》,སྐྱེད།,,,,,,
,,26,7,《སྣར་》,བཏགས ,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་བརྟགས་ཞེས་པ་རྣམས《སྣར་》ལ་བཏགས་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,753,27,1,《པེ་》《སྣར་》,mན།,,,,,,
,,28,2,《སྣར་》,གིས།,,,,,,
