མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,དཔར་མ།,མཆན།,
ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྒྲུབ་ཐབས།,877,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,
,,3,2,《པེ་》《སྣར་》,པ།,
,,4,3,《སྣར་》,པ།,
,,5,4,《པེ་》,པོར།,《སྣར་》,ཕོར།
,,6,5,《པེ་》《སྣར་》,བཞག,
,,7,6,《པེ་》《སྣར་》,pཡ།,
,,8,7,《པེ་》《སྣར་》,pཡ།,
,878,9,1,《པེ་》《སྣར་》,དྷི།,
,,10,2,《པེ་》《སྣར་》,ན།,
,,11,3,《པེ་》《སྣར་》,pལོགས།,
,,12,4,《པེ་》《སྣར་》,mཿ།,
,,13,5,《པེ་》《སྣར་》,pཡེ།,
,,14,6,《པེ་》《སྣར་》,སིདྷི་ཡེ། ཨོཾ་ཨཱཿ་ཧཱུཾ། ,
,,15,7,《པེ་》《སྣར་》,མ།,
,,16,8,《པེ་》《སྣར་》,pཿ།,
,,17,9,《པེ་》《སྣར་》,ཡཻ།,
,,18,10,《སྣར་》,mསྣང།,
,,19,11,《པེ་》《སྣར་》,སྟ་རཱ།,
,,20,12,《པེ་》《སྣར་》,མཿཔྲཛྙ་པ།,
,,21,13,《པེ་》《སྣར་》,m྅།,
,,22,14,《པེ་》《སྣར་》,ལྷའི།,
,,23,15,《པེ་》《སྣར་》,mའཁོར་བར།,
,,24,16,《པེ་》《སྣར་》,pབརྙེས།,
,879,25,1,《པེ་》《སྣར་》,པས།,
,,26,2,《པེ་》《སྣར་》《ཅོ་》,pཆེ།,
,,27,3,《པེ་》《སྣར་》,mསྟེ།,
,,28,4,《པེ་》《སྣར་》,ཀྱི།,
,,29,5,《པེ་》,བ་ཤུདྡྷཿསརྦ་དྷརྨཱ་སྭ་བྷཱ་བ་ཤུད་དྷོ་ཧཾ།,《སྣར་》,བ་ཤུདྡྷཿསརྦ་དྷརྨཱ་སྭ་བྷཱ་བ་ཤུདྡྷོ་ཧཾ།
,880,30,1,《སྣར་》,ནཱ།,
,,31,2,《པེ་》《སྣར་》,m྅།,
,,32,3,《པེ་》《སྣར་》,བར།,
,,33,4,《པེ་》《སྣར་》,pདང།,
,,34,5,《པེ་》《སྣར་》,ཧཱཿ།,
,,35,6,《པེ་》《སྣར་》,mཆབ།,
,,36,7,《པེ་》《སྣར་》,པོ་ཏི།,
,,37,8,《པེ་》《སྣར་》,པོ་ཏི།,
,,38,9,《པེ་》《སྣར་》,ཀྱི།,
,,39,10,《པེ་》《སྣར་》,པོ་ཏི་གཉིས།,
,881,40,1,《པེ་》《སྣར་》,ལ།,
,,41,2,《པེ་》《སྣར་》,པ།,
,,42,3,《པེ་》《སྣར་》,mཿ།,
,,43,4,《པེ་》《སྣར་》,པོ།,
,,44,5,《པེ་》《སྣར་》,སེར།,
,,45,6,《པེ་》《སྣར་》,པ།,
,,46,7,《པེ་》《སྣར་》,འཐོབ།,
,,47,8,《པེ་》,pདང་པོའི་དུམ་པོའོ།།,《སྣར་》,pདང་པོའི་དུམ་བུའོ།།
,,,,,,
,,,,,,,,
,,,,,,,,
