མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
,420,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ལ་དབུ་མ་སྲིད་པ་འཕོ་བ་ཞེས་བྱ་བ་འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་བཞུགས་སོ།         །ཞེས་འཁོད།
,,3,2,《པེ་》《སྣར་》,ཀྲནྟི།
,,4,3,《པེ་》《སྣར་》,བསམས།
,,5,4,《པེ་》《སྣར་》,སུས་སྐྱེ།
,421,6,1,《པེ་》《སྣར་》,མིན་བསྟན་པས།
,,7,2,《སྣར་》,བྱུང་།
,,8,3,《པེ་》《སྣར་》,བརྟགས།
,,9,4,《པེ་》《སྣར་》,ཀྱང་།
,,10,5,《པེ་》《སྣར་》,གྱིས།
,,11,5,《པེ་》《སྣར་》,དུས།
,422,12,1,《པེ་》《སྣར་》,མང་གུད་དུ་ལ།
,,13,2,《པེ་》《སྣར་》,བྱེད།
,,14,3,《པེ་》《སྣར་》,བསལ།    །ད།
,,15,4,《པེ་》《སྣར་》,རྫུན།
,,16,5,《པེ་》《སྣར་》,དཔའ།
,,17,6,《པེ་》《སྣར་》,རྫུན།,,
