མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ་།,མཆན།,
༄༅། །གསོ་བ་རིག་པ། ,34,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་དབུའི་མཚན་སྨོས་པ་ལས་བླངས་ཏེ་བཀོད།,
,,3,2,《པེ་》《སྣར་》,རྒན།,
,,4,3,《པེ་》《སྣར་》,འབྱོར།,
,35,5,1,《པེ་》《སྣར་》,བཏང།, (ཆོས་ཚན་འདིའི་ནང་དུ་གཏང་ཞེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བཏང་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,6,2,《པེ་》《སྣར་》,ལས།,
,,7,3,《པེ་》《སྣར་》,འཕུལ།,
,,8,4,《པེ་》《སྣར་》,གྲུམས།,
,,9,5,《པེ་》《སྣར་》,༽ གྲང་ནད་དང་།,
,,10,6,《པེ་》《སྣར་》,ལྡོངས།,
,,11,7,《པེ་》《སྣར་》,༼ རྣ་ནད་དང་།,
,,12,8,《པེ་》《སྣར་》,བསྒྲལ།,
,,13,9,《སྣར་》,པ།,
,,14,10,《པེ་》《སྣར་》,གར།,
,,15,11,《པེ་》《སྣར་》,༼ མ།,
,36,16,1,《པེ་》《སྣར་》,ལྡོངས།,
,,17,2,《པེ་》,བར།,《སྣར་》,བུ།
,,18,3,《པེ་》《སྣར་》,གར།,
,,19,4,《པེ་》《སྣར་》,པ།,
,,20,5,《པེ་》,ཆག་པས།,《སྣར་》,ཆགས་པས།
,,21,6,《སྣར་》,༼ བ།,
,,22,7,《པེ་》《སྣར་》,ཉེ།,
,,23,8,《པེ་》《སྣར་》,དྲུག,
,,24,9,《སྣར་》,བཞིན།,
,,25,10,《སྣར་》,ཟས།,
,,26,11,《པེ་》《སྣར་》,གསུམ་དང་བཟའ།,
,,27,12,《སྣར་》,མཚོར།,
,37,28,1,《པེ་》《སྣར་》,སྐོལ།,
,,29,2,《པེ་》《སྣར་》,རུལ།,
,,30,3,《པེ་》《སྣར་》,སྐེམ།,
,,31,4,《སྣར་》,སུ།,
,,32,5,《པེ་》《སྣར་》,ཉེ།,
,,33,6,《སྣར་》,༼ ཏེ།,
,,34,7,《པེ་》《སྣར་》,སྦྱང་།,
,,35,8,《པེ་》《སྣར་》,སྤངས།,
