མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ་བཞུགས།,696,2,1,《སྡེ་》,འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ་བཞུགས།,,,,,,མཚན་བྱང་འདི་《སྡེ་》ལྟར་བཀོད།
,,3,2,《པེ་》,རཎྚ།
,,4,3,《པེ་》《སྣར་》,ཎཱཾ།
,697,5,1,《པེ་》《སྣར་》,ཏང་།
,,6,2,《སྣར་》,གུ།
,,7,3,《པེ་》,ས་བོན།,《སྣར་》,བ་སོན།
,,8,4,《པེ་》,གཟུང་།,《སྣར་》,གཟུངས།
,,9,5,《པེ་》,ཨརྱཱར།
,,10,6,《སྣར་》,སཏྭ།
,698,11,1,《སྣར་》,དཀར།
,699,12,1,《པེ་》《སྣར་》,སྒྲོད།
,,13,2,《པེ་》,ཟུང་།
,,14,3,《པེ་》,པཎཱཾ།
,,15,4,《སྣར་》,བྱུག།
,,16,5,《པེ་》《སྣར་》,དུརྦ།
,,17,6,《པེ་》《སྣར་》,ཁོམ།
,,18,7,《པེ་》,ཀཎྚ།
,700,19,1,《པེ་》《སྣར་》,ཤྭེ།
,,20,2,《པེ་》,pདུ།
,,21,3,《པེ་》,ཁཉྩ་རའི་ཊིའི།,《སྣར་》,ཁཉྫ་རཱི་ཌའི།
,,22,4,《པེ་》,དཎྚོ།
,,23,5,《པེ་》,ཎ།
,,24,6,《པེ་》《སྣར་》,ནས།
,,25,7,《པེ་》《སྣར་》,བཀོལ།
,701,26,1,《པེ་》,ཙི་རུ།
,,27,2,《པེ་》《སྣར་》,སིཉྩ།
,,28,3,《པེ་》《སྣར་》,བཙུན།
,,29,4,《པེ་》《སྣར་》,པིཥྚ།
,,30,5,《པེ་》,ཁྃ།
,,31,6,《པེ་》,སཱུ་ལཱི།,《སྣར་》,སཱུ་ཀཱི།
,,32,7,《པེ་》,བྱུག།
,,33,8,《པེ་》《སྣར་》,པ།
,702,34,1,《པེ་》,གཟུང་།
,,35,2,《པེ་》,ཏོ།
,,36,3,《པེ་》,སིདྷེ།
,,37,4,《པེ་》《སྣར་》,འདི།
,,38,5,《པེ་》《སྣར་》,བབ་ལ།
,,39,6,《པེ་》,ནཱྃ་ཀུ་བནྡྷ།
,,40,7,《པེ་》《སྣར་》,རྣམ།
,,41,8,《པེ་》,pདེ།
,,42,9,《པེ་》,དཎྜི།
,,43,10,《པེ་》,པེ།
,703,44,1,《པེ་》《སྣར་》,བྱས།
,,45,2,《པེ་》《སྣར་》,མ་ཚ།
,,46,3,《པེ་》,ཏརྦ་བ་ཤྭརྱ་རོ་གྱཿདེ།,《སྣར་》,ཏརྦྷ་བཱ་ཤྭཪྻ་རོ་གྱཿདེ།
,,47,4,《པེ་》《སྣར་》,ཛ།
,,48,5,《པེ་》,སཱུ་པཱི་ཏ།
,,49,6,《པེ་》,ཡུ་ནརྦྷུ།
,,50,7,《པེ་》《སྣར་》,རེ་ཎ་བཻ་པྲཏྱ་ཧཾ། ཙཱུརྞནྟ་སྱ་གུ་ཊོ་ས་མཾ།
,,51,8,《པེ་》,ཥཥྚཱ།
,,52,9,《པེ་》,ནཱྃ།
,,53,10,《པེ་》,བཱལཱཾི་ཧྃ།
,,54,11,《པེ་》,བརྡྷྀ།
,,55,12,《སྣར་》,ལྒང་།
,,56,13,《པེ་》《སྣར་》,དབུགས།
,704,57,1,《པེ་》《སྣར་》,འཕྲོག
,,58,2,《པེ་》,མཤྩཎྚ།
,,59,3,《པེ་》,ཎ་ཡེ།,《སྣར་》,ཡ།
,,60,4,《པེ་》,ཡེ།
,,61,5,《པེ་》,གྲྀ།
,,62,6,《པེ་》,ཧྲྀ།
,,63,7,《པེ་》,ཊི།
,,64,8,《སྣར་》,ཊཾ།
,,65,9,《པེ་》《སྣར་》,ཧཱུཾ་ཧཱུཾ་ཧཱུཾ།
,,66,10,《པེ་》,མར།
,,67,11,《པེ་》,ཡ།
,,68,12,《པེ་》,བ་ཏའི།,《སྣར་》,བ་ཌའི།
,,69,13,《པེ་》《སྣར་》,རཙྪི་ནྨའི།
,,70,14,《པེ་》,དྲོ་ཨསི།,《སྣར་》,དྲ་ཨ་མི།
,705,71,1,《པེ་》,ཤྲྀ།
,,72,2,《པེ་》,ཀའི།
,,73,3,《པེ་》,བཏུང་།
,,74,4,《པེ་》《སྣར་》,ལི།
,,75,5,《པེ་》《སྣར་》,བྱུགས་པར་བྱིན།
,,76,6,《པེ་》《སྣར་》,ཛ།
,,77,7,《པེ་》《སྣར་》,བི།
