མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།,1220,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》 ༄༅། །ཀླུ་དབང་རྒྱལ་པོའི་སྒྲུབ་ཐབས་རྡོ་རྗེ་སེམས་དཔའི་ཆོ་ག་བྱམས་པའི་སྒྲུབ་ཐབས་རྣམས་བཞུགས་སོ།།,
,,3,2,《པེ་》《སྣར་》,ན།,
,,4,3,《པེ་》《སྣར་》,ར།,
,,5,4,《པེ་》《སྣར་》,ཏྭད།,
,,6,5,《པེ་》,བིགྷྣན་ཏ་ཀྲྀད།,《སྣར་》,བིགྷྣན་ཏ་ཀྲིད།
,,7,6,《པེ་》《སྣར་》,mཔས།,
,,8,7,《པེ་》《སྣར་》,དེས་ན།,
,1221,9,1,《པེ་》《སྣར་》,པཱཾ་ཨཱ།,
,,10,2,《པེ་》《སྣར་》,mཿ།,
,,11,3,《པེ་》《སྣར་》,པོ།,
,,12,4,《པེ་》《སྣར་》,ཏྱ་ཨཱ།,
,,13,5,《པེ་》《སྣར་》,ཤྭ།,
,,14,6,《པེ་》《སྣར་》,བྷ་བ།,
,,15,7,《པེ་》《སྣར་》,ན།,
,,16,8,《པེ་》,ཏྲེ།,《སྣར་》,ཏེེ།
,,17,9,《པེ་》《སྣར་》,བསྒྱུར།,
,,18,10,《པེ་》《སྣར་》,བརྟན།,
,,19,11,《པེ་》,སྭ་བྷ་བ་ཤུདྡྷ་སརྦ་དྷརྨ།,《སྣར་》,སྭ་རྦྷ་བ་ཤུདྡྷ་སརྦ་དྷརྨ།
,,20,12,《པེ་》,m྅།,
,,21,13,《པེ་》《སྣར་》,pམེད་པ།,
,,22,14,《པེ་》《སྣར་》,བསམ།,
,1222,23,1,《པེ་》《སྣར་》,གྱིས།,
,,24,2,《པེ་》《སྣར་》,གྱུར་པར་བསམས།,
,,25,3,《པེ་》《སྣར་》,mདང་།,
,,26,4,《པེ་》《སྣར་》,དཔོགས།,
,,27,5,《པེ་》《སྣར་》,pཅན།,
,,28,6,《པེ་》《སྣར་》,ལྕོགས།,
,,29,7,《པེ་》《སྣར་》,མདོག,
,,30,8,《པེ་》《སྣར་》,mབསྣམས་པའོ།།,
,,31,9,《པེ་》《སྣར་》,ན།,
,,32,10,《པེ་》《སྣར་》,ལྟ།,
,1223,33,1,《པེ་》《སྣར་》,དྷིཥྛ།,
,,34,2,《པེ་》《སྣར་》,མ་མགོད་པ།,
,,35,3,《སྣར་》,བརྫས།,
,1224,36,1,《སྣར་》,བྱ།,
,,37,2,《པེ་》《སྣར་》,ཀ,
,,38,3,《པེ་》《སྣར་》,ལོཙྪ།,
,,39,4,《པེ་》《སྣར་》,pདགེ་ལེགས་འཕེལ་གྱུར་ཅིག །,
