མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
༄༅། །འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་སྨོན་ལམ་ཞེས་བྱ་བ།,1681,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཆན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》ལ་འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་སྨོན་ལམ་བཞུགས་སོ། །ཞེས་འཁོད།,
,,3,2,《སྣར་》,བྷ།,
,,4,3,《པེ་》《སྣར་》,སྤྱོད།,
,,5,4,《པེ་》《སྣར་》,རྡུང་ཆང་ཚོང་།,
,,6,5,《པེ་》《སྣར་》,ནང་།,
,,7,6,《པེ་》《སྣར་》,ཀློ།,
,1682,8,1,《པེ་》《སྣར་》,རྟོག,
,,9,2,《པེ་》《སྣར་》,བཤན།,
,,10,3,《པེ་》《སྣར་》,གཅོད།,
,,11,4,《པེ་》《སྣར་》,བསམས།,2
,,12,5,《པེ་》《སྣར་》,ཏེ།,
,,13,6,《པེ་》《སྣར་》,བཀུར།,
,,14,7,《སྣར་》,རྫོག,
,,15,8,《པེ་》《སྣར་》,ནུ།,
