མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
ཐུགས་རྗེ་ཆེན་པོ་འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས་སྤྱིའི་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བ། ,855,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་རྫོགས་བྱང་ལས་བླངས་ཏེ་བཀོད།,
,,3,2,《པེ་》,ལས།,
,,4,3,《པེ་》,ཀར,《སྣར་》,ཁར།
,,5,4,《པེ་》,ཡིས།,
,,6,5,《པེ་》,སྒོམ།,
,,7,6,《པེ་》《སྣར་》,པདྨ།,
,,8,7,《པེ་》《སྣར་》,mཔ།,
,,9,8,《པེ་》,མ།,
,,10,9,《པེ་》《སྣར་》,བ།,
,856,11,1,《སྣར་》,ཨཱོཾ།,
,,12,2,《སྣར་》,ཨཱོཾ།,
,,13,3,《སྣར་》,ཨཱོཾ,
,,14,4,《སྣར་》,ཨཱོཾ,
,,15,5,《སྣར་》,ཨཱོཾ,
,,16,6,《པེ་》,ནཱི།,
,,17,7,《སྣར་》,ཁ།,
,,18,8,《སྣར་》,རིམ།,
,,19,9,《སྣར་》,ཁར།,
,,20,10,《སྣར་》,ཏཾ་ལྗང་ཁུ།,
,,21,11,《སྣར་》,ཁར།,
,,22,12,《སྣར་》,ནི།,
,,23,13,《སྣར་》,ཨཱོཾ།,
,,24,14,《པེ་》,ཨོཾ་ལྷས་བྱིན།,《སྣར་》,ཨཱོཾ་ལྷ་སྦྱིན།
,,25,15,《སྣར་》,ཨཱོཾ།,
,,26,16,《པེ་》,ལྷས་བྱིན།,
,,27,17,《པེ་》,ལྷས།,
,,28,18,《སྣར་》,ཡིས།,
,,29,19,《སྣར་》,བྱས་ཏེ།,
,857,30,1,《སྣར་》,གཞན།,
,,31,2,《སྣར་》,སྟེ།,
,,32,3,《སྣར་》,ལྔ།,
,,33,4,《པེ་》,བསྐོར།,
