མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
དཔལ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་རྐང་པ་བརྒྱད་པ་ཞེས་བྱ་བ།,1698,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།《པེ་》༄༅། །དཔལ་ནག་པོའི་སྟོད་པ་བཞུགས་སྷོ།།,
,,3,2,《པེ་》《སྣར་》,སྱ་ཨཥྚ་མནྟྲ།,
,,4,3,《པེ་》《སྣར་》,mཔོ་ཆེན།,
,,5,4,《པེ་》,སྟོད།,
,,6,5,《པེ་》《སྣར་》,ཡི།,
,,7,6,《པེ་》《སྣར་》,mབདུད་སྡེ།,
,,8,7,《པེ་》《སྣར་》,པོད།,
,,9,8,《པེ་》,དབུས།,
,,10,9,《པེ་》《སྣར་》,བསྲུང་།,
,,11,10,《པེ་》《སྣར་》,སྒྱུར།,
,1699,12,1,《པེ་》《སྣར་》,པོའི།,
,,13,2,《པེ་》《སྣར་》,བསྲུངས།,
,,14,3,《པེ་》《སྣར་》,གཟུགས།,
,,15,4,《པེ་》《སྣར་》,ཀ་ཧ་ཀ་ཧ།,
,,16,5,《པེ་》《སྣར་》,འབྲེལ་བས།,
,,17,6,《པེ་》《སྣར་》,གདུག,
,,18,7,《པེ་》,གཟུང་།,
,,19,8,《པེ་》《སྣར་》,ཀྵཾ།,
,,20,9,《པེ་》《སྣར་》,གསུང་།,
,,21,10,《པེ་》《སྣར་》,བསྲེག,
,,22,11,《པེ་》《སྣར་》,ཅིང་།,
,,23,12,《པེ་》《སྣར་》,སྐྲོད་པར།,
,,24,13,《པེ་》《སྣར་》,བསྒྲུབ།,
,,25,14,《པེ་》《སྣར་》,སྡིགས,
,,26,15,《པེ་》《སྣར་》,བསྙེམས།,
,,27,16,《པེ་》,ཀྲིཾ་ཀྲིཾ་ཀྲིཾ།,
,1700,28,1,《པེ་》《སྣར་》,ཀླི་ཀླིཾ་ཀླ།,
,,29,2,《པེ་》《སྣར་》,ཀྱི།,
,,30,3,《པེ་》《སྣར་》,བསྐྱང་།,
,,31,4,《པེ་》《སྣར་》,སྟེང་།,
