མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་དཔལ་གསང་བ་འདུས་པའི་བསྐྱེད་པའི་རིམ་པ་བསྒོམ་པའི་ཐབས་མདོ་དང་བསྲེས་པ་ཞེས་བྱ་བ།,28,2,1,《པེ་》《སྣར་》,རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་དཔལ་གསང་བ་འདུས་པའི་བསྐྱེད་པའི་རིམ་པ་སྒོམ་པའི་ཐབས་མདོ་དང་བསྲེས་པ་སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པའོ།།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,ཨུཏྤ་ཏེ།,,,,,,
,,4,3,《པེ་》《སྣར་》,ནཾ་སྱ་སཱུ་ཏྲེ་མེ་བ་ལ།,,,,,,
,,5,4,《པེ་》《སྣར་》,པའི།,,,,,,
,,6,5,《པེ་》《སྣར་》,པ།,,,,,,
,,7,6,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,29,8,1,《སྣར་》,མཁའི།,,,,,,
,,9,2,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,10,3,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,11,4,《པེ་》《སྣར་》,pརྗེས་སུ་ཞུགས་པས།,,,,,,
,,12,5,《པེ་》《སྣར་》,བོ།,,,,,,
,30,13,1,《པེ་》《སྣར་》,ཐལ།,,,,,,
,,14,2,《པེ་》《སྣར་》,བསྲུང་།,,,,,,
,,15,3,《སྣར་》,གྱི།,,,,,,
,,16,4,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,17,5,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,18,6,《པེ་》《སྣར་》,བྷྲུཾ་གྱི།,,,,,,
,,19,7,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,20,8,《པེ་》《སྣར་》,ཡིས།,,,,,,
,,21,9,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
