མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པ།,121,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང། 《པེ་》བྱང་ཆུབ་སེམས་པའི་འགྲེལ་པ་བཞུགས།
,,3,2,《པེ་》《སྣར་》,ཙི་ཏཱ།
,,4,3,《པེ་》《སྣར་》,mཐམས་ཅད།
,,5,4,《པེ་》《སྣར་》,mབ།
,122,6,1,《པེ་》《སྣར་》,mཔ།
,,7,2,《པེ་》《སྣར་》,དང་།
,,8,3,《པེ་》《སྣར་》,pདངོས་པོ་རྣམས།
,123,9,1,《པེ་》《སྣར་》,mཔ།
,,10,2,《པེ་》《སྣར་》,བལྟོས།
,,11,3,《པེ་》《སྣར་》,པོའོ།
,,12,4,《པེ་》《སྣར་》,mནི་ཚོར་བའི་ཕུང་པོས་སྟོང་ངོ་།
,,13,5,《པེ་》《སྣར་》,དཔའ།
,124,14,1,《པེ་》《སྣར་》,pཤེས་པར་བྱའོ།  །ཡིད་ཀྱི་རྣམ་པར་ཤེས་པ་ཡང་།
,125,15,1,《པེ་》《སྣར་》,དག
,,16,2,《པེ་》《སྣར་》,ན།
,126,17,1,《པེ་》《སྣར་》,pཔ།
,,18,2,《པེ་》《སྣར་》,mསེམས་ཀྱང་དེའི་རང་བཞིན་ནོ།
,,19,3,《པེ་》《སྣར་》,པའི།
,,20,4,《པེ་》《སྣར་》,པའི།
,,21,5,《པེ་》《སྣར་》,འགག
,,22,6,《པེ་》《སྣར་》,mཆོས།
,127,23,1,《པེ་》《སྣར་》,pམཚན་ཉིད་ཀྱི།
,,24,2,《པེ་》《སྣར་》,pམ།
,,25,3,《པེ་》《སྣར་》,mནི།
,,26,4,《པེ་》《སྣར་》,རྟོགས།
,,27,5,《པེ་》《སྣར་》,ཛཱ།
