མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།,302,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》༄༅། །རྟ་མགྲིན་གྱི་སྒྲུབ་པ་བཞུགས་སོ།།,
,,3,2,《པེ་》《སྣར་》,བི་ཤུདྡྷོ་ཧཾ།,
,,4,3,《པེ་》《སྣར་》,ཀྱིས།,
,,5,4,《པེ་》《སྣར་》,སྟེངས་སུ་ཧྲཱི།,
,,6,5,《པེ་》《སྣར་》,ཧྲི།,
,303,7,1,《པེ་》《སྣར་》,པ།,
,,8,2,《པེ་》《སྣར་》,པ།,
,,9,3,《པེ་》《སྣར་》,དྱཱ།,
,,10,4,《པེ་》《སྣར་》,དེ།,
,,11,5,《པེ་》《སྣར་》,བཟུང་།,
,,12,6,《པེ་》《སྣར་》,བསྒོམས།,
,,13,7,《པེ་》《སྣར་》,༼྅།,
,,14,8,《པེ་》《སྣར་》,བདུན།,
,,15,9,《པེ་》《སྣར་》,བྲུཾ།,
,,16,10,《པེ་》《སྣར་》,བས།,
,,17,11,《པེ་》《སྣར་》,པ།,
,,18,12,《པེ་》《སྣར་》,མས།,
,,19,13,《པེ་》《སྣར་》,ཆེན།,
,304,20,1,《པེ་》《སྣར་》,གཞུ།,
,,21,2,《པེ་》《སྣར་》,བསྒོམས།,
,,22,3,《པེ་》《སྣར་》,སྟེང་།,
,,23,4,《སྣར་》,ཐབ།,
,,24,5,《པེ་》《སྣར་》,པ།,
,,25,6,《པེ་》《སྣར་》,པ།,
,,26,7,《པེ་》《སྣར་》,འཁྲུག,
,,27,8,《པེ་》《སྣར་》,ཏྲཾ་ཧྲི།,
,305,28,1,《པེ་》《སྣར་》,དེ།,
,,29,2,《པེ་》《སྣར་》,དབུལ།,
,,30,3,《པེ་》《སྣར་》,༼ཿ།,
,,31,4,《པེ་》《སྣར་》,པོ།,
,,32,5,《པེ་》《སྣར་》,པ།,
,,33,6,《པེ་》《སྣར་》,གཟུང་།,
,,34,7,《པེ་》《སྣར་》,པ།,
,,35,8,《པེ་》《སྣར་》,པ་བཟུང་།,
,306,36,1,《པེ་》《སྣར་》,ཧྲི།,
,,37,2,《པེ་》《སྣར་》,ཧྲི།,
,,38,3,《པེ་》《སྣར་》,ཧྲི།,
,,39,4,《པེ་》《སྣར་》,བྱ།,
,,40,5,《པེ་》,ཐ།,
,,41,6,《པེ་》《སྣར་》,འདས།,
,,42,7,《པེ་》《སྣར་》,གརྫུ།,
