མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
ཞེན་ལོག་སྒྲོན་མ།,734,2,1,《པེ་》《སྣར་》 ,འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པའི་ཞེན་ལོག་སྒྲོན་མ་ཞེས་བྱ་བ་བཞུགས་སོ།།,,,,,,མཚན་བྱང་འདི་《སྡེ་》《ཅོ་》ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,4,3,《པེ་》《སྣར་》,སྤོང་།,,,,,,
,,5,4,《པེ་》,བའི།,,,,,,
,735,6,1,《པེ་》《སྣར་》,བསྲུངས།,,,,,,
,,7,2,《པེ་》《སྣར་》,བརྟགས་པས་བཅམ། ,,,,,,
,,8,3,《པེ་》《སྣར་》,pདེ་ནི་འཇིག་རྟེན་འདི་ཡི་གཏེར་བསྲུངས་ཡིན། །ཤེས་པས་དམ་པའི་ཆོས་ལ་མི་སྤྱོད་ན། །བརྟགས་པས་བཅམ་བུ་དོན་མེད་གླེན་པ་ཡིན། །དེ་བས་ནོར་མེད་དབུལ་ལོ་བསྙེན་དགའ་དང་། །བྲམ་ཟེ་ལྡན་པ་ཕུལ་བ་དག་ལ་སྤྱོད།།,,,,,,
,,9,4,《པེ་》《སྣར་》,ཤེས།,,,,,,
,,10,5,《པེ་》《སྣར་》,ཡང་།,,,,,,
,,11,6,《པེ་》《སྣར་》,སྡོས།,,,,,,
,,12,7,《པེ་》,mཟས་དང་ནོར།,,,,,,
,736,13,1,《པེ་》《སྣར་》,pདྲི་མེད།,,,,,,
,,14,2,《པེ་》《སྣར་》,འཕངས།,,,,,,
,,15,3,《པེ་》,བྲས།,,,,,,
,,16,4,《པེ་》《སྣར་》,ནོད།,,,,,,
,,17,5,《པེ་》《སྣར་》,རྟོལ།,,,,,,
,,18,6,《པེ་》《སྣར་》,པོ།,,,,,,
,737,19,1,《པེ་》《སྣར་》,སྐེག,,,,,,
,,20,2,《པེ་》《སྣར་》,མར།,,,,,,
,,21,3,《པེ་》,མཚོན།,,,,,,
,,22,4,《པེ་》,རྟགས།,,,,,,
,,23,5,《སྣར་》,བསྐྱིད།,,,,,,
,,24,6,《པེ་》《སྣར་》,པོའི་ཐིབས།,,,,,,
,,25,7,《པེ་》《སྣར་》,རྟོལ།,,,,,,
,738,26,1,《པེ་》《སྣར་》,གཟིགས།,,,,,,
,,27,2,《པེ་》《སྣར་》,སྤོངས།,,,,,,
,,28,3,《པེ་》《སྣར་》,བརླག,,,,,,
,,29,4,《པེ་》《སྣར་》,ཞིང་།,,,,,,
,,30,5,《པེ་》《སྣར་》,བརྙན།,,,,,,
,,31,6,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,32,7,《པེ་》《སྣར་》,བསྐུལ།,,,,,,
,,33,8,《པེ་》《སྣར་》,གདབ།,,,,,,
,739,34,1,《པེ་》《སྣར་》,རིག,,,,,,
,,35,2,《པེ་》《སྣར་》,གཅད།,,,,,,
,,36,3,《པེ་》,ཅི།,,,,,,
,,37,4,《པེ་》,pཀྱིས།,,,,,,
,,38,5,《པེ་》《སྣར་》,ལས།,,,,,,
,,39,6,《པེ་》,ན།,,,,,,
,,40,7,《པེ་》《སྣར་》,སྟེ།,,,,,,
,,41,8,《པེ་》《སྣར་》,བྱེད་རྐྱེན་ནི།,,,,,,
,,42,9,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,740,43,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,44,2,《པེ་》,སྟེ།,,,,,,
,,45,3,《པེ་》《སྣར་》,རྒྱགས།,,,,,,
,,46,4,《པེ་》《སྣར་》,བ།,,,,,,
,,47,5,《པེ་》《སྣར་》,མ་བཏང་།,,,,,,
