མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
བསྡུས་པའི་རིམ་པའི་སྒྲུབ་ཐབས།,779,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,
,,3,2,《པེ་》,ཀྲ།,
,780,4,1,《པེ་》,བརྩམ།,
,,5,2,《པེ་》,དཀྱིལ་དཀྲུངས།,
,,6,3,《པེ་》,བལྟས།,
,781,7,1,《པེ་》,གདུགས།,
,,8,2,《པེ་》,བསྒོམ།,
,783,9,1,《པེ་》,སྟེ།,
,784,10,1,《པེ་》,བསམ།,
,785,11,1,《པེ་》,གཤིན།,
,,12,2,《པེ་》,དབྱུགས།,
,786,13,1,《པེ་》,བསམས།,
,,14,2,《པེ་》,གྱིས།,
,,15,3,《པེ་》,བྷ།,
,,16,4,《པེ་》,སྔགས།,
,787,17,1,《པེ་》,གནས།,
,,18,2,《པེ་》,སྭཱ།,
,,19,3,《པེ་》,བསམ།,
,,20,4,《པེ་》,བརླབས།,
,,21,5,《པེ་》,བརླབས།,
,,22,6,《པེ་》,བ་པའི།,
,788,23,1,《པེ་》,pངེ་།,
,789,24,1,《པེ་》,mཔ།,
,,25,2,《པེ་》,པུ།,
,,26,3,《པེ་》,རང་།,
,790,27,1,《པེ་》,པར།,
,,28,2,《པེ་》,ནས།,
,,29,3,《པེ་》,རྒྱན།,
,791,30,1,《པེ་》,mཀྱིས།,
,,31,2,《པེ་》,mར།,
,792,32,1,《པེ་》,ཨཏྤལ།,
,,33,2,《པེ་》,བསྲུང་།,
,793,34,1,《པེ་》,བཞུགས།,
,,35,2,《པེ་》,རྔ།,
,,36,3,《པེ་》,མེ།,
,795,37,1,《པེ་》,པས།,
,,38,2,《པེ་》,ལས།,
,,39,3,《པེ་》,ར།,
,,40,4,《པེ་》,ནཱི།,
,,41,5,《པེ་》,སུས།,
,796,42,1,《པེ་》,དབྱུང་།,
,,43,2,《པེ་》,རྒྱན།,
,,44,3,《པེ་》,མཛུབ།,
,797,45,1,《པེ་》,མཛུབ།,
,,46,2,《པེ་》,སྙེམས།,
,,47,3,《པེ་》,འོད།,
,,48,4,《པེ་》,བརྩམ། །ཉུང་།,
,798,49,1,《པེ་》,བརྩེ།,
,799,50,1,《པེ་》,བརྙེས།,
,800,51,1,《པེ་》,ཙོམ།,
,801,52,1,《པེ་》,བ།,
