མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
གླང་པོ་རིན་པོ་ཆེ་ལ་ནོར་བླང་བའི་མན་ངག་ཅེས་བྱ་བ།,709,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,3,2,《པེ་》,pཨུ་པ་དྷེ་ཤ
,710,4,1,《པེ་》,བཞུག
,,5,2,《པེ་》,ཏི།
,,6,3,《པེ་》,སིདྡྷི།
,,7,4,《པེ་》,pཨ།
,,8,5,《པེ་》,ཆར།
,711,9,1,《པེ་》,pཅད་ཅིང་།
,,10,2,《པེ་》,སྡུས།
,,11,3,《པེ་》,སྨ།
,,12,4,《པེ་》,བཞུག
,,13,5,《པེ་》,དངར།
,,14,6,《པེ་》,རྟོགས།
,712,15,1,《པེ་》,བཞུག
,,16,2,《པེ་》,གཏིམ། །གཏིམ།
,,17,3,《པེ་》,བཞུག,
,,18,4,《པེ་》,ལྟ་རེ།,
,,19,5,《པེ་》,རྟང་།,
,713,20,1,《པེ་》,བཞུག,
,,21,2,《པེ་》,pམངྒཱ་ལཾ།,
