མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
,65,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,3,2,《པེ་》《སྣར་》,སཔྟ་ཏི།
,,4,3,《པེ་》《སྣར་》,pའང་།
,,5,4,《པེ་》《སྣར་》,སོའི།
,,6,5,《པེ་》《སྣར་》,པས།
,66,7,1,《པེ་》《སྣར་》,སྐྱེད།
,,8,2,《པེ་》《སྣར་》,པར།
,,9,3,《པེ་》《སྣར་》,པའང་།
,,10,4,《པེ་》《སྣར་》,ལའང་རྒྱུན།
,,11,5,《པེ་》,བྲལ།
,,12,6,《སྣར་》,བརྟག
,,13,7,《པེ་》《སྣར་》,མི་སྲིད་ལ།
,,14,8,《པེ་》《སྣར་》,ཉིད།
,,15,9,《པེ་》《སྣར་》,དེ་ཡི།
,,16,10,《པེ་》《སྣར་》,ནས།
,,17,11,《སྣར་》,འདི།
,67,18,1,《ཅོ་》,པ།
,,19,2,《པེ་》《སྣར་》,དེས།
,,20,3,《པེ་》《སྣར་》,མིན།
,,21,4,《པེ་》《སྣར་》,མེད།
,,22,5,《པེ་》《སྣར་》,གྱི།
,,23,6,《པེ་》《སྣར་》,འགའ།
,,24,7,《པེ་》《སྣར་》,འགགས་ལས་མྱང་འདས།
,,25,8,《པེ་》《སྣར་》,པ།
,68,26,1,《པེ་》《སྣར་》,སོགས།
,,27,2,《པེ་》《སྣར་》,ལྟ་བྱ་སོགས།
,,28,3,《པེ་》《སྣར་》,ལའང་།
,,29,4,《པེ་》《སྣར་》,མཚན།
,,30,5,《པེ་》《སྣར་》,བསྐྱེད།
,69,31,1,《པེ་》《སྣར་》,པོ།
,,32,2,《པེ་》《སྣར་》,པར།
,,33,3,《པེ་》《སྣར་》,མི།
,,34,4,《པེ་》《སྣར་》,ཅི་ཡང་།
,,35,5,《པེ་》《སྣར་》,ནི།
,,36,6,《པེ་》《སྣར་》,དང་ཡོད་མེད་ཅེས།
,,37,7,《པེ་》《སྣར་》,རྟོག་པར་བླ།
,,38,8,《པེ་》《སྣར་》,འབྱུང་།
,,39,9,《པེ་》《སྣར་》,ཞེན་ན་རྟག
,,40,10,《པེ་》《སྣར་》,རྟག
,,41,11,《པེ་》《སྣར་》,གིས།
,70,42,1,《པེ་》《སྣར་》,པ།
,,43,2,《པེ་》《སྣར་》,པ་གཟུགས་ཀྱང་།    །དེ་ཡི།
,,44,3,《པེ་》《སྣར་》,དེས།
,,45,4,《པེ་》《སྣར་》,དག
,,46,5,《པེ་》《སྣར་》,མེད།
,,47,6,《པེ་》《སྣར་》,བསྟེན།
,,48,7,《པེ་》《སྣར་》,བརྟེན།
,,49,8,《པེ་》《སྣར་》,དག་ཉིད་ཀྱི།,
,,50,9,《པེ་》,བརྟེན་ན།,《སྣར་》,བརྟན།
,71,51,1,《པེ་》《སྣར་》,པའི།,
,,52,2,《པེ་》《སྣར་》,ན།,
,,53,3,《པེ་》《སྣར་》,pརང་བཞིན་གྱིས་ནི་འགའ་ཡང་མེད།         །འདི་ལ་དངོས་པོ་མེད་པའང་མེད།    རྒྱུ་དང་རྐྱེན་ལས་སྐྱེས་པ་ཡི།    ། དངོས་དང་དངོས་མེད་སྟོང་པ་ཡིན།། ,
,,54,4,《པེ་》《སྣར་》,བདེན་བརྟགས།,
,,55,5,《པེ་》《སྣར་》,བསྟན།,
,72,56,1,《པེ་》《སྣར་》,ཚོལ།,
,,57,2,《པེ་》《སྣར་》,རྟེན།,
,,58,3,《པེ་》《སྣར་》,བསྟན།,
,,59,4,《པེ་》《སྣར་》,རིག,
,,60,5,《པེ་》《སྣར་》,པ།,
,,61,6,《པེ་》《སྣར་》,ལོ་ཙཱ།,
,,62,7,《པེ་》《སྣར་》,གཉན་དྷརྨ།,
