མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
,375,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ཐེག་པ་ཆེན་པོ་ཉི་ཤུ་པ་འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་བཞུགས་སོ།     །ཞེས་འཁོད།
,,3,2,《པེ་》《སྣར་》,ཡ་ན་བིདྴ་ཀཱི།
,,4,3,《པེ་》《སྣར་》,ནི།
,376,5,1,《པེ་》《སྣར་》,གྱི།
,,6,2,《པེ་》《སྣར་》,རྟོགས།
,,7,3,《པེ་》《སྣར་》,འབྱུང་།
,,8,4,《པེ་》《སྣར་》,རྟོགས།
,377,9,1,《པེ་》《སྣར་》,བ།
,,10,2,《པེ་》《སྣར་》,ཏེ།
,,11,3,《པེ་》《སྣར་》,པས།
,,12,4,《སྣར་》,པར།
,,13,5,《པེ་》《སྣར་》,ཙན་ཏྲ་ཀུ་མ།
,,14,6,《པེ་》《སྣར་》,mབའོ།
