མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
༄༅། །ཚད་མ་རྣམ་འགྲེལ་གྱི་འགྲེལ་པ།,900,2,1,《པེ་》《སྣར་》,རྣམ་འགྲེལ་ལེའུ་དང་པོའི་རང་འགྲེལ་བཞུགས། ,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》,ཎ་བརྟ་ཏི་ཀ་བྲིཏྟཾ།;《སྣར་》,ཎ་བརྟི་ཀ་བྲྀཏྟི།;《ཅོ་》,ཎཱ་པ་ཏཱ་ར་ཏི་ཀ་བྲྀ་ཏྲཱི།,,,,
,,4,3,《པེ་》,ལ།;《སྣར་》,བ།,,,,,
,,5,4,《པེ་》《སྣར་》,རྟོག,,,,,,
,901,6,1,《སྣར་》《ཅོ་》,ད།,,,,,,
,,7,2,《པེ་》《སྣར་》,བར།,,,,,,
,,8,3,《ཅོ་》,ཆོས།,,,,,,
,,9,4,《པེ་》《སྣར་》,པ།,,,,,,
,,10,5,《པེ་》《སྣར་》,བས།,,,,,,
,,11,6,《པེ་》《སྣར་》,སྤངས་པའི།,,,,,,
,,12,7,《སྣར་》,བུས།,,,,,,
,,13,8,《པེ་》《སྣར་》,ཏེ།,,,,,,
,902,14,1,《པེ་》《སྣར་》,pན།,,,,,,
,,15,2,《པེ་》,དོ།།,,,,,,
,,16,3,《པེ་》《སྣར་》,ན།,,,,,,
,903,17,1,《པེ་》《སྣར་》,འབྱུང་།,,,,,,
,,18,2,《པེ་》《སྣར་》,pཔོ།,,,,,,
,,19,3,《པེ་》《སྣར་》,ཚད།,,,,,,
,,20,4,《པེ་》《སྣར་》,སྐྱེ་བ།,,,,,,
,,21,5,《པེ་》《སྣར་》,པ་དག,,,,,,
,,22,6,《པེ་》《སྣར་》,གཅིག,,,,,,
,,23,7,《པེ་》《སྣར་》,mདག,,,,,,
,904,24,1,《པེ་》《སྣར་》,གྱུར་པའི།,,,,,,
,,25,2,《པེ་》《སྣར་》,གྱི།,,,,,,
,,26,3,《པེ་》《སྣར་》,pཔ་མེད།,,,,,,
,,27,4,《པེ་》,ལ།,,,,,,
,905,28,1,《པེ་》《སྣར་》,mཐ་སྙད།,,,,,,
,,29,2,《པེ་》《སྣར་》,བསྒྲུབས།,,,,,,
,,30,3,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,31,4,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,32,5,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,33,6,《པེ་》《སྣར་》,pཉིད་ཅན།,,,,,,
,906,34,1,《པེ་》,སྒྲུབ་པ།;《སྣར་》,སྒྲུབ་པ་ལ།,,,,,
,,35,2,《པེ་》《སྣར་》,འགྲེལ།,,,,,,
,,36,3,《པེ་》《སྣར་》,mཏེ།,,,,,,
,,37,4,《པེ་》《སྣར་》,པ།,,,,,,
,,38,5,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
,,39,6,《པེ་》《སྣར་》,mཁོ་ན།,,,,,,
,,40,7,《པེ་》《སྣར་》,དོ།།,,,,,,
,,41,8,《པེ་》《སྣར་》,ན།,,,,,,
,,42,9,《པེ་》《སྣར་》,རེག,,,,,,
,,43,10,《སྣར་》,ན།,,,,,,
,,44,11,《པེ་》《སྣར་》,pམེ།,,,,,,
,,45,12,《པེ་》《སྣར་》,pམེ།,,,,,,
,907,46,1,《པེ་》,ནི།,,,,,,
,,47,2,《པེ་》《སྣར་》,pམ།,,,,,,
,908,48,1,《པེ་》,བར།,,,,,,
,,49,2,《པེ་》,དུ་ཡོད་དོ།;《སྣར་》,དུ་ཡིན་ནོ།,,,,,
,,50,3,《པེ་》,ནི།,,,,,,
,,51,4,《པེ་》《སྣར་》,རྫས།,,,,,,
,,52,5,《པེ་》《སྣར་》,ན།,,,,,,
,,53,6,《པེ་》,སྐྱེས།;《ཅོ་》,བསྐྱེད།,,,,,
,,54,7,《པེ་》《སྣར་》,སྣ།,,,,,,
,,55,8,《པེ་》,ནས་པ།,,,,,,
,909,56,1,《པེ་》《སྣར་》,དེའི།,,,,,,
,,57,2,《པེ་》《སྣར་》,པ།,,,,,,
,,58,3,《པེ་》,mགྱི།,,,,,,
,,59,4,《པེ་》《སྣར་》,mཡིན།,,,,,,
,,60,5,《པེ་》,དེ།,,,,,,
,,61,6,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,62,7,《པེ་》《སྣར་》,mརོས།,,,,,,
,,63,8,《པེ་》《སྣར་》,བ།,,,,,,
,,64,9,《པེ་》《སྣར་》,པའི་འཁྲུལ།,,,,,,
,,65,10,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,66,11,《པེ་》《སྣར་》,pདང་།,,,,,,
,910,67,1,《པེ་》《སྣར་》,mཟག་པ།,,,,,,
,,68,2,《པེ་》,ཡིན།,,,,,,
,,69,3,《པེ་》《སྣར་》,དོན།,,,,,,
,911,70,1,《པེ་》《སྣར་》,pབ།,,,,,,
,,71,2,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,72,3,《པེ་》《སྣར་》,པར།,,,,,,
,,73,4,《པེ་》,pརོ།།,,,,,,
,,74,5,《པེ་》《སྣར་》,དེ།,,,,,,
,912,75,1,《པེ་》《སྣར་》,འཆགས།,,,,,,
,,76,2,《པེ་》,ན་ད།;《སྣར་》,ནི་ད།,,,,,
,,77,3,《སྣར་》,པོའི།,,,,,,
,,78,4,《པེ་》《སྣར་》,རིག,,,,,,
,,79,5,《པེ་》《སྣར་》,བལྟ།,,,,,,
,,80,6,《པེ་》《སྣར་》,དཔེར།,,,,,,
,,81,7,《པེ་》《སྣར་》,དོ།།,,,,,,
,,82,8,《པེ་》《སྣར་》,ཚོགས།,,,,,,
,,83,9,《པེ་》《སྣར་》,ན།,,,,,,
,,84,10,《པེ་》《སྣར་》,ཚོས།,,,,,,
,,85,11,《པེ་》,mཔའི།,,,,,,
,,86,12,《པེ་》《སྣར་》,ཡིན་ཞེ།,,,,,,
,,87,13,《པེ་》《སྣར་》,གྱིས།,,,,,,
,913,88,1,《པེ་》《སྣར་》,ཡི།,,,,,,
,,89,2,《པེ་》,ཙམ།,,,,,,
,,90,3,《པེ་》《སྣར་》,གསལ།,,,,,,
,,91,4,《པེ་》《སྣར་》,པ།,,,,,,
,,92,5,《པེ་》《སྣར་》,pནི།,,,,,,
,,93,6,《པེ་》《སྣར་》,mམ།,,,,,,
,,94,7,《པེ་》《སྣར་》,mདེས།,,,,,,
,,95,8,《པེ་》《སྣར་》,mནི།,,,,,,
,,96,9,《པེ་》,མཐོན་པ།,,,,,,
,,97,10,《པེ་》,གཞན།,,,,,,
,914,98,1,《པེ་》《སྣར་》,མ།,,,,,,
,,99,2,《པེ་》《སྣར་》,pཔ་ཉིད།,,,,,,
,,100,3,《པེ་》《སྣར་》,mདོ།,,,,,,
,,101,4,《པེ་》,mམི།;《སྣར་》,མ།,,,,,
,,102,5,《པེ་》《སྣར་》《ཅོ་》,བརྗོད།,,,,,,
,,103,6,《པེ་》《སྣར་》,མི།,,,,,,
,,104,7,《པེ་》《སྣར་》,ན།,,,,,,
,,105,8,《པེ་》《སྣར་》,བ།,,,,,,
,,106,9,《པེ་》《སྣར་》,mན།,,,,,,
