མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
༄༅། །རྩོད་པའི་རིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,863,2,1,《པེ་》《སྣར་》,རྩོད་པའི་རིགས་པ་བཞུགས་སོ། །,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,ཙོ་ཏ་ན།,,,,,
,,4,3,《པེ་》《སྣར་》,བ།,,,,,
,,5,4,《པེ་》《སྣར་》,བཞག,,,,,
,,6,5,《པེ་》《སྣར་》,སྒྱུས།,,,,,
,,7,6,《པེ་》《སྣར་》,བཅད།,,,,,
,,8,7,《པེ་》《སྣར་》,པའི།,,,,,
,,9,8,《པེ་》《སྣར་》,mནི།,,,,,
,,10,9,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,864,11,1,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,12,2,《པེ་》,སྒྲུབ།,,,,,
,,13,3,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,14,4,《སྣར་》,པར།,,,,,
,,15,5,《པེ་》《སྣར་》,mལ།,,,,,
,,16,6,《པེ་》《སྣར་》,mདངོས་པོ།,,,,,
,,17,7,《པེ་》《སྣར་》,mགྱིས།,,,,,
,,18,8,《པེ་》,པའི།,,,,,
,,19,9,《པེ་》《སྣར་》,པའོ།,,,,,
,,20,10,《པེ་》《སྣར་》,mལ།,,,,,
,,21,11,《པེ་》《སྣར་》,བ།,,,,,
,865,22,1,《པེ་》《སྣར་》,རྣམས།,,,,,
,,23,2,《པེ་》《སྣར་》,mམ།,,,,,
,,24,3,《པེ་》《སྣར་》,mརོ།,,,,,
,,25,4,《པེ་》《སྣར་》,པར།,,,,,
,,26,5,《པེ་》《སྣར་》,པ།,,,,,
,,27,6,《པེ་》《སྣར་》,mསྒྲུབ།,,,,,
,,28,7,《པེ་》《སྣར་》,བ་གང་།,,,,,
,,29,8,《པེ་》《སྣར་》,འགྱུར་རོ།,,,,,
,,30,9,《སྣར་》,དཀའ།,,,,,
,866,31,1,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,32,2,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,33,3,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,34,4,《པེ་》《སྣར་》,ན།,,,,,
,,35,5,《པེ་》《སྣར་》,mདངོས་པོ་དང་དངོས་པོ་…...རབ་ཏུ་གྲུབ་སྟེ།,,,,,
,,36,6,《པེ་》《སྣར་》,pདངོས་པོ་དང་དངོས་པོ་…...རབ་ཏུ་སྒྲུབ་པ་ན་ནི།,,,,,
,,37,7,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,38,8,《པེ་》《སྣར་》,pདེ།,,,,,
,,39,9,《པེ་》《སྣར་》,མེད།,,,,,
,,40,10,《པེ་》《སྣར་》,མེད།,,,,,
,,41,11,《པེ་》《སྣར་》,ད་ཁ།,,,,,
,867,42,1,《པེ་》《སྣར་》,སྒྲུབ།,,,,,
,,43,2,《པེ་》《སྣར་》,པ་ན།,,,,,
,,44,3,《པེ་》《སྣར་》,དེ་མ་སྒྲུབ་པས།,,,,,
,,45,4,《པེ་》《སྣར་》,mཔ་མེད།,,,,,
,,46,5,《པེ་》《སྣར་》,རྟོག,,,,,
,,47,6,《པེ་》《སྣར་》,mམི།,,,,,
,,48,7,《པེ་》《སྣར་》,པར།,,,,,
,,49,8,《པེ་》《སྣར་》,mཁྱད་པར།,,,,,
,,50,9,《པེ་》《སྣར་》,mཡོད་པ།,,,,,
,,51,10,《པེ་》《སྣར་》,རྒྱུ།,,,,,
,,52,11,《པེ་》《སྣར་》,mདག,,,,,
,,53,12,《པེ་》《སྣར་》,པར།,,,,,
,,54,13,《པེ་》《སྣར་》,mཡོད་པ།,,,,,
,,55,14,《པེ་》《སྣར་》,ཐ་སྙད།,,,,,
,868,56,1,《པེ་》,རྟོག་གོ།;《སྣར་》,རྟག་གོ།,,,,
,,57,2,《པེ་》《སྣར་》,།། །།,,,,,
,,58,3,《པེ་》《སྣར་》,pཉིད་དེས།,,,,,
,,59,4,《པེ་》《སྣར་》,རང་།,,,,,
,,60,5,《པེ་》《སྣར་》,mནི།,,,,,
,,61,6,《པེ་》《སྣར་》,mདེ།,,,,,
,,62,7,《པེ་》《སྣར་》,པ།,,,,,
