མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པའི་མན་ངག་གི་བསྟན་བཅོས་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་ཚིག་ལེའུར་བྱས་པའི་རྣམ་པར་འགྲེལ་པ།,33,2,1,《པེ་》《སྣར་》,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པའི་མན་ངག་གི་བསྟན་བཅོས་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་འགྲེལ་པ་ཉི་ཁྲི་སྣང་བ་བཞུགས།,,,,,,མཚན་བྱང་འདི་《སྡེ་》《ཅོ་》ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,ས།,,,,,,
,,4,3,《པེ་》《སྣར་》,པ།,,,,,,
,,5,4,《པེ་》《སྣར་》,ཏོ།,,,,,,
,,6,5,《པེ་》《སྣར་》,mཨ།,,,,,,
,,7,6,《པེ་》《སྣར་》,གསུང་བ།,,,,,,
,34,8,1,《པེ་》《སྣར་》,བཅས་པ།,,,,,,
,,9,2,《པེ་》《སྣར་》《ཅོ་》,ལས།,,,,,,
,,10,3,《པེ་》《སྣར་》,སྟེ།;《ཅོ་》,ཏེ།,,,,,
,,11,4,《པེ་》《སྣར་》,བཞག,,,,,,
,,12,5,《པེ་》《སྣར་》,འགྱུར།,,,,,,
,,13,6,《པེ་》《སྣར་》,རྩོམ།,,,,,,
,,14,7,《པེ་》《སྣར་》,པར།,,,,,,
,,15,8,《པེ་》,བཞི།,,,,,,
,,16,9,《པེ་》《སྣར་》,བརྒྱན།,,,,,,
,,17,10,《པེ་》《སྣར་》,mབྱ་བ་འདི།,,,,,,
,,18,11,《པེ་》,པ་དོན་དུ།;《སྣར་》,པོ་དོན་དུ།,,,,,
,,19,12,《པེ་》《སྣར་》,ཆར།,,,,,,
,35,20,1,《པེ་》,ཀྱི།,,,,,,
,,21,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,22,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,23,4,《པེ་》《སྣར་》,པ།,,,,,,
,36,24,1,《པེ་》《སྣར་》,ནི་རྣམ་པར།,,,,,,
,,25,2,《པེ་》《སྣར་》《ཅོ་》,རྣམས།,,,,,,
,,26,3,《པེ་》《སྣར་》,pརྣམས།,,,,,,
,,27,7,《པེ་》《སྣར་》,pསུམ།,,,,,,
,,28,5,《པེ་》《སྣར་》,mམ།,,,,,,
,,29,6,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,30,7,《པེ་》《སྣར་》,པར།,,,,,,
,37,31,1,《པེ་》《སྣར་》,རྣམ།,,,,,,
,,32,2,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,33,3,《སྣར་》,ཀྱི།,,,,,,
,38,34,1,《ཅོ་》,རྟོགས།,,,,,,
,,35,2,《པེ་》,ཀུན།,,,,,,
,,36,3,《པེ་》《སྣར་》,རྣམ།,,,,,,
,,37,4,《པེ་》《སྣར་》,mའདི།,,,,,,
,39,38,1,《པེ་》《སྣར་》,pགང་དང་།,,,,,,
,,39,2,《པེ་》,རིམ།,,,,,,
,,40,3,《པེ་》《སྣར་》,དཔའ།,,,,,,
,,41,4,《པེ་》《སྣར་》,mདེ།,,,,,,
,,42,5,《པེ་》《སྣར་》,རྒྱུས།,,,,,,
,,43,6,《པེ་》《སྣར་》,བུ།,,,,,,
,40,44,1,《པེ་》《སྣར་》《ཅོ་》,pནི།,,,,,,
,,45,2,《པེ་》《སྣར་》,pསེམས་དཔའ།,,,,,,
,,46,3,《པེ་》《སྣར་》《ཅོ་》,pརྫོགས་པར།,,,,,,
,,47,4,《པེ་》《སྣར་》,གྱི།,,,,,,
,,48,5,《པེ་》《སྣར་》,pཔོ།,,,,,,
,,49,6,《པེ་》《སྣར་》,གྱི།,,,,,,
,,50,7,《པེ་》《སྣར་》,པོ།,,,,,,
,,51,8,《པེ་》《སྣར་》《ཅོ་》,pགང་།,,,,,,
,41,52,1,《སྣར་》,འགོད།,,,,,,
,,53,2,《སྣར་》,པ་ཡིན་ནོ།,,,,,,
,,54,3,《པེ་》《སྣར་》,སྙན།,,,,,,
,,55,4,《པེ་》《སྣར་》《ཅོ་》,pགང་།,,,,,,
,,56,5,《པེ་》,གཏང་།,,,,,,
,42,57,1,《པེ་》《སྣར་》,pགང་།,,,,,,
,,58,2,《པེ་》《སྣར་》,བསྡུས་པའི།,,,,,,
,,59,3,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,,60,4,《པེ་》《སྣར་》,pགྱི།,,,,,,
,,61,5,《པེ་》《སྣར་》,pགང་།,,,,,,
,,62,6,《པེ་》《སྣར་》《ཅོ་》,བས།,,,,,,
,,63,7,《པེ་》《སྣར་》,pསེམས་དཔའ།,,,,,,
,43,64,1,《པེ་》《སྣར་》,གིས།,,,,,,
,,65,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,66,3,《པེ་》《སྣར་》,གིས།,,,,,,
,,67,4,《པེ་》《སྣར་》《ཅོ་》,གིས།,,,,,,
,,68,5,《པེ་》《སྣར་》《ཅོ་》,pགང་།,,,,,,
,,69,6,《པེ་》《སྣར་》,བབ།,,,,,,
,,70,7,《པེ་》,pཕ་རོལ་གྱི།,,,,,,
,,71,8,《པེ་》《སྣར་》,གིས།,,,,,,
,44,72,1,《པེ་》《སྣར་》,གཡེང་བ།,,,,,,
,,73,2,《པེ་》《སྣར་》,གིས།,,,,,,
,,74,3,《པེ་》《སྣར་》,pཅན།,,,,,,
,,75,4,《པེ་》《སྣར་》,གིས།,,,,,,
,,76,5,《པེ་》《སྣར་》《ཅོ་》,pགང་།,,,,,,
,,77,6,《པེ་》《སྣར་》,pཐབས་མཁས་པས།,,,,,,
,,78,7,《པེ་》《སྣར་》,བསྔོ་བས།,,,,,,
,,79,8,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,45,80,1,《པེ་》《སྣར་》,pདང་།,,,,,,
,,81,2,《སྣར་》,ཁམས་ཀྱིས།,,,,,,
,,82,3,《པེ་》《སྣར་》,ལ།,,,,,,
,,83,4,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,84,5,《པེ་》《སྣར་》,pབྱ་བར།,,,,,,
,46,85,1,《སྣར་》,ནོ།,,,,,,
,,86,2,《པེ་》《སྣར་》,pཔ་ཡིན།,,,,,,
,,87,3,《པེ་》《སྣར་》《ཅོ་》,pཆོས།,,,,,,
,,88,4,《པེ་》《སྣར་》,བསྲེག,,,,,,
,,89,5,《པེ་》《སྣར་》,mལ།,,,,,,
,,90,6,《པེ་》,གིས།,,,,,,
,,91,7,《པེ་》,གི།,,,,,,
,,92,8,《པེ་》《སྣར་》,དགང་བར།,,,,,,
,47,93,1,《པེ་》,བཏེགས།,,,,,,
,,94,2,《པེ་》《སྣར་》,བལྟ།,,,,,,
,,95,3,《པེ་》《སྣར་》,ཉན།,,,,,,
,,96,4,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,97,5,《པེ་》《སྣར་》,pགང་།,,,,,,
,,98,6,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
