མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
,382,2,1,《པེ་》《སྣར་》,ཉམ་གྱི་མན་ངག་ཐིག་ལེ་གསེར་གྱི་ཕྲེང་བ་ཞེས་བྱ་བ།,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་རྫོགས་བྱང་ལས་བླངས་ཏེ་བཀོད།
,,3,2,《པེ་》《སྣར་》,m༅༅༅།།
,,4,3,《པེ་》《སྣར་》,ཀྱིས།
,383,5,1,《པེ་》《སྣར་》,ཀྱི།,
,,6,2,《པེ་》《སྣར་》,སྨྱོང་།
,,7,3,《པེ་》《སྣར་》,ཡཱི།
,,8,4,《པེ་》《སྣར་》,དམན།
,,9,5,《པེ་》《སྣར་》,རས།
,,10,6,《པེ་》《སྣར་》,ཐུག
,,11,7,《པེ་》《སྣར་》,ཏེེ།
,384,12,1,《པེ་》《སྣར་》,ཏེེ།
,385,13,1,《པེ་》《སྣར་》,བཏགས།
,,14,2,《པེ་》《སྣར་》,མེད་དོ། །ཞེས།མེད་དོ་ཞེས།
,,15,3,《པེ་》《སྣར་》,བརྒྱལ།
,,16,4,《པེ་》,བསགས།
,,17,5,《པེ་》《སྣར་》,pཞེས།
,,18,6,《པེ་》《སྣར་》,pཞེས།
,386,19,1,《པེ་》《སྣར་》,པོར།
,,20,2,《པེ་》《སྣར་》,pཅེས།
,,21,3,《པེ་》《སྣར་》,བདེའི།
,,22,4,《པེ་》《སྣར་》,ར།
,,23,5,《པེ་》《སྣར་》,pཞེས།
,,24,6,《པེ་》《སྣར་》,བསྐལ་པ།
,,25,7,《པེ་》《སྣར་》,ཏུ།
,,26,8,《པེ་》《སྣར་》,pཅེས།
,387,27,1,《པེ་》《སྣར་》,pཞེས།
,,28,2,《པེ་》,བསྒོམས།
,,29,3,《པེ་》《སྣར་》,pཞེས།
,,30,4,《པེ་》《སྣར་》,བརླབས།
,,31,5,《པེ་》《སྣར་》,pཞེས།
,,32,6,《པེ་》《སྣར་》,pཞེས།
,,33,7,《པེ་》《སྣར་》,ལཀྵྨི།
,,34,8,《པེ་》《སྣར་》,pཞེས།
,,35,9,《པེ་》《སྣར་》,རེམ།
,388,36,1,《པེ་》《སྣར་》,pཞེས།
,,37,2,《པེ་》《སྣར་》,ར།
,,38,3,《པེ་》《སྣར་》,བརླབས།
,,39,4,《པེ་》《སྣར་》,རྟོགས།
,,40,5,《པེ་》《སྣར་》,བརྟེན།
,,41,6,《པེ་》《སྣར་》,ལྐུག
,,42,7,《པེ་》《སྣར་》,pཅེས།
,,43,8,《པེ་》《སྣར་》,བརླབས།
,,44,9,《པེ་》《སྣར་》,pཞེས།
,,45,10,《པེ་》《སྣར་》,འཐོབ།
,389,46,1,《པེ་》《སྣར་》,pཞེས།
,,47,2,《པེ་》《སྣར་》,བུས།
,,48,3,《པེ་》《སྣར་》,ལས།,,,
,,49,4,《པེ་》《སྣར་》,pཞེས།
,,50,5,《པེ་》《སྣར་》,བལྟ།
,,51,6,《པེ་》《སྣར་》,བལྟ།
,,52,7,《པེ་》《སྣར་》,pཞེས།
,,53,8,《པེ་》《སྣར་》,pཅེས།
,390,54,1,《པེ་》《སྣར་》,སླད།
,,55,2,《པེ་》《སྣར་》,ཨྃ་ཌི་ཡ་ནར།
