མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,
འདུལ་བའི་མདོ།,837,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,,
,,3,2,《པེ་》《སྣར་》,ནཱ།,,
,,4,3,《པེ་》《སྣར་》,རིམ།,,
,,5,4,《པེ་》《སྣར་》,འབྱུང་།,,
,,6,5,《པེ་》《སྣར་》,mདང་།,,
,838,7,1,《པེ་》《སྣར་》,གི།,,
,,8,2,《པེ་》《སྣར་》,mརུང་།,,
,,9,3,《པེ་》《སྣར་》,བསྐོན་པར།,,
,,10,4,《པེ་》《སྣར་》,གོ།,,
,,11,5,《པེ་》《སྣར་》,བ།,,
,,12,6,《པེ་》,བསྒྲུབ།,,
,,13,7,《པེ་》《སྣར་》,pལ།,,
,839,14,1,《པེ་》《སྣར་》,བསྒྲུབ།,,
,,15,2,《པེ་》《སྣར་》,སྐྱའམ།,,
,840,16,1,《པེ་》《སྣར་》,སྒྲུབ།,,
,,17,2,《ཅོ་》,འབྲལ།,,,,,,
,,18,3,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,19,4,《པེ་》《སྣར་》,mཔ།,,,,,,
,,20,5,《ཅོ་》,ཞུགས།,,,,,,
,,21,6,《པེ་》《སྣར་》,གསལ།,,,,,,
,,22,7,《པེ་》,mདུ།,,,,,,
,,23,8,《ཅོ་》,གྱི།,,,,,,
,841,24,1,《སྣར་》,སྤོང་།,,,,,,
,,25,2,《སྣར་》,སྨོ།,,,,,,
,,26,3,《པེ་》《སྣར་》,འདོར།,,,,,,
,,27,4,《ཅོ་》,སོའི།,,,,,,
,,28,5,《པེ་》《སྣར་》,བཞག ,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་གཞག་ཅེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བཞག་ཅེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,842,29,1,《ཅོ་》,pབ།,,,,,,
,,30,2,《པེ་》《སྣར་》,།། །།,,,,,,
,,31,3,《པེ་》《སྣར་》,ངོ་།,,,,,,
,,32,4,《པེ་》《སྣར་》,མཇུག,,,,,,
,,33,5,《པེ་》《སྣར་》,འབྱུང་།,,
,,34,6,《སྣར་》,མ།,,
,,35,7,《སྣར་》,བྱུང་།,,
,,36,8,《པེ་》《སྣར་》,mཔ།,,
,,37,9,《པེ་》《སྣར་》《ཅོ་》,འབྱུང་།,,
,843,38,1,《སྣར་》,པར་གང་།,,
,,39,2,《སྣར་》,སྐྱེ།,,
,,40,3,《པེ་》《སྣར་》,བསྟེན།,,
,,41,4,《པེ་》《སྣར་》,བྱུང་།,,
,,42,5,《སྣར་》,སླབས།,,
,,43,6,《པེ་》《སྣར་》,རེང་།,,
,844,44,1,《པེ་》,ནས།,,
,,45,2,《པེ་》,འཐིང་པོ་སྨད་འཕྱལ།,《སྣར་》,འཐིང་པ་སྨད་འཕྱལ།,
,,46,3,《པེ་》《སྣར་》,ཀླུག,,
,,47,4,《པེ་》《སྣར་》,pམ།,,
,,48,5,《ཅོ་》,ཆོ་བརྐུན།,,
,845,49,1,《པེ་》《སྣར་》,བ་ལང་།,,
,,50,2,《པེ་》《སྣར་》,ཆེ།,,
,,51,3,《པེ་》《སྣར་》,མིག།,,
,,52,4,《པེ་》《སྣར་》,སྦུབས།,,
,,53,5,《པེ་》《སྣར་》,སྤྲེའུ།,,
,,54,6,《པེ་》《སྣར་》,འཇིང་།,,
,,55,7,《པེ་》《སྣར་》,ཕག,,
,,56,8,《པེ་》《སྣར་》,རིང་།,,
,,57,9,《པེ་》《སྣར་》,སྐོམ།,,
,,58,10,《སྣར་》,མོ།,,
,,59,11,《པེ་》《སྣར་》,པའོ།,,
,,60,12,《པེ་》《སྣར་》,གི་དགག,,
,,61,13,《པེ་》《སྣར་》,བཟུང་།,,
,,62,14,《པེ་》《སྣར་》,བྱུང་།,,
,846,63,1,《པེ་》《སྣར་》,འདོམས།,,
,,64,2,《པེ་》《སྣར་》,འདྲེག,,
,,65,3,《པེ་》,སྟེའུ།,,
,,66,4,《པེ་》《སྣར་》,ཟན།,,
,,67,5,《པེ་》《སྣར་》,བཏིང་།,,
,,68,6,《པེ་》《སྣར་》,ཕྱག,,
,,69,7,《པེ་》《སྣར་》,འདྲེག,,
,,70,8,《པེ་》《སྣར་》,འདྲེག,,
,,71,9,《པེ་》《སྣར་》,pམོ་དང་བུ།,,
,,72,10,《པེ་》《སྣར་》,རྡེའུ།,,
,847,73,1,《པེ་》《སྣར་》,བསྒོས།,,
,,74,2,《པེ་》《སྣར་》,གཟེག,,
,,75,3,《པེ་》《སྣར་》,གདང་བར།,,
,,76,4,《པེ་》《སྣར་》,པས།,,
,,77,5,《པེ་》《སྣར་》,བརྩོག,,
,,78,6,《པེ་》《སྣར་》,སྤྱད།,,
,,79,7,《པེ་》《སྣར་》,ཕྱིས།,,
,,80,8,《པེ་》《སྣར་》,སྦྱང་།,,
,,81,9,《པེ་》《སྣར་》,pདག,,
,,82,10,《པེ་》《སྣར་》,pཁང་པ།,,
,,83,11,《པེ་》《སྣར་》,mཅན།,,
,,84,12,《པེ་》《སྣར་》,ཁོར།,,
,848,85,1,《པེ་》《སྣར་》,འཆི་བར།,,
,,86,2,《ཅོ་》,འབྱུང་།,,
,,87,3,《པེ་》《སྣར་》,དེར་རྩ།,,
,,88,4,《པེ་》《སྣར་》,ཐ།,,
,,89,5,《པེ་》《སྣར་》,སྒྲུབ།,,
,,90,6,《པེ་》《སྣར་》,ཁྲུང་།,,
,,91,7,《པེ་》《སྣར་》《ཅོ་》,གི།,,
,,92,8,《ཅོ་》,བསྲོ།,,
,,93,9,《པེ་》《སྣར་》,ཞེས་སོ།,,
,849,94,1,《སྣར་》,བརྟགས།,,
,,95,2,《པེ་》《སྣར་》,ཕྱིས།,,
,,96,3,《པེ་》《སྣར་》,པའི།,,
,,97,4,《པེ་》《སྣར་》,འཇུག,,
,,98,5,《པེ་》《སྣར་》,ཀྱི།,,
,,99,6,《པེ་》《སྣར་》,བརྟན།,,
,,100,7,《པེ་》《སྣར་》,mནི།,,
,,101,8,《སྣར་》,བྲུགས།,,
,,102,9,《སྣར་》,ཁ་གབ་བཞུག,《ཅོ་》,ལག་པ་གཞུག,
,,103,10,《སྣར་》,pས།,,
,850,104,1,《སྣར་》,mལག,,
,,105,2,《པེ་》《སྣར་》,ཁ།,,
,,106,3,《པེ་》《སྣར་》,གི།,,
,,107,4,《པེ་》《སྣར་》,དྷའི།,,
,,108,5,《པེ་》《སྣར་》,pབཅས་ཚོད་མ་དང་།,,
,,109,6,《པེ་》《སྣར་》,pནས།,,
,,110,7,《པེ་》《སྣར་》,དེའི།,,
,,111,8,《པེ་》《སྣར་》,སྐམ།,,
,,112,9,《པེ་》《སྣར་》,མ།,,
,,113,10,《པེ་》《སྣར་》,ཕྱིར།,,
,851,114,1,《པེ་》《སྣར་》,སྐམ།,,
,,115,2,《པེ་》《སྣར་》,བསྐོ།,,
,,116,3,《པེ་》《སྣར་》,སྦྱངས།,,
,,117,4,《པེ་》,གཞན།,《སྣར་》,གཞིན།,
,,118,5,《པེ་》《སྣར་》《ཅོ་》,བཀུར།,,
,,119,6,《པེ་》《སྣར་》,བཀུར།,,
,,120,7,《པེ་》《སྣར་》,བཀུར་རོ། །དེ་བཀུར།,,
,,121,8,《ཅོ་》,pབ།,,
,852,122,1,《པེ་》《སྣར་》,སྐྱགས།,,
,,123,2,《སྣར་》,གྱིས།,,
,,124,3,《པེ་》,ཀུན་རུ།,《སྣར་》,ཀུན་དུ།,
,,125,4,《པེ་》《སྣར་》,སྲེག་པ།,,
,,126,5,《པེ་》,སྐུ།,,
,,127,6,《པེ་》《སྣར་》,བསྐོས།,,
,,128,7,《པེ་》《སྣར་》,བསྐམས།,,
,,129,8,《པེ་》《སྣར་》,གདིང་།,,
,,130,9,《པེ་》《སྣར་》,pབྱི་དོར་བྱས་ཤིང་།,,
,853,131,1,《པེ་》《སྣར་》,རྟག,,
,,132,2,《པེ་》《སྣར་》,pང་།,,
,,133,3,《པེ་》《སྣར་》,བཏང་།,,
,,134,4,《པེ་》《སྣར་》,mམི།,,
,,135,5,《པེ་》《སྣར་》,མི།,,
,,136,6,《པེ་》《སྣར་》,mབ།,,
,,137,7,《པེ་》《སྣར་》,འདོག,,
,,138,8,《པེ་》《སྣར་》,བཟུང་།,,
,854,139,1,《པེ་》《སྣར་》,pཔ།,,
,,140,2,《པེ་》《སྣར་》,བལྟོས།,,
,,141,3,《པེ་》《སྣར་》,བ།,,
,,142,4,《པེ་》《སྣར་》,ན་དེ་ཉིད།,,
,,143,5,《པེ་》《སྣར་》,mཔ།,,
,,144,6,《པེ་》《སྣར་》,གིས།,,
,,145,7,《སྣར་》,ཆག,,
,,146,8,《པེ་》《སྣར་》《ཅོ་》,བཅད།,,
,855,147,1,《པེ་》《སྣར་》,བྱ་བ་མི་བཅའོ།,,
,,148,2,《པེ་》《སྣར་》,pམི།,,
,,149,3,《པེ་》,འཁོར།,,
,,150,4,《སྣར་》,mབ།,,
,,151,5,《པེ་》,ཁས།,,
,,152,6,《སྣར་》,སོས།,《ཅོ་》,mས།,
,,153,7,《པེ་》,དོར་འབྱུང་བ།,《སྣར་》,བར་འབྱུང་བ།,
,,154,8,《ཅོ་》,བསྒྲུབ།,,
,,155,9,《པེ་》,སྟོབས།,《སྣར་》,སྟགས།,
,856,156,1,《པེ་》《སྣར་》,mན།,,
,,157,2,《པེ་》《སྣར་》,གསོད་པ་དེ་ལ་སྟར་བར།,,
,,158,3,《སྣར་》,སྔོན།,,
,,159,4,《པེ་》《སྣར་》,ཐོག,,
,857,160,1,《པེ་》《སྣར་》,སྒྲུབ།,,
,,161,2,《པེ་》《སྣར་》,འདྲིན།,,
,,162,3,《པེ་》《སྣར་》,pདང་།,,
,,163,4,《པེ་》《སྣར་》,པོའི།,,
,,164,5,《པེ་》《སྣར་》,པའི་འོ།,,
,,165,6,《ཅོ་》,པར།,,
,,166,7,《པེ་》《སྣར་》,pབ།,,
,,167,8,《སྣར་》,བསྐོར།,,
,,168,9,《ཅོ་》,ནི།,,
,,169,10,《པེ་》《སྣར་》,གྱི།,,
,,170,11,《པེ་》《སྣར་》,ཀྱི།,,
,,171,12,《ཅོ་》,བསམ།,,
,858,172,1,《པེ་》《སྣར་》,དང་ཆོས།,,
,,173,2,《པེ་》《སྣར་》,འདའ།,,
,,174,3,《པེ་》《སྣར་》,mས།,,
,,175,4,《པེ་》《སྣར་》,སྨྲེ།,,
,,176,5,《པེ་》《སྣར་》,འོང་།,,
,,177,6,《པེ་》《སྣར་》,mལ།,,
,,178,7,《པེ་》《སྣར་》,གི།,,
,,179,8,《པེ་》《སྣར་》,འདྲོན།,,
,,180,9,《པེ་》,གྲོགས་ན་ནི།,《སྣར་》,ཕྲོགས་ན་ནི།,
,859,181,1,《པེ་》《སྣར་》,པར།,,
,,182,2,《པེ་》《སྣར་》,pཔའི།,,
,,183,3,《པེ་》《སྣར་》,སྒྲུབ།,,
,,184,4,《སྣར་》,བཏམ།,,
,,185,5,《པེ་》《སྣར་》,pལ།,,
,,186,6,《པེ་》《སྣར་》,བཅད།,,
,,187,7,《པེ་》《སྣར་》,བྱའོ།,,
,860,188,1,《པེ་》《སྣར་》,བསླབས།,,
,,189,2,《པེ་》,པར།,,
,,190,3,《པེ་》《སྣར་》,བསྟབས།,,
,,191,4,《པེ་》《སྣར་》,བཤམ།,,
,,192,5,《པེ་》《སྣར་》,བྲིན།,,
,,193,6,《པེ་》《སྣར་》,ན།,,
,,194,7,《སྣར་》,དུས།,,
,,195,8,《པེ་》《སྣར་》,ཞང་།,,
,861,196,1,《པེ་》《སྣར་》,སློང་།,,
,,197,2,《པེ་》《སྣར་》,ཚིགས།,,
,,198,3,《པེ་》《སྣར་》,ལའོ།,,
,,199,4,《སྣར་》,ཡོད།,,
,,200,5,《སྣར་》,བཀོལ།,,
,,201,6,《པེ་》《སྣར་》,འདམ།,,
,,202,7,《པེ་》,pམ།, 《སྣར་》,pམི།,
,862,203,1,《པེ་》《སྣར་》,mལ།,,
,,204,2,《པེ་》《སྣར་》,ལྟར།,,
,,205,3,《སྣར་》,སྒྲན།,,
,,206,4,《པེ་》《སྣར་》,ཚིགས།,,
,,207,5,《སྣར་》,སོན།,,
,,208,6,《པེ་》《སྣར་》,བླེ་བོ།,,
,,209,7,《པེ་》《སྣར་》,mཔ།,,
,863,210,1,《པེ་》《སྣར་》,ལ།,,
,,211,2,《པེ་》《སྣར་》,པོས།,,
,,212,3,《པེ་》《སྣར་》,སྣང་།,,
,,213,4,《སྣར་》,ཕ།,,
,,214,5,《པེ་》,mལས།,,
,,215,6,《པེ་》《སྣར་》,སྤྱད།,,
,,216,7,《སྣར་》,བུལ།,,
,864,217,1,《པེ་》《སྣར་》,pལ།,,
,,218,2,《པེ་》《སྣར་》,དབྱེན།,,
,,219,3,《པེ་》《སྣར་》,དབྱེན།,,
,,220,4,《པེ་》《སྣར་》,pགནས་པའམ།,,
,,221,5,《པེ་》《སྣར་》,བྱ་བའམ།,,
,,222,6,《པེ་》《སྣར་》,རིང་བ་ཉིད།,,
,,223,7,《པེ་》《སྣར་》,བཅུ།,,
,,224,8,《པེ་》《སྣར་》,གི།,,
,,225,9,《པེ་》《སྣར་》,mསྔར།,,
,865,226,1,《པེ་》《སྣར་》,བསྲུངས།,,
,,227,2,《སྣར་》,ཚད།,,
,,228,3,《པེ་》《སྣར་》,pན།,,
,,229,4,《པེ་》《སྣར་》,pནི།,,
,,230,5,《པེ་》《སྣར་》,ཚིགས།,,
,,231,6,《པེ་》,པའི།,,
,866,232,1,《པེ་》《སྣར་》,གྱི།,,
,,233,2,《པེ་》《སྣར་》,བལྟབ།,,
,,234,3,《པེ་》《སྣར་》,pལ།,,
,,235,4,《པེ་》《སྣར་》,ཀྱིས།,,
,,236,5,《པེ་》《སྣར་》,བརྟེན།,,
,,237,6,《པེ་》《སྣར་》,མྱོང་།,,
,,238,7,《པེ་》《སྣར་》,འདོམས་ཀྱིས་འདོམས།,,
,,239,8,《སྣར་》,དང་།,,
,867,240,1,《པེ་》《སྣར་》,ན།,,
,,241,2,《པེ་》《སྣར་》,བྲལ།,,
,,242,3,《པེ་》《སྣར་》,བརྡོས།,,
,,243,4,《པེ་》,ཉམས།,,
,,244,5,《པེ་》《སྣར་》,བརྒལ།,,
,,245,6,《པེ་》《སྣར་》,བརྒལ།,,
,,246,7,《པེ་》《སྣར་》,mམི།,,
,,247,8,《པེ་》《སྣར་》,བརྟག་པ།,,
,,248,9,《སྣར་》,གབས།,,
,,249,10,《པེ་》《སྣར་》,གློས།,,
,,250,11,《པེ་》《སྣར་》,mདང་པོ།,,
,868,251,1,《པེ་》《སྣར་》,mཉིད།,,
,,252,2,《པེ་》《སྣར་》,pདང་།,,
,,253,3,《པེ་》《སྣར་》,གཟུང་།,,
,,254,4,《པེ་》《སྣར་》,བསྙ།,,
,,255,5,《པེ་》《སྣར་》,བཅུགས།,,
,,256,6,《པེ་》《སྣར་》,གཞིའི།,,
