མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
ལས་བརྒྱ་རྩ་གཅིག་པ།,1105,2,1,《པེ་》《སྣར་》,༄༅། །ལས་བརྒྱ་རྩ་སློབ་དཔོན་ཡོན་ཏན་འོད་ཀྱིས་མཛད་པའོ།    །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《ཅོ་》,ལས།,,,,,,
,1106,4,1,《པེ་》《སྣར་》,སྔོན་༡དང་དགེ་བསྙེན་༢བསླབ་པ་༣དང་། །ཞུ་༤དང་མཁན་པོ་༥དང་པོ་༦དང་། ། རབ་བྱུང་༧དགེ་ཚུལ་༨གྲིབ་ཚོད་༩དང་། །བསླབ་པ་བརྗོད་པ་༡༠ཐ་མ་ཡིན། ། དང་པོར་བྱ་༡༡མཁན་པོ་༡༢དང་། །ཆོས་གོས་གཉིས་༡༣དང་ལྷུང་བཟེད་༡༤དང་། །སྤྲོ་བྱ་གསོལ་བ་༡༥གསང་སྟོན་༡༦དང་། །ཞུ་༡༧དང་གསོལ་༡༨དང་གསོལ་བ་༡༩དང་། །དྲི་༢༠དང་ལས་༢༡དང་གྲིབ་ཚོད་༢༢དང་། །ཉིན་མཚན་༢༣དུས་ཚོད་༢༤གནས་༢༥རྣམས་དང་། །ལྟུང་༢༦དང་དགེ་སྦྱོང་༢༧མཆོག་འདོད་༢༨དང་། །ཚུལ་ཁྲིམས་མཉམ་༢༩དང་ཚུལ་འབྲེལ་༣༠དང་། །དུལ་༣༡དང་དགོས་༣༢དང་མ་བརྗོད་༣༣དང་། །གུས་པ་༣༤དང་ནི་བསྒྲུབ་བྱའོ༣༥།།,,,,,,
,,5,2,《པེ་》《སྣར་》,གཟུང་།,,,,,,
,,6,3,《པེ་》《སྣར་》,གཅུག,,,,,,
,1107,7,1,《པེ་》《སྣར་》,mའདི།,,,,,,
,1108,8,1,《པེ་》《སྣར་》,དྲི།,,,,,,
,,9,2,《པེ་》《སྣར་》,ཞིག,,,,,,
,,10,3,《ཅོ་》,བཟུང་།,,,,,,
,,11,4,《པེ་》,གཟུང་།,,,,,,
