མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །འདུལ་བ་མདོའི་རྣམ་པར་བཤད་པ།,3,2,1,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,,,,,,
,,3,2,《པེ་》《སྣར་》,ན།,,,,,,
,,4,3,《པེ་》《སྣར་》,mདགོས་པ་མེད་པར་དོགས་པ་དང་།,,,,,,
,4,5,1,《པེ་》,པའི།,,,,,,
,,6,2,《པེ་》《སྣར་》,mམ།,,,,,,
,,7,3,《པེ་》《སྣར་》,བསམ།,,,,,,
,,8,4,《པེ་》,རྩོམས།,,,,,,
,,9,5,《པེ་》《སྣར་》,pཔ།,,,,,,
,,10,6,《པེ་》《སྣར་》,mལྟ་བུ།,,,,,,
,,11,7,《ཅོ་》,གླན།,,,,,,
,,12,8,《པེ་》《སྣར་》,ཀྱི་འཇོམ་མོ།,,,,,,
,5,13,1,《པེ་》《སྣར་》,བ།,,,,,,
,,14,2,《ཅོ་》,གླན།,,,,,,
,,15,3,《པེ་》《སྣར་》,ཁྱོད་ཀྱི།,,,,,,
,,16,4,《པེ་》《སྣར་》,བྱ་བ།,,,,,,
