མཚན་བྱང།,ཤོག་གྲངས། ,1,མཆན་གྲངས། ,དཔར་མ། ,མཆན།,
,,2,,,,
,73,3,4,《པེ་》《སྣར་》,མཆོག,
,,4,5,《པེ་》《སྣར་》,པོ།,
,74,5,1,《པེ་》《སྣར་》,པོ།,
,,6,2,《པེ་》《སྣར་》,mམ།,
,,7,3,《པེ་》《སྣར་》,mསྒྲ་གྲག,
,,8,4,《པེ་》《སྣར་》,mཧ་ཏ།,
,,9,5,《པེ་》《སྣར་》,mཧྱེ།,
,75,10,1,《པེ་》《སྣར་》,སྤྱན།,
,,11,2,《པེ་》《སྣར་》,བསྟོད་པར།,
,,12,3,《པེ་》《སྣར་》,པར།,
,,13,4,《པེ་》《སྣར་》,བཟངས།,
,,14,5,《པེ་》《སྣར་》,pབ།,
,,15,6,《པེ་》《སྣར་》,གྷི་ཧཾ་གི་མཚན།,
,,16,7,《པེ་》《སྣར་》,གྱི།,
,,17,8,《པེ་》《སྣར་》,བཱ།,
,,18,9,《པེ་》《སྣར་》,གི།,
,76,19,1,《པེ་》《སྣར་》,mལཱ།,
,,20,2,《པེ་》《སྣར་》,པས།,
,,21,3,《པེ་》《སྣར་》,pཅི།,
,,22,4,《པེ་》《སྣར་》,པ།,
,,23,5,《པེ་》《སྣར་》,རྗེ།,
,,24,6,《པེ་》《སྣར་》,བསྲུང་།,
,,25,7,《པེ་》《སྣར་》,mདང་།,
,,26,8,《པེ་》《སྣར་》,ཀླག,
,,27,9,《པེ་》《སྣར་》,འབྱུང་།,
,,28,10,《པེ་》《སྣར་》,རྗེ།,
,77,29,1,《པེ་》《སྣར་》,ཐ།,
,,30,2,《སྣར་》,གྲ།,
,,31,3,《པེ་》《སྣར་》,ཐ།,
,,32,4,《པེ་》《སྣར་》,mལ།,
,,33,5,《པེ་》《སྣར་》,ན།,
,,34,6,《པེ་》《སྣར་》,mབརྒྱ་རྩ།,
,78,35,1,《པེ་》《སྣར་》,བསྒྲད།,
,,36,2,《པེ་》《སྣར་》,དཱ།,
,,37,3,《པེ་》《སྣར་》,དཔའ།,
,,38,4,《པེ་》《སྣར་》,བསྟན།,
,,39,5,《པེ་》《སྣར་》,གཅིག་ལ་བསྐོར་ལ།,
,,40,6,《པེ་》《སྣར་》,pབདག,
,79,41,1,《པེ་》《སྣར་》,གྱི།,
,,42,2,《པེ་》《སྣར་》,ལོའི།,
,,43,3,《པེ་》《སྣར་》,འཆན།,
,,44,4,《པེ་》《སྣར་》,ལ།,
,,45,5,《པེ་》《སྣར་》,ལ།,
,,46,6,《པེ་》《སྣར་》,ཙྪིན་ད་ཙྪིན་ད་མ་ཧཱ་ཀི་ལི་ཀཱི་ལ།,
,,47,7,《པེ་》《སྣར་》,ཙན་ད།,
,,48,8,《པེ་》《སྣར་》,ལ།,
,,49,9,《པེ་》《སྣར་》,པ།,
,,50,10,《པེ་》《སྣར་》,ལ།,
,80,51,1,《པེ་》《སྣར་》,ལ།,
,,52,2,《པེ་》《སྣར་》,ལ།,
,,53,3,《པེ་》,པ་རྡོ་རྗེ།,《སྣར་》,པ་རྡོ།
,,54,4,《པེ་》《སྣར་》,པ།,
,,55,5,《སྣར་》,རྒྱན།,
,,56,6,《པེ་》《སྣར་》,བསྒྲད།,
,,57,7,《པེ་》《སྣར་》,ཟན།,
,,58,8,《པེ་》《སྣར་》,ཚིན་ད་ཚིན་ད།,
,,59,9,《པེ་》《སྣར་》,ལ།,
,,60,10,《པེ་》《སྣར་》,འགྲིལ།,
,,61,11,《པེ་》《སྣར་》,ལ།,
,,62,12,《པེ་》《སྣར་》,ལ།,
,,63,13,《པེ་》《སྣར་》,འགྲིལ།,
,,64,14,《པེ་》《སྣར་》,mན།,
,,65,15,《པེ་》《སྣར་》,ལ།,
,81,66,1,《པེ་》《སྣར་》,བུ།,
,,67,2,《པེ་》《སྣར་》,དྷ།,
,,68,3,《པེ་》《སྣར་》,པ།,
,,69,4,《པེ་》《སྣར་》,ཙམ།,
,,70,5,《པེ་》《སྣར་》,དྷ།,
,,71,6,《པེ་》《སྣར་》,པུ།,
,,72,7,《པེ་》《སྣར་》,བཏོན།,
,,73,8,《པེ་》《སྣར་》,བས།,
,,74,9,《པེ་》《སྣར་》,བསྲུང་།,
,,75,10,《པེ་》《སྣར་》,ཐབས།,
,82,76,1,《པེ་》《སྣར་》,དགྱེ།,
,,77,2,《པེ་》《སྣར་》,པའི།,
,,78,3,《པེ་》《སྣར་》,mཿ།,
,,79,4,《པེ་》《སྣར་》,རྫེས།,
,,80,5,《པེ་》《སྣར་》,བ།,
,83,81,1,《པེ་》《སྣར་》,ཐོག,
,,82,2,《པེ་》《སྣར་》,mཨོཾ།,
,,83,3,《སྣར་》,ཛྭ།,
,,84,4,《པེ་》《སྣར་》,གི་མཆོད་པ་དབུལ།,
,,85,5,《པེ་》《སྣར་》,པར།,
,,86,6,《པེ་》《སྣར་》,སོའི་འོད་དུ་བཞུ།,
,,87,7,《པེ་》《སྣར་》,mམོ།,
,,88,8,《པེ་》《སྣར་》,བ་ལས་དེ།,
,,89,9,《པེ་》《སྣར་》,བཏང་།,
,,90,10,《པེ་》《སྣར་》,pདཀྱིལ་འཁོར་གྱི།,
,,91,11,《པེ་》《སྣར་》,mབར།,
,84,92,1,《པེ་》《སྣར་》,ལེ་རྩེ།,
,,93,2,《པེ་》《སྣར་》,ལིང་།,
,,94,3,《པེ་》《སྣར་》,ལིང་།,
,,95,4,《པེ་》《སྣར་》,བབ།,
,,96,5,《པེ་》《སྣར་》,རིགས།,
,,97,6,《པེ་》《སྣར་》,mཔ།,
,,98,7,《པེ་》《སྣར་》,གའི།,
,,99,8,《པེ་》《སྣར་》,བསྒྱུར།,
,,100,9,《པེ་》《སྣར་》,དྷི།,
,,101,10,《པེ་》《སྣར་》,mཔ།,
,,102,11,《པེ་》《སྣར་》,སྲུངས།,
,,103,12,《པེ་》《སྣར་》,པ།,
,,104,13,《པེ་》《སྣར་》,གུང་མོ།,
,85,105,1,《པེ་》《སྣར་》,pལ།,
