མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,དཔར་མ།,མཆན། ,
,,2,,,,
,178,3,1,《པེ་》《སྣར་》,ཆོལ།,
,,4,2,《པེ་》《སྣར་》,པའི།,
,,5,3,《པེ་》《སྣར་》,དྲངས་པ།,
,,6,4,《པེ་》《སྣར་》,ཀྱི།,
,179,7,1,《པེ་》《སྣར་》,ག,
,,8,2,《པེ་》《སྣར་》,mཧཱུཾ།,
,,9,3,《པེ་》《སྣར་》,བཅད།,
,,10,4,《པེ་》《སྣར་》,པར།,
,,11,5,《པེ་》《སྣར་》,ལས།,
,,12,6,《པེ་》《སྣར་》,mའཁོར་བ།,
,,13,7,《པེ་》《སྣར་》,pཔ་ཡི།,
,,14,8,《པེ་》《སྣར་》,བརྟེན།,
,,15,9,《པེ་》《སྣར་》,ཀྱི་སྐལ་བའི།,
,,16,10,《པེ་》《སྣར་》,mཿ།,
,,17,11,《པེ་》《སྣར་》,དྲངས་པ།,
,180,18,1,《པེ་》《སྣར་》,ཨཏྨ།,
,,19,2,《པེ་》《སྣར་》,mདག་པའི།,
,181,20,1,《པེ་》《སྣར་》,བསྲེག,
,,21,2,《པེ་》《སྣར་》,སྦྱོངས།,
,,22,3,《པེ་》《སྣར་》,pཔ།,
,,23,4,《པེ་》《སྣར་》,ན།,
,,24,5,《པེ་》《སྣར་》,mདེ།,
,,25,6,《པེ་》《སྣར་》,ལ།,
,182,26,1,《པེ་》《སྣར་》,pལ།,
