མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,དཔར་མ།,མཆན།,
,,2,,,,
,213,3,9,《པེ་》《སྣར་》,ཀྱི་ཐ།,
,214,4,1,《པེ་》《སྣར་》,mཔ།,
,,5,2,《པེ་》《སྣར་》,པ།,
,,6,3,《པེ་》《སྣར་》,mམོ།,
,,7,4,《པེ་》《སྣར་》,བཏང་།,
,,8,5,《པེ་》《སྣར་》,ཀྱི།,
,,9,6,《པེ་》《སྣར་》,ན།,
,,10,7,《པེ་》《སྣར་》,འབུལ།,
,,11,8,《པེ་》《སྣར་》,བགྱིའོ།,
,215,12,1,《པེ་》《སྣར་》,mསྐུ་མདོག་དམར་སྐྱ་འོད་ཟེར་འབར། །ཕྱག་མཚན་པདྨ་ཞགས་པ་བསྣམས། །སྤྱི་གཙུག་ཡིད་བཞིན་ནོར་བུ་དང་། །སྦྲུལ་མགོ་བདུན་གྱི་གདེངས་ཀ་ཅན། །སྦྲུལ་དང་རིན་ཆེན་རྒྱན་གྱིས་བརྒྱན། །དེ་ལ་མཆོད་ཅིང་བསྟོད་པར་བགྱི། །ཤར་ལྷོར་ཀླུ་རྒྱལ་ནོར་རྒྱས་ནི། །ཞལ་གཅིག་ཕྱག་གཉིས་རོ་སྨད་སྦྲུལ། །,
,,13,2,《པེ་》《སྣར་》,སུ་ན།,
,216,14,1,《པེ་》《སྣར་》,སྡུག,
,,15,2,《པེ་》《སྣར་》,དང་ནི།,
,,16,3,《པེ་》《སྣར་》,མང་།,
,,17,4,《པེ་》《སྣར་》,ཀྱི།,
,,18,5,《པེ་》《སྣར་》,བཏང་།,
,,19,6,《པེ་》《སྣར་》,mཆུས།,
,,20,7,《པེ་》《སྣར་》,ཙཱི།,
,217,21,1,《པེ་》《སྣར་》,ཕྱུང་ཞིག,
,,22,2,《པེ་》《སྣར་》,པས།,
,,23,3,《པེ་》《སྣར་》,ལ།,
,,24,4,《པེ་》《སྣར་》,སྦྱར།,
,,25,5,《སྣར་》,བརྗོད་སྟོད།,
,,26,6,《པེ་》《སྣར་》,པར།,
,218,27,1,《པེ་》《སྣར་》,པོ།,
,,28,2,《པེ་》《སྣར་》,རྡོམ།,
,,29,3,《པེ་》《སྣར་》,སྔོ་སྐྱ།,
,,30,4,《སྣར་》,མོ།,
,,31,5,《པེ་》《སྣར་》,སྐྱའོ། །,
,,32,6,《པེ་》《སྣར་》,གེ།,
,,33,7,《པེ་》《སྣར་》,mསྣ།,
,,34,8,《པེ་》《སྣར་》,ན།,
,,35,9,《པེ་》《སྣར་》,སོགས་སུ་དབུལ།,《ཅོ་》,སྐབས་སུ་འབུལ།
,,36,10,《པེ་》《སྣར་》,mས།,
,219,37,1,《པེ་》《སྣར་》,mཔོ།,
,,38,2,《པེ་》《སྣར་》,བསྲེག,
,,39,3,《པེ་》《སྣར་》,pཔའི་ནད།,
,,40,4,《པེ་》《སྣར་》,ན།,
