མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ་།,མཆན།།
དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་དམ་ཚིག་བསྲུང་བའི་སྒྲུབ་ཐབས།,513,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》༄༅། །དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱིས་དམ་ཚིག་སྲུང་བའི་སྒྲུབ་ཐབས་གཙུག་ཏོར་དྲི་མེད་མར་མེ་མཛད་ཡེ་ཤེས་ཀྱི་མཛད་པ་བཞུགས་སོ།།
,,3,2,《པེ་》《སྣར་》,སྒྲུབས།
,,4,3,《པེ་》《སྣར་》,པ།
,514,5,1,《པེ་》《སྣར་》,༼ ྅།
,,6,2,《པེ་》《སྣར་》,ལམ།
,,7,3,《པེ་》《སྣར་》,བྱིན།
,,8,4,《པེ་》《སྣར་》,མཁའ།
,,9,5,《པེ་》《སྣར་》,པ།
,,10,6,《པེ་》《སྣར་》,སྤྱོད།
,,11,7,《པེ་》《སྣར་》,༼ ཀ་ར།
