       མཚན་བྱང་།,           ཤོག་གྲངས།,1,          མཆན་གྲངས།,             པར་མ།,                                                                                 མཆན།,          པར་གྲངས།
༄༅། །དྲི་མ་མེད་པ་རིན་པོ་ཆེའི་སྤྲིང་ཡིག་ཅེས་བྱ་བ།,758,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།《པེ་》ལ་དྲི་མ་མེད་པ་རིན་པོ་ཆེའི་ཕྲིན་ཡིག་ཅེས་བྱ་བ་བཞུགས་སོ། །ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,ཕྲིན།,
,,4,3,《པེ་》《སྣར་》,སྤང་ཞིང་།,
,759,5,1,《པེ་》《སྣར་》,གིས།,
,,6,2,《པེ་》《སྣར་》,པ།,
,,7,3,《པེ་》《སྣར་》,རྣམ།,
,,8,4,《པེ་》《སྣར་》,རྣམ།,
,,9,5,《པེ་》《སྣར་》,བརྟེན།,
,,10,6,《པེ་》《སྣར་》,ཀྱི།,
,760,11,1,《པེ་》《སྣར་》,པ།,
,,12,2,《པེ་》,སྡང་དང་མི་བདེའི་ས་སྤང་ཞིང་།,《སྣར་》,སྤང་དང་མི་བདེའི་ས་སྤང་ཞིང་།
,,13,3,《པེ་》《སྣར་》,བསྲུང་།,
,,14,4,《པེ་》《སྣར་》,མཛད།,
,,15,5,《པེ་》《སྣར་》,ལྡང་།,
,761,16,1,《པེ་》《སྣར་》,སྙོམས།,
,,17,2,《པེ་》《སྣར་》,གཏོང་།,
,,18,3,《པེ་》《སྣར་》,མཛོད།,
,,19,4,《པེ་》《སྣར་》,བསྡམས།,
,762,20,1,《པེ་》《སྣར་》,སྙན་སྒྲོག་ཅེས།,
,,21,2,《པེ་》《སྣར་》,སྙན།,
,,22,3,《པེ་》《སྣར་》,mལེགས་པ།,
,,23,4,《པེ་》《སྣར་》,གཅད་ཕྱིར།,
,,24,5,《པེ་》《སྣར་》,འདི།,
,,25,6,《པེ་》《སྣར་》,རྟོག,
,,26,7,《པེ་》《སྣར་》,ལ།,
,,27,8,《པེ་》《སྣར་》,བར།,
,,28,9,《པེ་》《སྣར་》,ཕྲིན།,
,,29,10,《པེ་》《སྣར་》,ནིཪྻ།,
,,30,11,《པེ་》《སྣར་》,བརྫངས།,
