མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
༄༅། །རྩ་བའི་ལྟུང་བའི་རྒྱ་ཆེར་འགྲེལ་པ།,739,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》༄། རྡོ་རྗེ་ཐེག་པའི་རྩ་བའི་ལྟུང་བའི་རྒྱ་ཆེར་འགྲེལ་པ་བཞུགས།  མཁས་པ་ཆེན་པོ་དཔལ་མར་མེ་མཛད་ཀྱིས་མཛད། ,
,,3,2,《པེ་》《སྣར་》,པ་ཏི་ཊཱ་ཀ,
,,4,3,《པེ་》《སྣར་》,རྒྱུད།,
,,5,4,《པེ་》《སྣར་》,pགོ།,
,,6,5,《པེ་》《སྣར་》,པ།,
,740,7,1,《པེ་》《སྣར་》,pཏན།,
,,8,2,《པེ་》《སྣར་》,ལྡང་བའི།,
,,9,3,《པེ་》《སྣར་》,mཀྱི།,
,,10,4,《པེ་》《སྣར་》,བཟུང་།,
,741,11,1,《པེ་》《སྣར་》,mནས།,
,,12,2,《པེ་》《སྣར་》,འབྲང་།,
,,13,3,《པེ་》《སྣར་》,དེས།,
,,14,4,《པེ་》《སྣར་》,ས།,
,,15,5,《པེ་》《སྣར་》,བསྟན།,
,,16,6,《པེ་》《སྣར་》,བསྐུར་ཞེས།,
,,17,7,《པེ་》《སྣར་》,ནས།,
,,18,8,《པེ་》《སྣར་》,ནས་ནི།,
,742,19,1,《པེ་》《སྣར་》,མ།,
,,20,2,《པེ་》《སྣར་》,སྒྲུབས།,
,,21,3,《སྣར་》,བསྟེན།,
,,22,4,《སྣར་》,ལྷུང་།,
,,23,5,《པེ་》《སྣར་》,སྦྱངས།,
,,24,6,《པེ་》《སྣར་》,འདོགས།,
,,25,7,《སྣར་》,གློ།,
,743,26,1,《པེ་》《སྣར་》,ཀྱི།,
,,27,2,《པེ་》《སྣར་》,སྐྱེད།,
,,28,3,《པེ་》《སྣར་》,གསགས།,
