མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
གཤིན་རྗེ་གཤེད་རིན་ཆེན་འབྱུང་ལྡན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,200,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》༄། །གཤིན་རྗེ་གཤེད་རིན་ཆེན་འབྱུང་ལྡན་གྱི་སྒྲུབ་ཐབས་བཞུགས་སོ།།,
,,3,2,《པེ་》《སྣར་》,དྷཱ།,
,,4,3,《པེ་》《སྣར་》,སེམས་ཅན།,
,201,5,1,《པེ་》,བསམ།,
,,6,2,《པེ་》,བསྲུང་།,
,,7,3,《པེ་》《སྣར་》,m྅།,
,,8,4,《པེ་》《སྣར་》,མཉམ།,
,,9,5,《པེ་》《སྣར་》,ཐོད།,
,,10,6,《པེ་》《སྣར་》,མནན།,
,,11,7,《པེ་》《སྣར་》,བརླབས།,
,,12,8,《པེ་》《སྣར་》,དྷྲིཀ,
,,13,9,《སྣར་》,རླག,
,,14,10,《པེ་》《སྣར་》,རྡོས།,
,,15,11,《པེ་》《སྣར་》,ལས་སྦྱར།,
,,16,12,《པེ་》《སྣར་》,བག,
