མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
༄༅། །གཏོར་མའི་ཆོ་ག་བཞུགས།,1450,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》གཏོར་མའི་ཆོ་ག་བཞུགས།
,,3,2,《པེ་》《སྣར་》,mམོས་པར།
,,4,3,《པེ་》《སྣར་》,དེ།
,,5,4,《པེ་》《སྣར་》,mསུ།
,1451,6,1,《པེ་》《སྣར་》,mརྒྱ།
,,7,2,《པེ་》《སྣར་》,pདེའི་འོག་ཏུ།
,,8,3,《པེ་》《སྣར་》,mའགྲོ་བ།
,,9,4,《པེ་》《སྣར་》,བཟང་།
,,10,5,《པེ་》《སྣར་》,ཀྱིས།
,,11,6,《པེ་》《སྣར་》,གི།
,1452,12,1,《པེ་》《སྣར་》,གི།
,,13,2,《པེ་》《སྣར་》,ཟངས།
,,14,3,《པེ་》《སྣར་》,བསྒྲུབས།
,,15,4,《པེ་》《སྣར་》,pསྐྱོང་བ།
,,16,5,《པེ་》《སྣར་》,ཟངས།
,1453,17,1,《པེ་》《སྣར་》,གི།,,
,,18,2,《པེ་》《སྣར་》,བུཾ་ཨཾ་ཛིཾ།,,
,,19,3,《པེ་》《སྣར་》,བརླབས་པ།,,
,,20,4,《པེ་》,ཨཪྷ།, 《སྣར་》,ཨརྒྷ།,
,,21,5,《པེ་》《སྣར་》,ཀྱིས།,,
,1454,22,1,《པེ་》《སྣར་》,བརླབས།,,
,,23,2,《པེ་》《སྣར་》,བརླབ།,,
