མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
རལ་གྲི་གཤིན་རྗེ་གཤེད་གཏུམ་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,243,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》༄། །རལ་གྲི་གཤིན་རྗེ་གཤེད་གཏུམ་པོའི་སྒྲུབ་ཐབས་བཞུགས་སོ།།
,,3,2,《སྣར་》,བཞི་པ།
,,4,3,《པེ་》《སྣར་》,རྗེས།
,,5,4,《པེ་》《སྣར་》,མར་ཀཊ་ལྗང་ཁུའི་མདོག་འདྲ་ལ།
,244,6,1,《པེ་》《སྣར་》,ལྷེང་།
,,7,2,《པེ་》《སྣར་》,བརླབས།
,,8,3,《པེ་》《སྣར་》,m྅།
,,9,4,《པེ་》《སྣར་》,བོར།
,,10,5,《པེ་》《སྣར་》,སྤུ།
,,11,6,《པེ་》《སྣར་》,m྅།
,,12,7,《པེ་》《སྣར་》,དྷྲིཀ
,,13,8,《པེ་》《སྣར་》,གྱི་ཐིག
