མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
མི་འཁྲུགས་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,1589,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》 དཔལ་མར་མེ་མཛད་ཀྱིས་མཛད་པའི་མི་འཁྲུགས་པའི་སྒྲུབ་ཐབས་བཞུགས།,
,,3,2,《པེ་》《སྣར་》,ཨཀྵོ་བྷྱཿ།,
,,4,3,《པེ་》《སྣར་》,pཿ།,
,,5,4,《པེ་》《སྣར་》,ཅན།,
,,6,5,《པེ་》《སྣར་》,ཅན།,
,,7,6,《པེ་》《སྣར་》,ལས།,
,1590,8,1,《པེ་》《སྣར་》,བྲུཾ།,
,,9,2,《པེ་》《སྣར་》,པདྨ།,
,,10,3,《པེ་》《སྣར་》,ལ།,
,,11,4,《པེ་》,འཇིག,
,,12,5,《པེ་》《སྣར་》,པ།,
,,13,6,《པེ་》《སྣར་》,བསྐྱོང་།,
,,14,7,《པེ་》,སྒོམ།,《སྣར་》,བསྒོམས།
,1591,15,1,《པེ་》《སྣར་》,བསྒོམ་སྟིམ།,
,,16,2,《པེ་》《སྣར་》,དུ།,
,,17,3,《པེ་》《སྣར་》,བགྲང་བ།,
,,18,4,《པེ་》《སྣར་》,བརྩེག,
,,19,5,《པེ་》《སྣར་》,དགྱེས།,
,,20,6,《པེ་》《སྣར་》,ཨཱ་བིགྷྣན།,
,,21,7,《པེ་》《སྣར་》,pཿ།,
,,22,8,《པེ་》,བཀྱེད།,《སྣར་》,བཀྱེ།
,,23,9,《པེ་》《སྣར་》,ཏོདྡྷ།,
,,24,10,《པེ་》《སྣར་》,ཏིཙྪ།,
,,25,11,《པེ་》《སྣར་》,དྷུ།,
,,26,12,《པེ་》《སྣར་》,དྱ།,
,,27,13,《པེ་》《སྣར་》,པུ་ཙ།,
,,28,14,《པེ་》《སྣར་》,mདུ་ནི།,
,,29,15,《པེ་》,བསྒྲུབ།,
,,30,16,《པེ་》《སྣར་》,ཤུབ།,
,,31,17,《པེ་》《སྣར་》,ཀྱི།,
,,32,18,《པེ་》《སྣར་》,བཞིན།,
,,33,19,《སྣར་》,mསྒྲ་དང་།,
,1592,34,1,《པེ་》《སྣར་》,ན།,
,,35,2,《པེ་》《སྣར་》,གཏང་།,
,,36,3,《པེ་》《སྣར་》,གི།,
,,37,4,《པེ་》《སྣར་》,ཡི།,
,,38,5,《པེ་》《སྣར་》,ཞིང་།,
,,39,6,《པེ་》《སྣར་》,ལ།,
,,40,7,《པེ་》《སྣར་》,ཡིས།,
,,41,8,《པེ་》《སྣར་》,ཙ།,
