མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས།,1566,2,1,《པེ་》《སྣར་》,དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས་བཞུགས།,,,,,,མཚན་བྱང་འདི་གཞུང་ལས་བླངས་ཏེ་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,ཙཀྲཱ།,,,,,,
,,4,3,《པེ་》《སྣར་》,རིམས་ཀྱི།,,,,,,
,,5,4,《པེ་》《སྣར་》,mནི།,,,,,,
,,6,5,《པེ་》《སྣར་》,ཐབས།,,,,,,
,1567,7,1,《པེ་》《སྣར་》,གྷཿགྷཿ།,,,,,,
,,8,2,《པེ་》《སྣར་》,ར།,,,,,,
,,9,3,《པེ་》《སྣར་》,སརྦ།,,,,,,
,,10,4,《པེ་》《སྣར་》,ཨཱ།,,,,,,
,,11,5,《པེ་》《སྣར་》,ཨཱ།,,,,,,
,,12,6,《པེ་》《སྣར་》,mབསམ།,,,,,,
,1569,13,1,《པེ་》《སྣར་》,ན།,,,,,,
,,14,2,《པེ་》《སྣར་》,m྅།,,,,,,
,,15,3,《ཅོ་》,དྡྷརྨཱཿ།,,,,,,
,,16,4,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,17,5,《པེ་》《སྣར་》,དཀར།,,,,,,
,1570,18,1,《པེ་》《སྣར་》,mཔ།,,,,,,
,,19,2,《པེ་》《སྣར་》,m྅།,,,,,,
,,20,3,《པེ་》《སྣར་》,གསོལ།,,,,,,
,,21,4,《སྣར་》,ནཱི།,,,,,,
,,22,5,《པེ་》,ནི།,,,,,,
,,23,6,《པེ་》《སྣར་》,མེ།,,,,,,
,1571,24,1,《པེ་》《སྣར་》,ལཱུ།,,,,,,
,,25,2,《པེ་》《སྣར་》,ཤྭཱ།,,,,,,
,,26,3,《པེ་》《སྣར་》,དཱ་ཌྷཱི།,,,,,,
,,27,4,《པེ་》《སྣར་》,དཾཥྚྲི།,,,,,,
,,28,5,《པེ་》《སྣར་》,དཱུ།,,,,,,
,,29,6,《པེ་》《སྣར་》,ཐཱ།,,,,,,
,,30,7,《པེ་》《སྣར་》,pཕྱག,,,,,,
,,31,8,《པེ་》《སྣར་》,དཔའ།,,,,,,
