མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
༄༅། །ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་དོན་བསྡུས་སྒྲོན་མ།,1318,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》 ༅། །ཕར་ཕྱིན་བསྡུས་པ་ཇོ་བོ་རྗེས་མཛད་པ་བཞུགས།,
,,3,2,《པེ་》《སྣར་》,པཾ།,
,,4,3,《པེ་》《སྣར་》,པ།,
,,5,4,《པེ་》《སྣར་》,ཡུལ།,
,1319,6,1,《པེ་》《སྣར་》,ཆག,
,,7,2,《པེ་》《སྣར་》,ལན།,
,,8,3,《པེ་》《སྣར་》,ཡུལ།,
,,9,4,《པེ་》《སྣར་》,མེད།,
,,10,5,《པེ་》《སྣར་》,ཡུལ།,
,,11,6,《པེ་》,བསྟན།,
,1320,12,1,《པེ་》,བསྐྱེད། །དེ།,《སྣར་》,བསྐྱེད། །ཇི།
,,13,2,《པེ་》《སྣར་》,རིམ་མོ།,
,,14,3,《པེ་》《སྣར་》,གི།,
,,15,4,《པེ་》《སྣར་》,ཕྱེད།,《ཅོ་》,ཆེ།
,,16,5,《པེ་》《སྣར་》,བུ།,
,,17,6,《སྣར་》,སོ།,
,,18,7,《པེ་》《སྣར་》,ལ།,
,,19,8,《པེ་》《སྣར་》,པ།,
,1321,20,1,《པེ་》《སྣར་》,བཞི།,
,,21,2,《པེ་》《སྣར་》,དེ་ནས།,
,,22,3,《པེ་》《སྣར་》,སྨིན།,
,,23,4,《པེ་》,བཞི།,
,,24,5,《པེ་》,བཞི།,
,,25,6,《པེ་》,བཞི།,
,,26,7,《པེ་》《སྣར་》,བཞི།,
,,27,8,《པེ་》,བཞི།,
,,28,9,《པེ་》《སྣར་》,གནས།,
,,29,10,《པེ་》《སྣར་》,པོ།,
,,30,11,《པེ་》《སྣར་》,སྤོངས།,
,,31,12,《པེ་》《སྣར་》,སྤོངས།,
,,32,13,《པེ་》《སྣར་》,གྱི།,
,,33,14,《པེ་》《སྣར་》,ཐུགས།,
,,34,15,《པེ་》《སྣར་》,བསྐྱེད།,
,,35,16,《པེ་》《སྣར་》,དྲོད།,
,1322,36,1,《པེ་》《སྣར་》,པས་ན།,
,,37,2,《པེ་》《སྣར་》,གྱི་སྒོམ།,
,,38,3,《སྣར་》,མོའི།,
,,39,4,《པེ་》,བསྟན།,
,,40,5,《པེ་》《སྣར་》,རྟན།,
,,41,6,《པེ་》《སྣར་》,རྟན།,
,,42,7,《པེ་》《སྣར་》,ནི།,
,,43,8,《པེ་》《སྣར་》,ཡིས།,
,,44,9,《པེ་》《སྣར་》,བསྐྱེད་པའོ།,
,,45,10,《པེ་》《སྣར་》,པོ།,
,,46,11,《པེ་》《སྣར་》,ཡིས།,
,1323,47,1,《པེ་》《སྣར་》,འཇུག,
,,48,2,《པེ་》《སྣར་》,པོ།,
,,49,3,《པེ་》《སྣར་》,ཀྱིས་ཤཱན་ཏི།,
,,50,4,《པེ་》,སྔ།,
,,51,5,《པེ་》《སྣར་》,ཡིས།,
,,52,6,《སྣར་》,ཀྱིས།,
,,53,7,《པེ་》《སྣར་》,སྤངས།,
,,54,8,《པེ་》《སྣར་》,ཁྱད།,
,,55,9,《པེ་》《སྣར་》,གྱི།,
,,56,10,《པེ་》《སྣར་》,འདོན།,
,,57,11,《པེ་》《སྣར་》,ཡིས།,
,,58,12,《པེ་》《སྣར་》,ཡིས།,
,1324,59,1,《པེ་》《སྣར་》,ལམ་བཤད།,
,,60,2,《པེ་》《སྣར་》,སྒོམ།,
,,61,3,《པེ་》《སྣར་》,ཀྱིས།,
,,62,4,《པེ་》,mཤེས།,
,,63,5,《པེ་》《སྣར་》,ཡིས།,
,,64,6,《པེ་》《སྣར་》,ན།,
,,65,7,《པེ་》《སྣར་》,པོའི།,
,,66,8,《པེ་》《སྣར་》,ནི།,
,,67,9,《པེ་》《སྣར་》,གཏུག,
,,68,10,《པེ་》《སྣར་》,གསུངས།,
,,69,11,《པེ་》《སྣར་》,ནས།,
,1325,70,1,《པེ་》《སྣར་》,པོའི།,
,,71,2,《པེ་》《སྣར་》,འགྲོ།,
,,72,3,《པེ་》《སྣར་》,གསུང་།,
,,73,4,《པེ་》《སྣར་》,ན།,
,,74,5,《པེ་》《སྣར་》,དཔའ།,
,,75,6,《སྣར་》,ག,
,,76,7,《པེ་》《སྣར་》,ཏུ།,
,,77,8,《པེ་》《སྣར་》,གསུང་།,
,,78,9,《པེ་》《སྣར་》,སོ།,
,,79,10,《པེ་》《སྣར་》,མངོན།,
,,80,11,《པེ་》《སྣར་》,ལ།,
,,81,12,《པེ་》《སྣར་》,གསུང་།,
,,82,13,《པེ་》《སྣར་》,གཟུང་།,
,1326,83,1,《པེ་》,གཅག,《སྣར་》,གཅིག
,,84,2,《པེ་》《སྣར་》,ན།,
,,85,3,《པེ་》《སྣར་》,སྒོམ།,
