མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མའི་དཀའ་འགྲེལ་ཞེས་བྱ་བ།,1650,2,1,《པེ་》《སྣར་》,བྱང་ཆུབ་ལམ་སྒྲོན་རང་འགྲེལ་ཇོ་བོ་རྗེས་མཛད་པ་བཞུགས། ,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།
,,3,2,《པེ་》《སྣར་》,མརྒ།,,,,,,
,,4,3,《པེ་》《སྣར་》,པཉྫི།,,,,,,
,1651,5,1,《པེ་》《སྣར་》,ཐིག,,,,,,
,,6,2,《པེ་》《སྣར་》,བསྟེན།,,,,,,
,,7,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,8,4,《པེ་》《སྣར་》,པ།,,,,,,
,1652,9,1,《པེ་》,ཀྱིས།,,,,,,
,,10,2,《པེ་》,སྤྱོད།;《སྣར་》,སྤྱད།,,,,,
,,11,3,《སྣར་》,གི།,,,,,,
,,12,4,《པེ་》《སྣར་》,རིགས།,,,,,,
,,13,5,《པེ་》,གྱིས།,,,,,,
,,14,6,《པེ་》《སྣར་》,mའདི།,,,,,,
,1653,15,1,《པེ་》,གིས།,,,,,,
,,16,2,《སྣར་》,mལ།,,,,,,
,,17,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,18,4,《པེ་》《སྣར་》,གྱི།,,,,,,
,1654,19,1,《པེ་》《སྣར་》,ཉམས།,,,,,,
,,20,2,《པེ་》《སྣར་》,རྗེ།,,,,,,
,,21,3,《པེ་》,དི།;《སྣར་》,དྭི།,,,,,
,,22,4,《པེ་》《སྣར་》,བསགས།,,,,,,
,,23,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,1655,24,1,《སྣར་》《པེ་》,སྐྱེ་བོ།,,,,,,
,,25,2,《པེ་》《སྣར་》,བསམས།,,,,,,
,,26,3,《སྣར་》,མངོན།,,,,,,
,,27,4,《པེ་》《སྣར་》,བསགས།,,,,,,
,,28,5,《པེ་》《སྣར་》,བས།,,,,,,
,,29,6,《པེ་》《སྣར་》,ཡིས།,,,,,,
,,30,7,《པེ་》,སོང་།,,,,,,
,1656,31,1,《པེ་》《སྣར་》,pམཛོད།,,,,,,
,,32,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,33,3,《སྣར་》,གནོད།,,,,,,
,,34,4,《པེ་》,གསུང་བ།,,,,,,
,,35,5,《པེ་》《སྣར་》,པོར།,,,,,,
,,36,6,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,37,7,《པེ་》《སྣར་》,ནི།,,,,,,
,,38,8,《པེ་》《སྣར་》,གིས།,,,,,,
,,39,9,《པེ་》《སྣར་》,གསུང་ངོ་།,,,,,,
,,40,10,《པེ་》,པོར།,,,,,,
,1657,41,1,《སྣར་》,གསུངས་སོ།,,,,,,
,,42,2,《པེ་》《སྣར་》,པོར།,,,,,,
,,43,3,《པེ་》《སྣར་》,mགི།,,,,,,
,,44,4,《སྣར་》,ཀྱི།,,,,,,
,,45,5,《པེ་》,ཀྱིས།,,,,,,
