མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
17-98,1005,2,1,《པེ་》,བྱང་ཆུབ་ཀྱི་སེམས་བདེ་བའི་མན་ངག་བཞུགས་སོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,ཨཱ།,,,,,,
,,4,3,《པེ་》《སྣར་》,བལྟ།,,,,,,
,,5,4,《པེ་》《སྣར་》,ལོ།,,,,,,
,,6,5,《པེ་》《སྣར་》,བོ།,,,,,,
,1006,7,1,《པེ་》,གྱི་ཚོད།,《སྣར་》,གྱི་ཆོད།,,,,,
,,8,2,《པེ་》《སྣར་》,ངེ།,,,,,,
,,9,3,《པེ་》《སྣར་》,pཙམ།,,,,,,
,,10,4,《པེ་》《སྣར་》,དེ།,,,,,,
,,11,5,《པེ་》《སྣར་》,དེ།,,,,,,
,,12,6,《པེ་》《སྣར་》,ལེ།,,,,,,
,,13,7,《པེ་》《སྣར་》,ཙ།,,,,,,
