མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
ཕྱག་ན་རྡོ་རྗེའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,887,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》༄༅། །ཕྱག་ན་རྡོ་རྗེའི་དཀྱིལ་ཆོག་འགྲོ་བཟང་སྙིང་པོས་མཛད་པའོ།། ,
,,3,2,《པེ་》《སྣར་》,༼ཿ།,
,,4,3,《པེ་》《སྣར་》,སྒྲུབ།,
,,5,4,《པེ་》,པའི།,
,,6,5,《པེ་》,བཟུང་།,
,888,7,1,《པེ་》,ཨ་ཀ་ར་ཥ་ཡ་ཧཱུཾ་ཛ། ,《སྣར་》,ཀ་ར་ཤ་ཧཱུཾ།
,,8,2,《སྣར་》,༼མོ།,
,,9,3,《སྣར་》,༼ས།,
,,10,4,《སྣར་》,༼ས།,
,,11,5,《པེ་》,བསྲེག,
,,12,6,《སྣར་》,༼མམ།,
,,13,7,《པེ་》,།། །།,
,,14,8,《སྣར་》,བྲེ།,
,,15,9,《སྣར་》,བཀྲས།,
,,16,10,《པེ་》,༼ཏེ།,
,,17,11,《པེ་》《སྣར་》,བརླབ།,,
,,18,12,《པེ་》,བཟུང་།,,
,889,19,1,《པེ་》,བསྙུང་།,,
,,20,2,《སྣར་》,བསག,,
,,21,3,《པེ་》《སྣར་》,བསྲུང་།,,
,,22,4,《པེ་》《སྣར་》,བསྲུང་།,,
,,23,5,《པེ་》,བྷུཾ།,,
,,24,6,《པེ་》《སྣར་》,བརླབ།,,
,,25,7,《པེ་》《སྣར་》,༼ཅན།,,
,,26,8,《སྣར་》,གཟུངས་པས།,,
,,27,9,《པེ་》,ཀྱིས་ས་བཟུང་།,《སྣར་》,ཀྱིས་ས་གཟུང་།,
,,28,10,《སྣར་》,གཟུང་།,,
,890,29,1,《པེ་》《སྣར་》,གཟུང་།,,
,,30,2,《པེ་》《སྣར་》,གཟུང་།,,
,,31,3,《པེ་》,བའི།,,
,,32,4,《པེ་》,འཐིལ།,,
,,33,5,《པེ་》,༽ཏེ།,,
,,34,6,《པེ་》,ན།,,
,,35,7,《སྣར་》,བོའི།,,
,,36,8,《པེ་》《སྣར་》,བསྲེག,,
,,37,9,《པེ་》《སྣར་》,དིང་།,,
,,38,10,《པེ་》,༼དང་།,,
,,39,11,《པེ་》《སྣར་》,༽ཡང་།,,
,891,40,1,《སྣར་》,འགྱུར་ཏེ།,,
,,41,2,《པེ་》,བ།,,
,,42,3,《པེ་》,བསྐྱོད།,《སྣར་》,བསྐྲོད།,
,,43,4,《པེ་》《སྣར་》,བསྲུང་།,,
,,44,5,《པེ་》《སྣར་》,ལ།,,
,,45,6,《པེ་》,བིགྷ་ནན།,《སྣར་》,བིགྷ་ནྣ།,
,,46,7,《སྣར་》,སུ།,,
,,47,8,《པེ་》,༼གྷཱ།,,
,,48,9,《པེ་》《སྣར་》,དུཥྚན།,,
,,49,10,《པེ་》《སྣར་》,ལ།,,
,,50,11,《པེ་》《སྣར་》,ལ།,,
,,51,12,《པེ་》,རོ།,,
,,52,13,《པེ་》《སྣར་》,ལ།,,
,,53,14,《པེ་》,བསྲུང་།,,
,,54,15,《པེ་》《སྣར་》,བདུག,,
,,55,16,《པེ་》,ཆོ་ག,《སྣར་》,གོ་ཆས།,
,,56,17,《པེ་》《སྣར་》,༽པ།,,
,,57,18,《པེ་》,སྡོག་པའི་ལྷ།,《སྣར་》,བཏེག་པ་ལ།,
,,58,19,《པེ་》《སྣར་》,ལ།,,
,892,59,1,《སྣར་》,རིགས།,,
,,60,2,《པེ་》,།། །།,,
,,61,3,《པེ་》,ནས་རས་གཙང་མས་མགུལ་པ།,《སྣར་》,ནས་རས་གཙང་མ་མགུལ་པར།,
,,62,4,《པེ་》,བྲུམ།,《སྣར་》,བྷྲུཾ།,
,,63,5,《པེ་》《སྣར་》,བཾ།,,
,,64,6,《པེ་》,ཧྲཱི།,《སྣར་》,ཧྲི།,
,,65,7,《པེ་》《ཅོ་》,ཧཱུཾ།,,
,,66,8,《པེ་》,།། །།,,
,893,67,1,《པེ་》,པས།,,
,,68,2,《པེ་》,དེ་ནས།,,
,,69,3,《པེ་》,བསྲུང་།,《སྣར་》,སྤུང་།,
,,70,4,《པེ་》,པ་བྱ།,《སྣར་》,པ་བྱ་སྟེ།,
,,71,5,《སྣར་》,རྣམ།,,
,,72,6,《པེ་》,དུམ་འབར་བའི།,《སྣར་》,དུམ་པ་རའི།,
,,73,7,《པེ་》《སྣར་》,རྒྱ།,,
,,74,8,《སྣར་》,སྐལ་བ།,,
,894,75,1,《པེ་》,འདོད།,,
,,76,2,《སྣར་》,༼བ།,,
,,77,3,《པེ་》,པ་དང་།,,
,,78,4,《པེ་》《སྣར་》,བཞི།,,
,,79,5,《པེ་》《སྣར་》,༼པ།,,
,,80,6,《སྣར་》,བརླབ།,,
,,81,7,《སྣར་》,གནས།,,
,,82,8,《པེ་》,༼དང་།,,
,,83,9,《པེ་》《སྣར་》,ཆེ།,,
,,84,10,《སྣར་》,པ།,,
,,85,11,《སྣར་》,༼རྣམས།,,
,,86,12,《སྣར་》,བཏགས།,,
,895,87,1,《པེ་》,ཆུ།,《སྣར་》,ཚུར།,
,,88,2,《པེ་》《སྣར་》,ཡིས།,,
,,89,3,《པེ་》《སྣར་》,བསྲུངས་པ་ཡིས།,,
,,90,4,《སྣར་》,སློབ།,,
,,91,5,《པེ་》,བཟུང་།,,
,,92,6,《པེ་》《སྣར་》,བསྒྲག་སྟེ།,,
,,93,7,《སྣར་》,བསྒོས་པའི།,,
,,94,8,《པེ་》《སྣར་》,སྲེག,,
,896,95,1,《པེ་》《སྣར་》,༼ནི།,,
,,96,2,《པེ་》,བཞུག,,
,,97,3,《སྣར་》,རྟག,,
,,98,4,《སྣར་》,བལྟ།,,
,,99,5,《སྣར་》,མ།,,
,,100,6,《སྣར་》,ལྷག,,
,,101,7,《པེ་》,པར་བྱ་སྟེ།,,
,,102,8,《པེ་》《སྣར་》,ཀྱང་།,,
,,103,9,《པེ་》《སྣར་》,༼དྷ་ར།,,
,,104,10,《པེ་》,བསམ།,,
,,105,11,《པེ་》,བ།,,
,897,106,1,《པེ་》《སྣར་》,༽སྔོན།,,
,,107,2,《པེ་》《སྣར་》,༼པར།,,
,,108,3,《པེ་》,ཨ།,《སྣར་》,༼དྷ་རཱ།,
,,109,4,《པེ་》《སྣར་》,པ།,,
,,110,5,《པེ་》《སྣར་》,ཥིཉྩ།,,
,,111,6,《སྣར་》,བ།,,
,,112,7,《པེ་》《སྣར་》,སྙིང་པོ།,,
,,113,8,《སྣར་》,༼ཏེ།,,
,,114,9,《པེ་》,ཟུང་སྟེ།,《སྣར་》,བཟུང་སྟེ།,
,898,115,1,《པེ་》,དི་པ་ཏི་སྟ།,《སྣར་》,དིཔྟ་དྲྀཥྚ།,
,,116,2,《པེ་》,༼པའོ།,,
,,117,3,《པེ་》《སྣར་》,གཟུང་།,,
,,118,4,《པེ་》,བསྟན།,,
,,119,5,《པེ་》,སྟྃ་ད།,,
,,120,6,《སྣར་》,ནི།,,
,,121,7,《པེ་》《སྣར་》,༽ཧ།,,
,,122,8,《སྣར་》,གཟུང་།,,
,,123,9,《པེ་》《སྣར་》,པ།,,
,,124,10,《པེ་》《སྣར་》,བྱ།,,
,,125,11,《པེ་》《སྣར་》,སིཏི།,,
,,126,12,《པེ་》,སྭཱ།,《སྣར་》,སྭཱ་ཧཱ།,
,,127,13,《པེ་》,ཏེ།,,
,,128,14,《པེ་》,༼གྱིས།,,
,,129,15,《པེ་》《སྣར་》,ཡི།,
,899,130,1,《པེ་》《སྣར་》,བཟང་སྙིང་པོའི།,
,,131,2,《པེ་》,སྡེབས།,
