མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
གཤིན་རྗེ་གཤེད་པོ་སྒྲུབ་པའི་ཐབས།,298,2,1,《པེ་》,༄༅། །གཤིན་རྗེ་གཤེད་པོ་སྒྲུབ་པའི་ཐབས་བཞུགས་སོ།།,,,,,,མཚན་བྱང་འདི་ཆོས་མཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར》,ཨ།,,,,,,
,,4,3,《པེ་》《སྣར》,འགྲིལ།,,,,,,
,299,5,1,《པེ་》《སྣར》,བསྣམས།,,,,,,
,,6,2,《པེ་》《སྣར》,འཇིགས།,,,,,,
,,7,3,《པེ་》《སྣར》,རྗེའི།,,,,,,
,,8,4,《པེ་》《སྣར》,གྲག,,,,,,
,,9,5,《པེ་》《སྣར》,ལ།,,,,,,
,,10,6,《པེ་》《སྣར》《ཅོ་》,སྐྲ།,,,,,,
,300,11,1,《པེ་》《སྣར》,སྐ།,,,,,,
,,12,2,《པེ་》《སྣར》,ཨ་ཀྲོ་དྷ་ཀཱ་ཡ་མནྟ། ,,,,,,
,,13,3,《པེ་》《སྣར》,ཥྚྲཱྀ།,,,,,,
