མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
སྔགས་ཀྱི་དོན་འཇུག་པ།,164,2,1,,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,3,2,《པེ་》,པ།,,,,,,
,,4,3,《པེ་》,ཀྱི་དོན་འཇུག་པ་བཞུགས།,,,,,,
,,5,4,《པེ་》,སྐྱོབ།,,,,,,
,,6,5,《པེ་》,བྱ་བའི།,,,,,,
,165,7,1,《པེ་》,དང་པོ།,,,,,,
,,8,2,《པེ་》,བཞི།,,,,,,
,,9,3,《པེ་》,སྟན།,,,,,,
,,10,4,《པེ་》,ཉོན་མོངས།,,,,,,
,,11,5,《པེ་》,སྤྱོད།,,,,,,
,166,12,1,《པེ་》,mཏེ།,,,,,,
,,13,2,《པེ་》,pབཞི།,,,,,,
,,14,3,《པེ་》,mལ།,,,,,,
,,15,4,《པེ་》,ན་ཆོད།,,,,,,
,,16,5,《པེ་》,སྟན།,,,,,,
,,17,6,《པེ་》,རིག,
,167,18,1,《པེ་》,རིམ།,
,,19,2,《པེ་》,བསྡུས།,
,,20,3,《པེ་》,བཟུང་།,
,,21,4,《པེ་》,པའི།,
,168,22,1,《པེ་》,སྦྱར།,
