མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
༄༅། །དམ་ཚིག་སྦས་པ།,173,2,1,《པེ་》,༄༅། །ཏི་པཾ་ཀ་རས་མཛད་པའི་དམ་ཚིག་སྦས་པ་བཞུགས་སོ།།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།  
,,3,2,《པེ་》,སྲུང་།,,,,,,
,,4,3,《པེ་》,སྟན།,,,,,,
,,5,4,《པེ་》,འགྲང་།,,,,,,
,174,6,1,《པེ་》,རྟོག,,,,,,
,,7,2,《པེ་》,པ།,,,,,,
,,8,3,《པེ་》,བཀུར།,,,,,,
,,9,4,《པེ་》,pརྟགས་མཐོང་བའི་མངོན་ཤེས་བློ་སྒྱུར་ཏེ།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད།)
,,10,5,《པེ་》,pབརྒྱ་འཆེ།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད།)
,,11,6,《པེ་》,pཟབ་པའི་སྡོད་ཡིན།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད།)
,,12,7,《པེ་》,mརྟག་མཐོང་བའི་མངོན་ཤེས་བློ་སྒྱུར་ཏེ།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད།)
,,13,8,《པེ་》,mདང་།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད།)
