མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
སྒྲོན་མ་གསལ་བར་བྱེད་པའི་དགོངས་པ་རབ་གསལ་ཞེས་བྱ་བའི་བཤད་པའི་ཊཱི་ཀཱ།,563,2,1,,,,,,,,མཚན་བྱང་འདི་གཞུང་ལས་བླངས་ཏེ་བཀོད།
,,3,2,《པེ་》《སྣར་》,སྒྲོལ།,,,,,,
,564,4,1,《པེ་》《སྣར་》,རྣམ།,,,,,,
,,5,2,《པེ་》《སྣར་》,དང་ཞིང་།,,,,,,
,,6,3,《པེ་》《སྣར་》,དགུའི།,,,,,,
,,7,4,《པེ་》《སྣར་》,ནས།,,,,,,
,,8,5,《པེ་》《སྣར་》,གསུང་བ།,,,,,,
,565,9,1,《པེ་》《སྣར་》,ནེ།,,,,,,
,,10,2,《པེ་》《སྣར་》,པ།,,,,,,
,,11,3,《པེ་》《སྣར་》,རྣམ་པ་བཞི་ལས།,,,,,,
,,12,4,《པེ་》《སྣར་》,mརྣམ་འབྱོར་དང་།,,,,,,
,,13,5,《པེ་》《སྣར་》,སྐོར།,,,,,,
,,14,6,《པེ་》《སྣར་》,རྒྱའི་གཞི།,,,,,,
,,15,7,《པེ་》《སྣར་》,pངེ་།,,,,,,
,,16,8,《པེ་》《སྣར་》,བརྟན།,,,,,,
,566,17,1,《པེ་》《སྣར་》,མའི།,,,,,,
,,18,2,《པེ་》《སྣར་》,ཙྡན།,,,,,,
,,19,3,《པེ་》《སྣར་》,mདམར་པོ།,,,,,,
,,20,4,《པེ་》,ཙན་དན་ནི་བློན།;《སྣར་》,ཙྡན་ནི་བློན།,,,,,
,,21,5,《པེ་》《སྣར་》,mདམར་པོ།,,,,,,
,,22,6,《པེ་》,mདེ།,,,,,,
,,23,7,《པེ་》《སྣར་》,གཉིས།,,,,,,
,567,24,1,《པེ་》《སྣར་》,གྱི་རླབ།,,,,,,
,568,25,1,《པེ་》《སྣར་》,བཏབ།,,,,,,
,,26,2,《པེ་》《སྣར་》,mཉིད།,,,,,,
,,27,3,《པེ་》《སྣར་》,གཞེངས།,,,,,,
,569,28,1,《པེ་》《སྣར་》,ལ།,,,,,,
,,29,2,《པེ་》《སྣར་》,འབྱུང་།,,,,,,
,,30,3,《སྣར་》,ཧཾ།,,,,,,
,,31,4,《པེ་》《སྣར་》,ཧི།,,,,,,
,570,32,1,《པེ་》《སྣར་》,mཇི་ལྟ་བ།,,,,,,
,,33,2,《པེ་》《སྣར་》,mདེ།,,,,,,
,,34,3,《པེ་》《སྣར་》,ཧཱུཾ་ཧཱུཾ། ,,,,,,(འདིའི་འོག་གི་ཧཱུྃ་རྣམས་《པེ་》《སྣར་》དུ་ཧཱུཾ་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,35,4,《པེ་》《སྣར་》,mསུ།,,,,,,
,,36,5,《པེ་》《སྣར་》,ལ།,,,,,,
,,37,6,《པེ་》《སྣར་》,mཔ།,,,,,,
,,38,7,《པེ་》《སྣར་》,mཔ།,,,,,,
,,39,8,《པེ་》《སྣར་》,mཔ།,,,,,,
,571,40,1,《པེ་》《སྣར་》,ཐག,,,,,,
,,41,2,《པེ་》《སྣར་》,བསྒོམས།,,,,,,
,,42,3,《པེ་》《སྣར་》,རྗེ།,,,,,,
,572,43,1,《པེ་》《སྣར་》《ཅོ་》,ཨོཾ།,,,,,,
,,44,2,《པེ་》《སྣར་》,དུཥྚཾ།,,,,,,
,,45,3,《སྣར་》,ཡཱ།,,,,,,
,,46,4,《པེ་》《སྣར་》,བིགྷྣཱཾ།,,,,,,
,,47,5,《པེ་》《སྣར་》,ཡཱ།,,,,,,
