མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
སྒྲོན་མ་གསལ་བར་བྱེད་པའི་དགོངས་པ་རབ་གསལ་ཞེས་བྱ་བའི་བཤད་པའི་ཊཱི་ཀཱ།,3,2,1,《པེ་》《སྣར་》,གསང་འདུས་སྒྲོན་གསལ་གྱི་ཊཱི་ཀ་དགོངས་པ་རབ་གསལ་སློབ་དཔོན་བྷ་བྱ་ཀཱིརྟིས་མཛད་པ་བཞུགས་སོ།།,,,,,,ཆོས་ཚན་འདིའི་སྟོད་ཆ་དེབ་འདིའི་གོང་གི་པོད་ཀི་པ་ལ་བཞུགས་པས། མཚན་བྱང་འདི་ཡང་དེའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།
,,3,2,《པེ་》《སྣར་》,དགོངས།,,,,,,
,,4,3,《པེ་》《སྣར་》,pརོ།།,,,,,,
,,5,4,《པེ་》《སྣར་》,ལྷས།,,,,,,
,,6,5,《པེ་》《སྣར་》,pནི།,,,,,,
,4,7,1,《པེ་》《སྣར་》,མདབ།,,,,,,
,,8,2,《པེ་》《སྣར་》,འཇིགས།,,,,,,
,,9,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,10,4,《པེ་》《སྣར་》,ནས།,,,,,,
,5,11,1,《པེ་》《སྣར་》,པའོ།,,,,,,
,,12,2,《པེ་》《སྣར་》,ཐོས།,,,,,,
,,13,3,《པེ་》《སྣར་》,སྔགས།,,,,,,
,,14,4,《པེ་》《སྣར་》,བའོ།,,,,,,
,,15,5,《པེ་》《སྣར་》,བརྟན།,,,,,,
,,16,6,《པེ་》《སྣར་》,པ།,,,,,,
,,17,7,《པེ་》《སྣར་》,པར།,,,,,,
,,18,8,《པེ་》《སྣར་》,ཕུལ།,,,,,,
,,19,9,《པེ་》《སྣར་》,mདང་།,,,,,,
,,20,10,《པེ་》《སྣར་》,mལ།,,,,,,
,,21,11,《པེ་》《སྣར་》,བར།,,,,,,
,6,22,1,《པེ་》《སྣར་》,འབྱུང་།,,,,,,
,,23,2,《པེ་》《སྣར་》,ཁྲི།,,,,,,
,,24,3,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,25,4,《པེ་》《སྣར་》,འཇུག་པ།,,,,,,
,,26,5,《པེ་》《སྣར་》,བར།,,,,,,
,7,27,1,《པེ་》《སྣར་》,པས།,,,,,,
,,28,2,《པེ་》《སྣར་》,དང་།,,,,,,
,,29,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,8,30,1,《པེ་》《སྣར་》,mལ།,,,,,,
,,31,2,《པེ་》《སྣར་》,བྲལ།,,,,,,
,,32,3,《པེ་》《སྣར་》,བྱུག,,,,,,
,,33,4,《པེ་》《སྣར་》,སྤྱོད་པ།,,,,,,
,,34,5,《པེ་》《སྣར་》,རྒྱུད།,,,,,,
,,35,6,《པེ་》《སྣར་》,དཔའ་རྟོགས།,,,,,,
,,36,7,《པེ་》《སྣར་》,ཡི།,,,,,,
,,37,8,《པེ་》《སྣར་》,རྗེ།,,,,,,
,,38,9,《པེ་》《སྣར་》,གདུང་བའི།,,,,,,
,9,39,1,《པེ་》《སྣར་》,ཏུ།,,,,,,
,,40,2,《པེ་》《སྣར་》,དྲ་བ།,,,,,,
,,41,3,《པེ་》《སྣར་》,རིམས།,,,,,,
,,42,4,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,43,5,《པེ་》《སྣར་》,གཅིག,,,,,,
,,44,6,《པེ་》《སྣར་》,འཕངས།,,,,,,
,,45,7,《པེ་》《སྣར་》,ཉིད།,,,,,,
,10,46,1,《པེ་》《སྣར་》,པ།,,,,,,
,,47,2,《པེ་》《སྣར་》,བསླུ།,,,,,,
,,48,3,《པེ་》《སྣར་》,པོར།,,,,,,
,,49,4,《པེ་》《སྣར་》《ཅོ་》,པ།,,,,,,
,,50,5,《པེ་》《སྣར་》,ཧིཿ,,,,,,
,,51,6,《པེ་》《སྣར་》,བོ།,,,,,,
,,52,7,《པེ་》,རྗེས་སུ་རྣལ་འབྱོར་དང་།;《སྣར་》,རྣལ་འབྱོར་དང་རྗེས་སུ།,,,,,
,11,53,1,《པེ་》《སྣར་》,པའི།,,,,,,
,,54,2,《པེ་》《སྣར་》,mདེ་བཞིན་གཤེགས་པ།,,,,,,
,,55,3,《པེ་》《སྣར་》,འགུགས།,,,,,,
,,56,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,57,5,《པེ་》《སྣར་》,འབུལ།,,,,,,
,,58,6,《པེ་》《སྣར་》,ཚོགས།,,,,,,
,,59,7,《པེ་》《སྣར་》,པར།,,,,,,
,,60,8,《པེ་》《སྣར་》,དེང་།,,,,,,
,12,61,1,《པེ་》《སྣར་》,གི།,,,,,,
