མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
སེམས་ཙམ་mཧིp,313,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།《པེ་》《སྣར་》ལ་བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག་འཕགས་པ་ཐོགས་མེད་ཀྱིས་མཛད་པ་བཞུགས་སོ། །ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,དྷྱཱ།,
,,4,3,《པེ་》《སྣར་》,བཟུང་།,
,,5,4,《སྣར་》,སྤྱོ།,
,,6,5,《པེ་》《སྣར་》,ཉམས།,
,,7,6,《པེ་》《སྣར་》,བསྒོམ་པའི།,
,,8,7,《པེ་》《སྣར་》,པ།,
,314,9,1,《པེ་》,སྙོམ།,
,,10,2,《པེ་》《སྣར་》,བརྟན།,
,,11,3,《སྣར་》,འགྱུར།,
,,12,4,《པེ་》《སྣར་》,སྲུང་།,
,,13,5,《པེ་》,བརྟེན་དུ་གྱུར།,《སྣར་》,བརྟེན་དུ་འགྱུར།
,,14,6,《པེ་》《སྣར་》,སྤོངས་པ།,
,,15,7,《པེ་》《སྣར་》,གི།,
,,16,8,《པེ་》《སྣར་》,བརྟེན།,
,,17,9,《པེ་》《སྣར་》,ལས།,,
,315,18,1,《པེ་》《སྣར་》,mལ།,,
,,19,2,《པེ་》,pལ།,,
,,20,3,《པེ་》《སྣར་》,སྔོས།,,
,,21,4,《པེ་》《སྣར་》,རྟེན།,,
,,22,5,《པེ་》《སྣར་》,ཀྱི།,,
,,23,6,《ཅོ་》,ཆེན།,,
,316,24,1,《པེ་》《སྣར་》,སུ་རྗེས།,,
,,25,2,《པེ་》《སྣར་》,ལས།,,
,,26,3,《པེ་》《སྣར་》,གི།,,
,,27,4,《སྣར་》,བསལ།,,
,,28,5,《སྣར་》,འགྱུར་བ།,,
,,29,6,《སྣར་》,འབྱུང་།,,
,317,30,1,《པེ་》《སྣར་》,ནི།,,
,,31,2,《སྣར་》,སྟོང་།,,
,,32,3,《པེ་》,གྱི་ཇི་ལྟ།,《སྣར་》,གྱི་ཇི་ལྟར།,
,,33,4,《པེ་》《སྣར་》,གོང་ཤི་ཤ།,,
,,34,5,《པེ་》《སྣར་》,mཅན།,,
,,35,6,《པེ་》《སྣར་》,རོ།།,,
,318,36,1,《པེ་》《སྣར་》,pངེ།,,
,,37,2,《པེ་》,ཀྱི།,《སྣར་》,mཀྱིས།,
,,38,3,《པེ་》《སྣར་》,ལོག,,
,,39,4,《པེ་》《སྣར་》,mདུ།,,
,,40,5,《པེ་》《སྣར་》,སྦྱངས་པ།,,
,,41,6,《པེ་》《སྣར་》,རྒྱན།,,
,,42,7,《པེ་》《སྣར་》,དེ།,,
,,43,8,《པེ་》《སྣར་》,ལ།,,
,,44,9,《པེ་》《སྣར་》,ཀྱི།,,
,,45,10,《པེ་》《སྣར་》,བཟུངས།,,
,,46,11,《པེ་》《སྣར་》,ཀྱིས།,,
,319,47,1,《པེ་》《སྣར་》,mལ།,,
,,48,2,《པེ་》《སྣར་》,ཀྱི།,,
,,49,3,《པེ་》《སྣར་》,mའགྱུར།,
,,50,4,《པེ་》《སྣར་》,རྒྱུད།,
,,51,5,《སྣར་》,བསྟན།,
,,52,6,《པེ་》《སྣར་》,སྲང་།,
,320,53,1,《པེ་》《སྣར་》,ཡི་ཕྱེ།,
,,54,2,《པེ་》《སྣར་》,ཡི།,
,,55,3,《པེ་》《སྣར་》,mདུ།,
,,56,4,《པེ་》《སྣར་》,གི།,
,321,57,1,《པེ་》《སྣར་》,གཏོད།,
,,58,2,《པེ་》《སྣར་》,གི།,
,,59,3,《པེ་》《སྣར་》,གི།,
,,60,4,《པེ་》,ལ།,
,,61,5,《པེ་》《སྣར་》,mསེམས།,
,,62,6,《པེ་》《སྣར་》,རོ།,
,,63,7,《པེ་》《སྣར་》,གི།,
,,64,8,《པེ་》《སྣར་》,ཀྱི།,
,,65,9,《པེ་》《སྣར་》,གི།,
,,66,10,《པེ་》《སྣར་》,པས།,
,322,67,1,《པེ་》《སྣར་》,mདང་།,
,,68,2,《པེ་》《སྣར་》,གི།,
,,69,3,《པེ་》《སྣར་》,གཟུང་།,
,,70,4,《པེ་》《སྣར་》,པས།,
,,71,5,《པེ་》《སྣར་》,ཡི།,
,,72,6,《པེ་》《སྣར་》,སྔོ།,
,,73,7,《པེ་》《སྣར་》,གིས།,
,,74,8,《པེ་》《སྣར་》,mདང་།,
