མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
དབུ་མ་ལ་འཇུག་པའི་རང་འགྲེལ་བཞུགས་སོ།,600,2,1,《པེ་》《སྣར་》,༄། དབུ་མ་ལ་འཇུག་པའི་རང་འགྲེལ་བཞུགས་སོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང། 
,,3,2,《པེ་》《སྣར་》,མ།,,,,,,
,,4,3,《པེ་》《སྣར་》,ཀཱ།,,,,,,
,,5,4,《པེ་》《སྣར་》,ཥྱཾ།,,,,,,
,601,6,1,《པེ་》《སྣར་》,བསྒོམ།,,,,,,
,,7,2,《པེ་》《སྣར་》,བོ།,,,,,,
,,8,3,《སྣར་》,པར།,,,,,,
,,9,4,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,10,5,《པེ་》《སྣར་》,པ།,,,,,,
,,11,6,《པེ་》《སྣར་》,pཔ།,,,,,,
,,12,7,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,,13,8,《པེ་》《སྣར་》,གདམ,,,,,,
,602,14,1,《པེ་》《སྣར་》,mདེ།,,,,,,
,,15,2,《པེ་》,བསྒྲག,,,,,,
,,16,3,《པེ་》《སྣར་》,བཟད།,,,,,,
,,17,4,《པེ་》《སྣར་》,ལྟར།,,,,,,
,,18,5,《པེ་》《སྣར་》,ལས།,,,,,,
,,19,6,《སྣར་》,ཀྱིས།,,,,,,
,,20,7,《པེ་》《སྣར་》,ཆར།,,,,,,
,,21,8,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,22,9,《པེ་》《སྣར་》,འབྱུང།,,,,,,
,,23,10,《སྣར་》,ཀྱིས།,,,,,,
,603,24,1,《པེ་》《སྣར་》,བལྟམ་ཞེ།,,,,,,
,,25,2,《པེ་》《སྣར་》,རྣམས།,,,,,,
,,26,3,《སྣར་》,ཀྱིས།,,,,,,
,,27,4,《སྣར་》,ཀྱིས།,,,,,,
,,28,5,《པེ་》《སྣར་》,འདོན།,,,,,,
,,29,6,《པེ་》,ལ།;《སྣར་》,ལས།,,,,,
,,30,7,《པེ་》,སྨྱུ།,,,,,,
,,31,8,《པེ་》《སྣར་》,pཔ།,,,,,,
,604,32,1,《པེ་》《སྣར་》,ཞིང།,,,,,,
,,33,2,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
,605,34,1,《པེ་》《སྣར་》,སྐྱེ་བ།,,,,,,
,,35,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,36,3,《པེ་》《སྣར་》,མཐས།,,,,,,
,,37,4,《པེ་》《སྣར་》,ཆུ།,,,,,,
,,38,5,《པེ་》《སྣར་》,mབྱ་བ།,,,,,,
,,39,6,《སྣར་》,གྱིས།,,,,,,
,,40,7,《པེ་》《སྣར་》,བར།,,,,,,
,606,41,1,《པེ་》《སྣར་》《ཅོ་》,བསྐྱེད།,,,,,,
,,42,2,《སྣར་》,ནས།,,,,,,
,,43,3,《སྣར་》,ཡོད།,,,,,,
,,44,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,45,5,《པེ་》《སྣར་》,mདུས་ཕྱིས།,,,,,,
,,46,6,《པེ་》《སྣར་》,པར།,,,,,,
,,47,7,《པེ་》《སྣར་》,mམངོན་པར།,,,,,,
,607,48,1,《སྣར་》,ཆན།,,,,,,
,,49,2,《ཅོ་》,གིས།,,,,,,
,,50,3,《པེ་》《སྣར་》,སྐོར།,,,,,,
,,51,4,《སྣར་》,ཟགས་པར།,,,,,,
,,52,5,《པེ་》《སྣར་》,མཐུར།,,,,,,
,,53,6,《པེ་》,གྱིས།,,,,,,
,,54,7,《པེ་》《སྣར་》,pཉིད་གྱིས།,,,,,,
,,55,8,《པེ་》《སྣར་》,mམ།,,,,,,
,,56,9,《སྣར་》,ཀྱིས།,,,,,,
,608,57,1,《པེ་》《སྣར་》,ཡི།,,,,,,
,,58,2,《པེ་》《སྣར་》,དང་བ།,,,,,,
,,59,3,《པེ་》《སྣར་》,པ།,,,,,,
,,60,4,《པེ་》《སྣར་》,པ་བརྟེན།,,,,,,
,,61,5,《པེ་》《སྣར་》,བུར།,,,,,,
,,62,6,《པེ་》《སྣར་》,མཚོ།,,,,,,
,,63,7,《པེ་》《སྣར་》,mབ་འབྱུང།,,,,,,
,,64,8,《པེ་》《སྣར་》,pགི།,,,,,,
,,65,9,《པེ་》《སྣར་》,mབྱུང་བ།,,,,,,
,609,66,1,《པེ་》《སྣར་》,ཅིང།,,,,,,
