མཆན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
གསང་བ་འདུས་པའི་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་འགྲེལ་པ།,578,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང། 《པེ་》《སྣར་》དཔལ་གསང་བ་འདུས་པའི་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་འགྲེལ་པ་སློབ་དཔོན་ཟླ་བ་གྲགས་པས་མཛད་པ་བཞུགས་སོ།།,
,,3,2,《པེ་》《སྣར་》,mཿ།,
,,4,3,《པེ་》《སྣར་》,ཨ།,
,,5,4,《པེ་》《སྣར་》,བའི།,
,,6,5,《པེ་》《སྣར་》,pཔ།,
,579,7,1,《པེ་》《སྣར་》,pལམ།,
,,8,2,《པེ་》《སྣར་》,pཡིན།,
,,9,3,《པེ་》《སྣར་》,pརྣམས།,
,,10,4,《པེ་》《སྣར་》,pདང།,
,,11,5,《པེ་》《སྣར་》,ལའང།,
,580,12,1,《པེ་》《སྣར་》,mརོ།,
,,13,2,《པེ་》,mདུ།,
,,14,3,《པེ་》《སྣར་》,ལ།,
,,15,4,《པེ་》《སྣར་》,mདོ།,
,,16,5,《པེ་》《སྣར་》,mཔའི།,
,,17,6,《སྣར་》,pཔའི།,
,581,18,1,《པེ་》,mམི།,
,,19,2,《པེ་》《སྣར་》,pགང།,
,,20,3,《པེ་》《སྣར་》,mབ།,
,,21,4,《པེ་》《སྣར་》,སྟན།,
,,22,5,《སྣར་》,pལ།,
,582,23,1,《པེ་》《སྣར་》,འཁྲུ་བར།,
,,24,2,《པེ་》《སྣར་》,mདེ།,
,,25,3,《པེ་》《སྣར་》,བརྟག,
,,26,4,《པེ་》《སྣར་》,pགང།,
,,27,5,《པེ་》《སྣར་》,ཐོས།,
,,28,6,《པེ་》《སྣར་》,ལ།,
,583,29,1,《པེ་》《སྣར་》,pལྔ་ནི།,
,,30,2,《པེ་》《སྣར་》,རལ་གྱིས།,
,,31,3,《པེ་》《སྣར་》,mབ།,
,,32,4,《པེ་》《སྣར་》,pབ།,
,,33,5,《པེ་》《སྣར་》,pབ།,
,,34,6,《པེ་》《སྣར་》,གྲུབ།,
,,35,7,《པེ་》《སྣར་》,བོ།,
,584,36,1,《པེ་》《སྣར་》,mན།,
,,37,2,《པེ་》《སྣར་》,བསྙད།,
,,38,3,《པེ་》《སྣར་》,pངེ་།,
,,39,4,《པེ་》《སྣར་》,mནི།,
,,40,5,《པེ་》《སྣར་》,པ།,
,,41,6,《པེ་》《སྣར་》,བ།,
,585,42,1,《པེ་》《སྣར་》,mཕུན་སུམ་ཚོགས་པ།,
,,43,2,《པེ་》《སྣར་》,དང།,
,,44,3,《པེ་》《སྣར་》,ག,
,,45,4,《པེ་》《སྣར་》,བྱུང།,
,586,46,1,《པེ་》《སྣར་》,ལམ།,
,,47,2,《པེ་》《སྣར་》,ལྐུགས།,
,,48,3,《པེ་》《སྣར་》,གཅིག,
,,49,4,《པེ་》《སྣར་》,mབ།,
,,50,5,《པེ་》《སྣར་》,པའི།,
,,51,6,《པེ་》《སྣར་》,mབའི།,
,587,52,1,《པེ་》《སྣར་》,mཔ།,
,,53,2,《པེ་》《སྣར་》,pབ།,
,,54,3,《པེ་》《སྣར་》,mཏུ།,
,588,55,1,《པེ་》《སྣར་》,རྗེ།,
,,56,2,《པེ་》《སྣར་》,འཁར།,
,,57,3,《པེ་》,རྟག,
,589,58,1,《པེ་》《སྣར་》,འབྱུང།,
,,59,2,《པེ་》《སྣར་》,ནད་པ།,
,,60,3,《པེ་》《སྣར་》,བསྡུས་པ།,
,,61,4,《པེ་》《སྣར་》,མནོད།,
,,62,5,《པེ་》《སྣར་》,ལ།,
,590,63,1,《པེ་》《སྣར་》,སླང།,
,,64,2,《པེ་》《སྣར་》,བརླབས།,
,,65,3,《པེ་》《སྣར་》,པ།,
,,66,4,《པེ་》《སྣར་》,ཏོག,
,,67,5,《པེ་》《སྣར་》,ལས།,
,,68,6,《པེ་》《སྣར་》,བརླབས།,
,,69,7,《པེ་》《སྣར་》,གོ་གོར།,
,591,70,1,《པེ་》《སྣར་》,འོག་ཏུ།,
,,71,2,《པེ་》《སྣར་》,mཔ།,
,,72,3,《པེ་》《སྣར་》,བའི།,
,,73,4,《སྣར་》,བརླབ།,
,592,74,1,《པེ་》《སྣར་》,ཡིད།,
,,75,2,《པེ་》《སྣར་》,སྡུག,
,,76,3,《པེ་》《སྣར་》,རྟོག,
,,77,4,《པེ་》《སྣར་》,ཕོབ།,
,,78,5,《པེ་》《སྣར་》,ཕོབ།,
,,79,6,《པེ་》《སྣར་》,ཀྱི།,
,,80,7,《པེ་》《སྣར་》,མོ།,
,,81,8,《པེ་》《སྣར་》,བསྒོམ།,
,,82,9,《པེ་》《སྣར་》,གི།,
,,83,10,《པེ་》《སྣར་》,mབསྐུར།,
,593,84,1,《པེ་》《སྣར་》,mདེའི།,
,,85,2,《པེ་》《སྣར་》,བསྟན་ཅེས།,
,,86,3,《པེ་》《སྣར་》,རིལ་བུ།,
,,87,4,《པེ་》《སྣར་》,mཔ་ལ་སོགས།,
,,88,5,《པེ་》《སྣར་》,གྱིས།,
,,89,6,《པེ་》《སྣར་》《ཅོ་》,པ།,
,,90,7,《པེ་》《སྣར་》,ལྐུགས།,
,,91,8,《པེ་》《སྣར་》,pཞིག,
,,92,9,《པེ་》《སྣར་》,ཐོག,
,,93,10,《པེ་》《སྣར་》,པར།,
,,94,11,《པེ་》《སྣར་》,pཞིག,
,594,95,1,《པེ་》《སྣར་》,པའི།,
,,96,2,《པེ་》《སྣར་》,mདང།,
,,97,3,《པེ་》《སྣར་》,mབ།,
,595,98,1,《པེ་》《སྣར་》,mབར།,
,,99,2,《པེ་》《སྣར་》,བརླབ།;《ཅོ་》,བརླབས།
,,100,3,《པེ་》《སྣར་》,pཔ།,
,,101,4,《པེ་》《སྣར་》,mཀྱི།,
,,102,5,《པེ་》《སྣར་》,mངེ་།,
,,103,6,《པེ་》,བའི།,
,596,104,1,《པེ་》《སྣར་》,མོས།,
,,105,2,《པེ་》《སྣར་》,mབྱང་ཆུབ།,
,,106,3,《པེ་》《སྣར་》,ཤེས་པ།,
,,107,4,《པེ་》《སྣར་》,སྦྱོར་བའི།,
,,108,5,《སྣར་》,དབང།,
,,109,6,《པེ་》《སྣར་》,རྟོགས།,
,,110,7,《པེ་》《སྣར་》,ལ།,
,,111,8,《པེ་》《སྣར་》,སྦྱང་བའི།,
,,112,9,《པེ་》《སྣར་》,རྟོགས།,
,,113,10,《པེ་》《སྣར་》,འང།,
,597,114,1,《པེ་》《སྣར་》,གཉིས་ཀྱི།,
,,115,2,《པེ་》《སྣར་》,ཀྱི།,
,,116,3,《པེ་》《སྣར་》,སྦྱང་བའི།,
,,117,4,《པེ་》《སྣར་》,ཀྱི།,
,,118,5,《པེ་》《སྣར་》,mབ།,
,,119,6,《སྣར་》,pདང།,
,,120,7,《པེ་》,ཀྱི།,
,,121,8,《པེ་》《སྣར་》,བསླང།,
,,122,9,《པེ་》《སྣར་》,གིས།,
,,123,10,《པེ་》《སྣར་》,།། །།,
,,124,11,《པེ་》《སྣར་》,pབ།,
,,125,12,《པེ་》《སྣར་》,mཀྱི།,
,,126,13,《པེ་》《སྣར་》,pབྱང་ཆུབ་སེམས་དཀར་དམར་དང་།,
,598,127,1,《སྣར་》,བརྟེན།,
,,128,2,《པེ་》《སྣར་》,པའི།,
,,129,3,《པེ་》《སྣར་》,ན།,
,,130,4,《པེ་》《སྣར་》,བུག,
,,131,5,《པེ་》《སྣར་》,བསྟན།,
,,132,6,《པེ་》《སྣར་》,བརྟགས།,
,,133,7,《པེ་》《སྣར་》,mཔ།,
,,134,8,《པེ་》《སྣར་》,ཀྱི།,
,,135,9,《པེ་》《སྣར་》,ས།,
,,136,10,《པེ་》《སྣར་》,pཆུབ།,
,,137,11,《པེ་》《སྣར་》,pཆུབ།,
,,138,12,《པེ་》《སྣར་》,ལ།,
,599,139,1,《སྣར་》,pབ།,
,,140,2,《པེ་》,བཀ་བའོ།;《སྣར་》,བཀཔའོ།
,,141,3,《པེ་》《སྣར་》,ཀྱི།,
,,142,4,《པེ་》《སྣར་》《ཅོ་》,པར།,
,,143,5,《པེ་》《སྣར་》,mགཉིས།,
,,144,6,《པེ་》《སྣར་》,གིས།,
,,145,7,《པེ་》《སྣར་》,བསློང།,
,,146,8,《པེ་》《སྣར་》,བརླབས།,
,600,147,1,《པེ་》《སྣར་》,བཅལ།,
,,148,2,《པེ་》《སྣར་》,བོ།,
,,149,3,《པེ་》《སྣར་》,བརྟག,
,,150,4,《པེ་》《སྣར་》,བལྟོས།,
,,151,5,《པེ་》《སྣར་》,བ།,
,,152,6,《པེ་》《སྣར་》,ལྷར།,
,,153,7,《པེ་》《སྣར་》,ལྟེ།,
,,154,8,《པེ་》《སྣར་》,mསྦྱིན་པ།,
,,155,9,《པེ་》《སྣར་》,གི།,
,601,156,1,《པེ་》《སྣར་》,mབསྟེན་པ།,
,,157,2,《པེ་》《སྣར་》,བལྟོས།,
,,158,3,《པེ་》《སྣར་》,mཔ།,
,,159,4,《པེ་》《སྣར་》,mཔའི་རིམ།,
,,160,5,《པེ་》《སྣར་》,འདི།,
,,161,6,《པེ་》《སྣར་》,རིལ་བུ།,
,,162,7,《པེ་》《སྣར་》,ཀྱི་ལེན་པ།,
,,163,8,《པེ་》《སྣར་》,གི།,
,,164,9,《པེ་》《སྣར་》,རྒྱུད།,
,,165,10,《པེ་》《སྣར་》,།། །།,
,,166,11,《པེ་》《སྣར་》,mཡང།,
,,167,12,《པེ་》《སྣར་》,གིས།,
,,168,13,《པེ་》《སྣར་》,mཡེ་ཤེས།,
,602,169,1,《པེ་》《སྣར་》,གང།,
,,170,2,《པེ་》《སྣར་》,ཀྱི།,
,,171,3,《པེ་》《སྣར་》,pཔའི།,
,,172,4,《པེ་》《སྣར་》,pདང།,
,,173,5,《པེ་》《སྣར་》,mངེ་།,
,,174,6,《པེ་》《སྣར་》,mཞེས་པ་ཤེས་རབ་དམ་པ་བསྐྱེད་པ་ཉིད་དང། ཡེ་ཤེས་དམ་པ་དང། ཏིང་ངེ་འཛིན་དམ་པ་ལ་དམིགས་པ་ཉིད་དང་ཐབས་བདེན་པའི་རྣལ་འབྱོར་པ་བདག་ཉིད་ཀྱི་འཇུག་པ་དང། ཞུ་བ་བྱང་ཆུབ་སེམས་ལ་སྤྱོད་པ་དང། ,
,,175,7,《པེ་》《སྣར་》,འཇུག,
,603,176,1,《པེ་》《སྣར་》,ཉེས་པའི།,
,,177,2,《པེ་》《སྣར་》,ཡི།,
,,178,3,《པེ་》《སྣར་》,སྐུར།,
,,179,4,《པེ་》《སྣར་》,གོང།,
,,180,5,《པེ་》《སྣར་》,པ།,
,,181,6,《པེ་》《སྣར་》,ཀྱི།,
,,182,7,《པེ་》《སྣར་》,pཀ,
,,183,8,《པེ་》《སྣར་》,སྦྱོར།,
,,184,9,《པེ་》《སྣར་》,དངང་བ།,
,,185,10,《སྣར་》,གྱིས།,
,604,186,1,《པེ་》《སྣར་》,pངེ་།,
,,187,2,《པེ་》《སྣར་》,mའདི།,
,,188,3,《པེ་》《སྣར་》,mཞེས།,
,,189,4,《པེ་》《སྣར་》,བས།,
,,190,5,《པེ་》《སྣར་》,mམ།,
,,191,6,《པེ་》《སྣར་》,མྱང།,
,,192,7,《པེ་》《སྣར་》,mཀྱི།,
,,193,8,《པེ་》《སྣར་》,mནི།,
,,194,9,《པེ་》《སྣར་》,mམ།,
,605,195,1,《པེ་》《སྣར་》,གསང།,
,,196,2,《པེ་》《སྣར་》,བྱུང།,
,606,197,1,《པེ་》《སྣར་》,པའི།,
,,198,2,《པེ་》《སྣར་》,ཡི།,
,,199,3,《པེ་》《སྣར་》,བཞག,
,,200,4,《པེ་》《སྣར་》,pདང།,
,,201,5,《པེ་》《སྣར་》,ཀྱི།,
,607,202,1,《པེ་》《སྣར་》,ལའང།,
,,203,2,《པེ་》《སྣར་》,ཡི།,
,,204,3,《པེ་》《སྣར་》,mལ།,
,,205,4,《པེ་》《སྣར་》,བསྟན།,
,,206,5,《པེ་》《སྣར་》,གྲུབ།,
,,207,6,《པེ་》《སྣར་》,གཉན།,
,,208,7,《པེ་》《སྣར་》,mདབང་བསྐུར་བའི།,
