མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས། ,1715,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》༄། རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མའི་སྒྲུབས་ཐབས་བཞུགས་སོ།། ,
,,3,2,《པེ་》《སྣར་》,ཨཱརྱ་ཏཱ་རེ།,
,,4,3,《སྣར་》,སྒྲུབས།,
,,5,4,《པེ་》《སྣར་》,mརྡོ་རྗེ།,
,,6,5,《པེ་》《སྣར་》,mརྗེ་བཙུན།,
,1716,7,1,《པེ་》《སྣར་》,ཏ།,
,,8,2,《པེ་》《སྣར་》,ཨཱདྨ།,
,,9,3,《པེ་》《སྣར་》,pཨོཾ་བཛྲ་ཨརྒྷཾ་པྲ་ཏཱིཙྪ་པཱུ་ཛ་ཧཱུཾ། ,
,,10,4,《པེ་》,བཛྲ་གཱིརྟི།,《སྣར་》,བཛྲ་གཱིརྟ།
,,11,5,《པེ་》,མཉམ།,《སྣར་》,མཉམས།
,,12,6,《པེ་》《སྣར་》,བརླབས།,
,,13,7,《པེ་》《སྣར་》,ཐོན།,
,,14,8,《པེ་》《སྣར་》,བསམས།,
,,15,9,《པེ་》《སྣར་》,གྲིཧྣ།,
,1717,16,1,《པེ་》《སྣར་》,གདུང་།,
,,17,2,《པེ་》《སྣར་》,ལོ།,
,,18,3,《པེ་》《སྣར་》,ཀྱིས།,
,,19,4,《པེ་》《སྣར་》,ལོ།,
,,20,5,《པེ་》《སྣར་》,ལོ།,
,,21,6,《པེ་》《སྣར་》,སྒོམ།,
,,22,7,《པེ་》《སྣར་》,བརླབས།,
,,23,8,《པེ་》《སྣར་》,གྲུབ།,
,,24,9,《པེ་》《སྣར་》,ཤྲཱིས།,
