མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
རྡོ་རྗེ་ཕག་མོའི་སྒྲུབ་ཐབས། ,1719,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》༄། རྡོ་རྗེ་ཕག་མོའི་སྒྲུབ་ཐབས་བཞུགས།,
,,3,2,《པེ་》《སྣར་》,ཧི་སྭ།,
,,4,3,《པེ་》《སྣར་》,བྱིན།,
,,5,4,《པེ་》《སྣར་》,གྱིས་ཆང་།,
,,6,5,《པེ་》,ཧྲེ་མོཾ། ཧྲི་ཧྲི།,《སྣར་》,ཧྲི་མོཾ། ཧྲིཾ་ཧྲིཾ།
,,7,6,《པེ་》《སྣར་》,དུཤྚཾ།,
,1720,8,1,《པེ་》《སྣར་》,སརྦ་དྷཱརྨཱ།,
,,9,2,《པེ་》《སྣར་》,mལྷའི།,
,,10,3,《པེ་》《སྣར་》,ཤུདྷཿསརྦ་དྷརྨཿ།,
,,11,4,《པེ་》《སྣར་》,pཨོྃ་ཨོཾ།,
,,12,5,《པེ་》《སྣར་》,pསྭཱ་ཧཱ།,
,,13,6,《པེ་》《སྣར་》,pཤུདྡྷོ་སརྦ་དྷརྨ།,
,,14,7,《པེ་》《སྣར་》,mཔས།,
,,15,8,《པེ་》《སྣར་》,ག,
,,16,9,《པེ་》《སྣར་》,mཀྱི།,
,,17,10,《པེ་》《སྣར་》,pབརྐྱང་བས།,
,,18,11,《པེ་》《སྣར་》,བྱ།,
,,19,12,《པེ་》《སྣར་》,བཏང་།,
,,20,13,《པེ་》《སྣར་》,ཀ,
,,21,14,《པེ་》《སྣར་》,pཁཱ་ཧི།,
,,22,15,《པེ་》《སྣར་》,ཀྱིས།,
,,23,16,《པེ་》《སྣར་》,ཀྱིས།,
,1721,24,1,《པེ་》《སྣར་》,ཤྲཱིས།,
