མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
འཇམ་དཔལ་ཁྲོ་བོར་སྒྲུབ་པ། ,1722,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》༄༅། །འཇམ་དཔལ་ཁྲོ་བོ་བསྒྲུབས་ཐབས་བཞུགས། 
,,3,2,《སྣར་》,བོས།
,,4,3,《པེ་》《སྣར་》,བཏུད།
,,5,4,《པེ་》《སྣར་》,བསྲུང་།
,,6,5,《པེ་》《སྣར་》,ཀྱིས།
,,7,6,《པེ་》《སྣར་》,དུ།
,,8,7,《པེ་》《སྣར་》,བསྒོམ་སྟེ།
,1723,9,1,《པེ་》《སྣར་》,དྷརྨ་ཨ།
,,10,2,《པེ་》《སྣར་》,པ།
,,11,3,《པེ་》《སྣར་》,ཀྱིས།
,,12,4,《སྣར་》,འབུལ།
,,13,5,《པེ་》《སྣར་》,དྱ།
,,14,6,《སྣར་》,འབུལ།
,,15,7,《པེ་》《སྣར་》,བདུད་རྩིར།
,,16,8,《པེ་》《སྣར་》,བྱ་སྟེ།
,,17,9,《པེ་》《སྣར་》,བརླབ།,
,,18,10,《པེ་》《སྣར་》,mཏེ།,
,,19,11,《སྣར་》,བྲཱི།,
,,20,12,《པེ་》《སྣར་》,ཐོགས།,
,,21,13,《པེ་》《སྣར་》,ཡིས།,
,1724,22,1,《པེ་》《སྣར་》,ཤྲཱིས།,
