མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
རིགས་པའི་ཐིགས་པའི་ཕྱོགས་སྔ་མ་མདོར་བསྡུས་པ།,258,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ལ་རིགས་པའི་ཐིག་པའི་ཕྱོགས་སྔ་མ་མདོར་བསྡུས་པ་སློབ་དཔོན་ཀ་མ་ལ་ཤཱི་ལས་མཛད་པ་བཞུགས་སོ། །ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,རྟོག,
,,4,3,《པེ་》《སྣར་》,རྟོག,
,,5,4,《པེ་》《སྣར་》,རྟོག,
,,6,5,《པེ་》《སྣར་》,རྟོག,
,,7,6,《པེ་》《སྣར་》,རྟོག,
,,8,7,《པེ་》《སྣར་》,རྟོག,
,,9,8,《པེ་》《སྣར་》,pགྱི།,
,,10,9,《སྣར་》,རིག,
,259,11,1,《པེ་》《སྣར་》,རྟོག,
,,12,2,《པེ་》《སྣར་》,mདུ།,
,,13,3,《པེ་》《སྣར་》,རྟོགས།,
,,14,4,《པེ་》《སྣར་》,པ།,
,,15,5,《སྣར་》,mཔ།,
,,16,6,《པེ་》《སྣར་》,བྲེལ་བ།,
,260,17,1,《སྣར་》,མེད་པ་བས།,
,,18,2,《པེ་》《སྣར་》,རྟོག་པ།,
,,19,3,《སྣར་》,ཡང་།,
,,20,4,《པེ་》《སྣར་》,བཅད།,
,,21,5,《པེ་》《སྣར་》,པ།,
,,22,6,《པེ་》《སྣར་》,མ།,
,,23,7,《པེ་》《སྣར་》,རྟོག,
,,24,8,《སྣར་》,།། །།,
,,25,9,《པེ་》《སྣར་》,pནི།,
,261,26,1,《པེ་》《སྣར་》,རྟོག,
,,27,2,《པེ་》《སྣར་》,པས།,
,,28,3,《པེ་》《སྣར་》,བསྲེག,
,,29,4,《པེ་》《སྣར་》,གྱི།,
,,30,5,《པེ་》,ནི་བསྲེག;《སྣར་》,མི་བསྲེག
,,31,6,《པེ་》《སྣར་》,པའི།,
,,32,7,《པེ་》《སྣར་》,གཅད།,
,,33,8,《པེ་》《སྣར་》,སྲེག,
,,34,9,《པེ་》,mནི།,
,,35,10,《སྣར་》,བརྟག,
,,36,11,《པེ་》《སྣར་》,བརྟག,
,262,37,1,《པེ་》《སྣར་》,ལུང་།,
,,38,2,《པེ་》《སྣར་》,pདོན་ལ།,
,,39,3,《པེ་》《སྣར་》,ལ།,
,,40,4,《པེ་》《སྣར་》,པ།,
,,41,5,《པེ་》《སྣར་》,པ།,
,,42,6,《པེ་》《སྣར་》,ཀྱི།,
,263,43,1,《སྣར་》,pདེ།,
,,44,2,《པེ་》《སྣར་》,བཞིན།,
,,45,3,《སྣར་》,ཁོང་དུ།,
,,46,4,《པེ་》《སྣར་》,རྗོད།,
,264,47,1,《པེ་》《སྣར་》,བ་ནི་དེའི།,
,,48,2,《པེ་》《སྣར་》,ན།,
,,49,3,《པེ་》《སྣར་》,རྗོད།,
,,50,4,《ཅོ་》,བཅད།,
,,51,5,《སྣར་》,བཟུང་།,
,,52,6,《སྣར་》,བཅད།,
,,53,7,《སྣར་》,mལ།,
,,54,8,《པེ་》《སྣར་》,གཏོགས།,
,265,55,1,《པེ་》,པར་གཟུང་།;《སྣར་》,པར་བཟུང་།
,,56,2,《པེ་》《སྣར་》,པའི།,
,,57,3,《པེ་》《སྣར་》,བར།,
,,58,4,《པེ་》《སྣར་》,གྱུར་པ།,
,,59,5,《སྣར་》,ལས།,
,,60,6,《པེ་》《སྣར་》,བར།,
,,61,7,《པེ་》《སྣར་》,པ།,
,,62,8,《པེ་》《སྣར་》,རྟགས།,
,,63,9,《པེ་》《སྣར་》,དྲབ།,
,,64,10,《སྣར་》,རྟོག,
,,65,11,《པེ་》《སྣར་》,བར།,
,,66,12,《པེ་》《སྣར་》,pཏུ།,
,266,67,1,《པེ་》《སྣར་》,pཔ།,
,,68,2,《པེ་》《སྣར་》,ལ།,
,,69,3,《པེ་》《སྣར་》,རིགས།,
,,70,4,《པེ་》《སྣར་》,pལ།,
,,71,5,《པེ་》《སྣར་》,དེ།,
,,72,6,《པེ་》《སྣར་》,ནས།,
,,73,7,《པེ་》《སྣར་》,དེ།,
,,74,8,《པེ་》《སྣར་》,ལྷས་བྱིན་དང་རྟ།,
,267,75,1,《པེ་》《སྣར་》,ཤུགས།,
,,76,2,《སྣར་》,དོ།།,
,,77,3,《པེ་》,mལ།,
,,78,4,《པེ་》《སྣར་》,ཕྲོད་པའི།,
,,79,5,《པེ་》《སྣར་》,པའི།,
,,80,6,《པེ་》,བའོ་ཞེས་ཟེར་རོ།།;《སྣར་》,བུའོ་ཞེས་ཟེར་རོ།
,,81,7,《པེ་》《སྣར་》,ནི།,
,,82,8,《པེ་》《སྣར་》,ནས།,
,,83,9,《པེ་》《སྣར་》,pནོ་ཞེས་བྱ་བ་ཡིན།,
,,84,10,《པེ་》《སྣར་》,mཔ།,
,,85,11,《པེ་》《སྣར་》,ཁྱབ།,
,,86,12,《པེ་》《སྣར་》,སུ་དང་རྒྱུད།,
,,87,13,《སྣར་》,འཇིགས།,
,,88,14,《པེ་》《སྣར་》,དགག,
,268,89,1,《པེ་》《སྣར་》,བར།,
,,90,2,《པེ་》《སྣར་》,མི།,
,,91,3,《པེ་》《སྣར་》,pདུ།,
,,92,4,《པེ་》《སྣར་》,གསལ།,
,,93,5,《པེ་》《སྣར་》,པར་སྤོང་།,
,269,94,1,《སྣར་》《ཅོ་》,mདང་།,
,,95,2,《སྣར་》,བཟུང་།,
,,96,3,《སྣར་》,བཅའ།,
,,97,4,《པེ་》《སྣར་》,རྟོགས་སོ།,
,,98,5,《པེ་》《སྣར་》,mདེ།,
,,99,6,《པེ་》《སྣར་》,pལྟར།,
,,100,7,《པེ་》《སྣར་》,པ།,
,270,101,1,《སྣར་》,པ།,
,,102,2,《པེ་》《སྣར་》,ཚུལ།,
,,103,3,《པེ་》《སྣར་》,ཟློས།,
,,104,4,《པེ་》《སྣར་》,སོ།,
,,105,5,《ཅོ་》,བརྗོད།,
,,106,6,《པེ་》《སྣར་》,གསལ་བའི་ཕྱིར།,
,,107,7,《པེ་》《སྣར་》,པ།,
,271,108,1,《པེ་》《སྣར་》,རྗོད།,
,,109,2,《སྣར་》,mསུ།,
,,110,3,《སྣར་》,pཔ།,
,,111,4,《ཅོ་》,བཟུང་།,
,,112,5,《པེ་》《སྣར་》,བཟུང་།,
,,113,6,《པེ་》《སྣར་》,pཔ།,
,,114,7,《པེ་》《སྣར་》,mརོ།,
,,115,8,《པེ་》《སྣར་》,ཆེས་པའི།,
,,116,9,《པེ་》《སྣར་》,ཏོ།,
,,117,10,《པེ་》《སྣར་》,པའི།,
,272,118,1,《པེ་》《སྣར་》,ཏེ།,
,,119,2,《པེ་》《སྣར་》,བརྗོད།,
,,120,3,《པེ་》《སྣར་》,སྒྲུབ།,
,,121,4,《པེ་》《སྣར་》,pཔ།,
,,122,5,《པེ་》《སྣར་》,གྲག་སྟེ།,
,,123,6,《པེ་》《སྣར་》,mདེ།,
,,124,7,《པེ་》《སྣར་》,གི།,
,,125,8,《པེ་》《སྣར་》,གྱིས།,
,,126,9,《པེ་》《སྣར་》,རྟགས།,
,,127,10,《པེ་》《སྣར་》,དུ།,
,,128,11,《པེ་》《སྣར་》,pཔ།,
,,129,12,《པེ་》《སྣར་》,pཐམས་ཅད་ཀྱི།,
,,130,13,《སྣར་》,མ།,
,,131,14,《པེ་》《སྣར་》,འདོར་བ།,
,,132,15,《པེ་》《སྣར་》,སྟེ།,
,,133,16,《པེ་》《སྣར་》,བསལ།,
,,134,17,《པེ་》《སྣར་》,འཕན།,
,,135,18,《པེ་》《སྣར་》,རྗོད།,
,,136,19,《སྣར་》,ནི།,
,273,137,1,《པེ་》《སྣར་》,པ་ན་རེ།,
,,138,2,《པེ་》《སྣར་》,pནོ།,
,,139,3,《པེ་》,བསམས།,
,,140,4,《པེ་》《སྣར་》,pནི།,
,,141,5,《ཅོ་》,mལྟ་བུ།,
,,142,6,《སྣར་》,བརྗོད།,
,,143,7,《པེ་》《སྣར་》,སྨྲ་བ།,
,274,144,1,《པེ་》《སྣར་》,རྗོད།,
,,145,2,《པེ་》《སྣར་》,ན།,
,,146,3,《པེ་》《སྣར་》,པའོ།,
,,147,4,《པེ་》《སྣར་》,སྤྱོད།,
,,148,5,《པེ་》《སྣར་》,དེ་ཞེས་བརྗོད་པར་བྱེད་དེ།,
,,149,6,《པེ་》《སྣར་》,རྗོད།,
,,150,7,《པེ་》《སྣར་》,བྱས་པ་ལ།,
,,151,8,《པེ་》《སྣར་》,གྲག་སྟེ།,
,,152,9,《པེ་》,mན།,
,275,153,1,《པེ་》《སྣར་》,གིས།,
,,154,2,《ཅོ་》,ཏེ།,
,,155,3,《པེ་》《སྣར་》,གྱི།,
,,156,4,《པེ་》《སྣར་》,དོ།,
,,157,5,《པེ་》《སྣར་》,pམ།,
,,158,6,《པེ་》《སྣར་》,ཡང་།,
,,159,7,《པེ་》《སྣར་》,པོ།,
,,160,8,《པེ་》《སྣར་》,ཏེ།,
,,161,9,《པེ་》《སྣར་》,བ།,
,,162,10,《པེ་》《སྣར་》,རིགས།,
,,163,11,《པེ་》《སྣར་》,རྗོད།,
