མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
མཉམ་ཉིད་གཞིའི་སྒྲོན་མ་ཞེས་བྱ་བ། ,1690,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》༄། མཉམ་ཉིད་གཞིའི་སྒྲོན་མ་ཞེས་བྱ་བ་བཞུགས་སོ། ། 
,,3,2,《པེ་》《སྣར་》,པཱ།
,1691,4,1,《པེ་》《སྣར་》,བཟུང་།
,,5,2,《པེ་》《སྣར་》,ཀྱིས།
,,6,3,《པེ་》《སྣར་》,རྀ་ལྀ་ལྀ།
,,7,4,《པེ་》《སྣར་》,ཧཾ།
,,8,5,《པེ་》《སྣར་》,པར།
,,9,6,《སྣར་》,ཚིགས།
,,10,7,《པེ་》《སྣར་》,གེ།
,,11,8,《པེ་》《སྣར་》,ཙ།
,,12,9,《པེ་》《སྣར་》,བྱུང་།
,,13,10,《པེ་》《སྣར་》,ཡིས།
,,14,11,《པེ་》《སྣར་》,ཧཱུཾ་གི་འོག་གིས།
,,15,12,《པེ་》《སྣར་》,སྡུས།
,1692,16,1,《པེ་》《སྣར་》,བཟུང་།
,,17,2,《པེ་》《སྣར་》,བྱས།
,,18,3,《པེ་》《སྣར་》,སྟན།
,,19,4,《པེ་》《སྣར་》,སྔག
