མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
རྣལ་འབྱོར་ལམ་གྱི་སྒྲོན་མ་ཞེས་བྱ་བ། ,1699,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》༄། རྣལ་འབྱོར་ལམ་གྱི་སྒྲོན་མ་ཞེས་བྱ་བ་བཞུགས་སོ།། 
,,3,2,《པེ་》《སྣར་》,དྷི་པཾ་ནཱ།
,,4,3,《པེ་》《སྣར་》,སྟན།
,,5,4,《པེ་》《སྣར་》,ལའི།
,,6,5,《པེ་》《སྣར་》,བྱ་བའི།
,,7,6,《པེ་》《སྣར་》,དཀའ།
,1700,8,1,《པེ་》《སྣར་》,སྒོམ།
,,9,2,《པེ་》《སྣར་》,བཞན།
,,10,3,《པེ་》《སྣར་》,སྤྱོད།
,,11,4,《པེ་》《སྣར་》,གཡེངས།
,,12,5,《པེ་》《སྣར་》,བར།
,,13,6,《པེ་》《སྣར་》,mསྡུག་བསྔལ་ཞི་བར་བྱེད་པ།
,,14,7,《པེ་》《སྣར་》,ཤྲཱིས།
