མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
སངས་རྒྱས་རྗེས་སུ་དྲན་པའི་འགྲེལ་པ།,753,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ལ་༄༅། །དཀོན་མཆོག་རྗེས་དྲན་གྱི་འགྲེལ་པ་འཕགས་པ་ཐོགས་མེད་ཀྱིས་མཛད་པ་བཞུགས་སོ། །ཞེས་འཁོད།,
,,3,2,《པེ་》,བུདྡྷཱ་ནུ་སྨི།;《སྣར་》,བུདྡྷ་ནུ་སྨྲྀ།
,,4,3,《པེ་》《སྣར་》,སྒྲུབ།,
,754,5,1,《སྣར་》,ཀྱིས།,
,,6,2,《པེ་》,དེས་མངོག;《སྣར་》,དེས་མངོན།
,,7,3,《པེ་》《སྣར་》,དགུ་ཡིས།,
,755,8,1,《པེ་》《སྣར་》,ལ་དམིགས་པ།,
,,9,2,《སྣར་》,བརྙེད།,
,756,10,1,《པེ་》《སྣར་》,ཀྱིས།,
,,11,2,《པེ་》《སྣར་》,གཟུང་།,
,,12,3,《པེ་》《སྣར་》,ལས།,
,,13,4,《པེ་》《སྣར་》,mཀྱིས།,
,,14,5,《པེ་》《སྣར་》,མ།,
,,15,6,《པེ་》《སྣར་》,དེས།,
,757,16,5,《པེ་》《སྣར་》,པས།,
,,17,2,《པེ་》《སྣར་》,mསེམས།,
,,18,3,《སྣར་》,བཏན།,
,758,19,1,《སྣར་》,བྱ།,
,,20,2,《པེ་》,ལོགས།;《སྣར་》,ལོག
,,21,3,《པེ་》《སྣར་》,པའང་།,
,,22,4,《པེ་》,སོ་སྐྱེ་བོར།;《སྣར་》,སོ་སྐྱེ་བར།
,,23,5,《པེ་》《སྣར་》,ཀྱི།,
,,24,6,《པེ་》《སྣར་》,pལ།,
,759,25,1,《པེ་》《སྣར་》,འགྱུར།,
,,26,2,《པེ་》《སྣར་》,སུ་ནི།,
,,27,3,《པེ་》《སྣར་》,བར།,
,,28,4,《པེ་》《སྣར་》,བར།,
,,29,5,《པེ་》《སྣར་》,འཕྲེང་།,
,,30,6,《པེ་》《སྣར་》,སྲུང་།,
,,31,7,《པེ་》《སྣར་》,mབ།,
,760,32,1,《པེ་》《སྣར་》,ལས།,
,,33,2,《པེ་》,ནོ།།;《སྣར་》,ཏོ།།
,,34,3,《པེ་》《སྣར་》,mཡིན།,
,,35,4,《པེ་》《སྣར་》,བཟུང་།,
,,36,5,《པེ་》《སྣར་》,སྒྲ།,
,,37,6,《པེ་》《སྣར་》,སྒྲུབ།,
,,38,7,《པེ་》《སྣར་》,དེ་ཡང་།,
,761,39,1,《པེ་》《སྣར་》,mལ།,
,,40,2,《པེ་》《སྣར་》,ཇི།,
,,41,3,《པེ་》《སྣར་》,སྐྱེན།,
,,42,4,《སྣར་》,ལྷས།,
,,43,5,《སྣར་》,ལྷས།,
,,44,6,《པེ་》《སྣར་》,ཅེས།,
,,45,7,《པེ་》《སྣར་》,mནི།,
,,46,8,《པེ་》《སྣར་》,ཀྱི།,
,,47,9,《པེ་》《སྣར་》,སྦྱར།,
,,48,10,《པེ་》《སྣར་》,སྦྱར།,
,,49,11,《པེ་》《སྣར་》,pཔ།,
,,50,12,《སྣར་》,ལྷས།,
,,51,13,《སྣར་》,ལོགས།,
,762,52,1,《པེ་》《སྣར་》,དྲཱ།,
,,53,2,《པེ་》,པའོ།,
