མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
ཡེ་ཤེས་དབང་ཕྱུག་མའི་སྒྲུབ་ཐབས།,276,2,1,《པེ་》《སྣར་》,ཡེ་ཤེས་དབང་ཕྱུག་མའི་སྒྲུབ་ཐབས་བཞུགས་སོ།།,,,,,,མཚན་བྱང་འདི་གཞུང་ལས་བླངས་ཏེ་བཀོད་ཅིང་།
,,3,2,《པེ་》《སྣར་》,ནི།,,,,,,
,,4,3,《པེ་》《སྣར་》,ནཱཾ།,,,,,,
,,5,4,《སྣར་》,སྒྲུབས།,,,,,,
,,6,5,《པེ་》《སྣར་》,བསྒོམ།,,,,,,
,277,7,1,《པེ་》《སྣར་》,ཨཿཛ་ཧྭི།,,,,,,
,,8,2,《པེ་》《སྣར་》,pཿ།,,,,,,
,,9,3,《སྣར་》,ཨརྒྷཾ།,,,,,,
,,10,4,《པེ་》《སྣར་》,སྔགས།,,,,,,
,,11,5,《པེ་》《སྣར་》,pབ།,,,,,,
,,12,6,《པེ་》《སྣར་》,སྲུང་།,,,,,,
,,13,7,《ཅོ་》,ཁྱབ།,,,,,,
,,14,8,《པེ་》《སྣར་》,དགྱིས།,,,,,,
,,15,9,《པེ་》《སྣར་》,བསྒོམ་སྟེ།,,,,,,
,,16,10,《པེ་》《སྣར་》,ཤྲིཾ།,,,,,,
,,17,11,《པེ་》《སྣར་》,pདང་།,,,,,,
,,18,12,《པེ་》《སྣར་》,དྲིའིའོ།,,,,,,
,,19,13,《པེ་》《སྣར་》,འདུག།,,,,,,
,,20,14,《པེ་》《སྣར་》,མེའིའོ།,,,,,,
,,21,15,《པེ་》《སྣར་》《ཅོ་》,བཞག,,,,,,
,,22,16,《པེ་》《སྣར་》,པསྠཱ།,,,,,,
,,23,17,《པེ་》《སྣར་》,ཎཱཾ།,,,,,,
,,24,18,《སྣར་》,ཡ།,,,,,,
,,25,19,《པེ་》《སྣར་》,ཅཱུརྱ་པཱུ་ཛོ་པསྠཱ།,,,,,,
,,26,20,《པེ་》《སྣར་》,ཨཱཏྨ་ཎཱཾ།,,,,,,
,,27,21,《པེ་》《སྣར་》,བ་རི་ཏྲཱ།,,,,,,
,,28,22,《པེ་》《སྣར་》,ཎཱཾ་ནི་རྱ།,,,,,,
,278,29,1,《ཅོ་》,mཧོ།,,,,,,
,,30,2,《ཅོ་》,mཏུ།,,,,,,
,,31,3,《པེ་》《སྣར་》,pཔ།,,,,,,
,,32,4,《པེ་》《སྣར་》,mཡས།,,,,,,
,,33,5,《པེ་》《སྣར་》,ཡིས།,,,,,,
,,34,6,《པེ་》《སྣར་》,བསྡུ་བ།,,,,,,
,,35,7,《པེ་》《སྣར་》,བྱ།,,,,,,
,,36,8,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,279,37,1,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,38,2,《པེ་》《སྣར་》,མགོད།,,,,,,
,,39,3,《པེ་》《སྣར་》,བསྒོམས།,,,,,,
,,40,4,《པེ་》《སྣར་》,སྟོངས།,,,,,,
,,41,5,《པེ་》《སྣར་》,mཿ།  ,,,,,,(འདིའི་འོག་ཏུ་འབྱུང་བའི་ཤུདྡྷ་རྣམས་《པེ་》《སྣར་》ལ་རྣམ་བཅད་མེད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,42,6,《པེ་》《སྣར་》,དྷརྨཿ། ,,,,,,
,,43,7,《པེ་》《སྣར་》,m྅། ,,,,,, (འདིའི་འོག་ཏུ་འབྱུང་བའི་྅་རྣམས་《པེ་》《སྣར་》ལ་མེད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,44,8,《པེ་》《སྣར་》,དཔས།,,,,,,
,,45,9,《པེ་》《སྣར་》,mལོ།,,,,,,
,,46,10,《པེ་》《སྣར་》,བྱུང་།,,,,,,
,,47,11,《པེ་》《སྣར་》,དྷརྨ།,,,,,,
,,48,12,《པེ་》《སྣར་》,ཞུགས།,,,,,,
,,49,13,《པེ་》《སྣར་》,མ་ཨ་ཧཾ།,,,,,,
,280,50,1,《པེ་》《སྣར་》,གྱིས་བརྒྱན།,,,,,,
,,51,2,《པེ་》《སྣར་》,དང་།,,,,,,
,,52,3,《པེ་》《སྣར་》,ཨཾ།,,,,,,
,,53,4,《པེ་》《སྣར་》,དྷརྨ།,,,,,,
,,54,5,《པེ་》《སྣར་》,mཨ།,,,,,,
,,55,6,《པེ་》《སྣར་》,ཀ།,,,,,,
,,56,7,《པེ་》《སྣར་》,བྷ་ཀྵེ་ཨ།,,,,,,
,,57,8,《པེ་》《སྣར་》,ཀའི།,,,,,,
,,58,9,《པེ་》《སྣར་》,བཞག,,,,,,
,281,59,1,《པེ་》《སྣར་》,གནས།,,,,,,
,,60,2,《པེ་》《སྣར་》,mདམར་པོ་དང་།,,,,,,
,,61,3,《པེ་》《སྣར་》,mརིམ་པ།,,,,,,
,,62,4,《པེ་》《སྣར་》,བུ།,,,,,,
,,63,5,《པེ་》《སྣར་》,ལ།,,,,,,
,,64,6,《པེ་》《སྣར་》,པས་གསང་བའི།,,,,,,
,,65,7,《པེ་》《སྣར་》,པའི།,,,,,,
,,66,8,《པེ་》《སྣར་》,mཔས།,,,,,,
,,67,9,《པེ་》《སྣར་》,གི་རྣམ་པ།,,,,,,
,282,68,1,《པེ་》《སྣར་》,བྱུང་།,,,,,,
,,69,2,《པེ་》《སྣར་》,བྱུང་།,,,,,,
,,70,3,《པེ་》《སྣར་》,འོང་སྟེ།,,,,,,
,,71,4,《པེ་》《སྣར་》,གསུམ།,,,,,,
,,72,5,《པེ་》《སྣར་》,mལས།,,,,,,
,,73,6,《པེ་》《སྣར་》,pདང་།,,,,,,
,,74,7,《པེ་》《སྣར་》,མའོ།,,,,,,
,,75,8,《པེ་》《སྣར་》,ཕྲོག,,,,,,
,283,76,1,《པེ་》《སྣར་》,mཿ།,,,,,,
,,77,2,《པེ་》《སྣར་》,mམཐེ་བོང་དང་དབུ་མ།,,,,,,
,,78,3,《ཅོ་》,mནི།,,,,,,
,,79,4,《པེ་》《སྣར་》,mརྩ་བའི།,,,,,,
,,80,5,《པེ་》《སྣར་》,རྀ།,,,,,,
,,81,6,《པེ་》《སྣར་》,ལྀ།,,,,,,
,,82,7,《པེ་》《སྣར་》,pནི།,,,,,,
,,83,8,《ཅོ་》,ཕྲེཾ།,,,,,,
,,84,9,《པེ་》,ཕོཾ།,,,,,,
,,85,10,《པེ་》《སྣར་》,རྒོད།,,,,,,
,284,86,1,《པེ་》《སྣར་》,པར།,,,,,,
,,87,2,《པེ་》《སྣར་》,གཟུང་།,,,,,,
,,88,3,《པེ་》《སྣར་》,མཐེ།,,,,,,
,,89,4,《པེ་》《སྣར་》,གྷཎྚ།,,,,,,
,,90,5,《པེ་》《སྣར་》,པ་ར་མི་ཏཱ་ནཱ་ད་སྭ་བྷ་བེ།,,,,,,
,,91,6,《པེ་》《སྣར་》,ཧྲི།,,,,,,
,,92,7,《པེ་》《སྣར་》,བསིལ།,,,,,,
,,93,8,《པེ་》《སྣར་》,བགྱིང་།,,,,,,
,285,94,1,《པེ་》《སྣར་》,བོར།,,,,,,
,,95,2,《པེ་》《སྣར་》,བྱས།,,,,,,
,,96,3,《པེ་》《སྣར་》,ཕྱར།,,,,,,
,,97,4,《པེ་》《སྣར་》,mཿ།,,,,,,
,,98,5,《པེ་》《སྣར་》,པར།,,,,,,
,,99,6,《པེ་》《སྣར་》,བ་བསམ།,,,,,,
,,100,7,《པེ་》《སྣར་》,ལ།,,,,,,
,,101,8,《པེ་》《སྣར་》,ཨི།  དྷརྨ་མུ་ན་ཧི།,,,,,,
,286,102,1,《པེ་》《སྣར་》,བཏྨ་ན་ཀུཀྐ་ཙཎྜ་ཁུ་ཨེཀྐ་སྭཱ།,,,,,,
,,103,2,《པེ་》《སྣར་》,mཿ།,,,,,,
,,104,3,《པེ་》《སྣར་》,གི།,,,,,,
,,105,4,《པེ་》《སྣར་》,གིས།,,,,,,
,,106,5,《པེ་》《སྣར་》,དྷརྨ།,,,,,,
,,107,6,《པེ་》《སྣར་》,mརྡོ་རྗེ།,,,,,,
,,108,7,《པེ་》《སྣར་》,རྩེགས།,,,,,,
