མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །སྤྱོད་པ་བསྡུས་པའི་སྒྲོལ་མ།,161,2,1,《པེ་》《སྣར་》,སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ་སློབ་དཔོན་ཆེན་པོ་ཨརྱ་དེ་བའི་ཞལ་སྔ་ནས་མཛད་པ་བཞུགས་སོ།།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,ཙརྱ།,,,,,,
,,4,3,《པེ་》《སྣར་》,པཱ།,,,,,,
,,5,4,《པེ་》《སྣར་》,རྟོག,,,,,,
,162,6,1,《པེ་》《སྣར་》,mསོགས་པ།,,,,,,
,,7,2,《སྣར་》,བ།,,,,,,
,,8,3,《པེ་》,པ།,,,,,,
,,9,4,《པེ་》《སྣར་》,pཐོག་མ།,,,,,,
,,10,5,《པེ་》《སྣར་》,pདེ་བས་ན།,,,,,,
,,11,6,《པེ་》《སྣར་》,གིས།,,,,,,
,163,12,1,《པེ་》《སྣར་》,ནས།,,,,,,
,,13,2,《པེ་》《སྣར་》,pཀྱང་།,,,,,,
,,14,3,《པེ་》,mདེ།,,,,,,
,164,15,1,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,16,2,《པེ་》《སྣར་》,mནི།,,,,,,
,,17,3,《པེ་》《སྣར་》,pཔ།,,,,,,
,,18,4,《པེ་》《སྣར་》,pམེད་པ།,,,,,,
,165,19,1,《པེ་》《སྣར་》,པ་སྟེ།,,,,,,
,,20,2,《པེ་》《སྣར་》,pཀུན་རྫོབ་ཀྱི་བདེན་པའི་རྐྱེན་ཅན་ནོ།།,,,,,,
,,21,3,《སྣར་》,mདེ་ནི།,,,,,,
,,22,4,《སྣར་》,ཀྱི།,,,,,,
,166,23,1,《པེ་》《སྣར་》,པར་འགྱུར་ཏེ།,,,,,,
,,24,2,《པེ་》《སྣར་》,འབྲའི།,,,,,,
,,25,3,《པེ་》《སྣར་》,mརྣམ་པར།,,,,,,
,,26,4,《སྣར་》,mཅེས།,,,,,,
