མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
འཁོར་བ་ལས་ཡིད་ངེས་པར་འབྱུང་བར་བྱེད་པ་ཞེས་བྱ་བའི་གླུ། , ,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》འཁོར་བ་ལས་ཡིད་ངེས་པར་འབྱུང་བར་བྱེད་པ་ཞེས་བྱ་བའི་གླུ་བཞུགས་སོ།།,
,,3,2,《པེ་》,སྃ་ས་ར་མཱ་ན་ནི་ཡ།,《སྣར་》,སཾ་ད་ར་མཱ་ན་ནི་ཡ།
,,4,3,《པེ་》《སྣར་》,ཏེ།,
,,5,4,《པེ་》《སྣར་》,དགུ།,
,1656,6,1,《པེ་》《སྣར་》,གཟུང་ནས་མི་སྐྱོབ་པ།,
,,7,2,《སྣར་》,གསུངས།,
,,8,3,《པེ་》《སྣར་》,བོས།,
,,9,4,《པེ་》《སྣར་》,ཉམས།,
,1657,10,1,《པེ་》《སྣར་》,འགྱུར།,
,,11,2,《པེ་》《སྣར་》,བྱས།,
,,12,3,《པེ་》《སྣར་》,mདང་འདི།,
,,13,4,《པེ་》《སྣར་》,ཆོས།,
,,14,5,《པེ་》《སྣར་》,ནི་གནོད་མ།,
,,15,6,《པེ་》《སྣར་》,འདྲ།,
,1658,16,1,《པེ་》《སྣར་》,ལྟས།,
,,17,2,《པེ་》《སྣར་》,བསམ།,
,,18,3,《པེ་》《སྣར་》,བརྡའ་སྤྲོ།,
,,19,4,《པེ་》《སྣར་》,གྱི།,
,,20,5,《པེ་》《སྣར་》,mམ།,
,,21,6,《པེ་》《སྣར་》,སྤང།,
,,22,7,《པེ་》《སྣར་》,སྤང།,
,,23,8,《པེ་》《སྣར་》,སྤང།,
,,24,9,《པེ་》《སྣར་》,བསྟི།,
,,25,10,《པེ་》《སྣར་》,mསློབ་མ་ཡང་སློབ་ཆོས་ཀྱི་འབྲེལ་པ་སྤངས།,
,,26,11,《པེ་》《སྣར་》,རྟག,
,,27,12,《པེ་》《སྣར་》,བསམ།,
,,28,13,《པེ་》《སྣར་》,བསམ།,
,,29,14,《པེ་》《སྣར་》,བརྟག,
,,30,15,《པེ་》《སྣར་》,ཆོས།,
,1659,31,1,《པེ་》《སྣར་》,གཏབ།,
,,32,2,《པེ་》《སྣར་》,ཞབས།,
,,33,3,《པེ་》《སྣར་》,pངས།  pངེས,
,,34,4,《པེ་》《སྣར་》,pཆེན་པོ།,
,,35,5,《པེ་》《སྣར་》,འབྲི་ཀ་མཱ།,
,,36,6,《པེ་》《སྣར་》,པའོ།,
