མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,1708,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག་འཇམ་དཔལ་སྨྲ་བའི་སེང་གེའི་མན་ངག་བཞུགས་སོ། 
,,3,2,《པེ་》《སྣར་》,ཏད་ཏྭ།
,,4,3,《པེ་》《སྣར་》,བལྟ་བར།
,,5,4,《སྣར་》,འགགས།
,,6,5,《པེ་》《སྣར་》,དོན།
,1709,7,1,《པེ་》《སྣར་》,བྷུ།
,,8,2,《པེ་》《སྣར་》,རྟོག།
,,9,3,《པེ་》《སྣར་》,བྱུང་།
,,10,4,《པེ་》《སྣར་》,ཟེར།
,,11,5,《པེ་》《སྣར་》,བཅུར།
,,12,6,《པེ་》《སྣར་》,རུས།
,,13,7,《པེ་》《སྣར་》,བཾ།
,,14,8,《པེ་》《སྣར་》,སྤོང་།
,,15,9,《པེ་》《སྣར་》,བརླབས།
,1710,16,1,《པེ་》《སྣར་》,འཚེ།
,,17,2,《པེ་》《སྣར་》,འཁྲུ།,,
,,18,3,《པེ་》《སྣར་》,བཞག,,
,,19,4,《པེ་》《སྣར་》,བརྟེན།,,
,,20,5,《སྣར་》,ཐོགས།,,
,,21,6,《པེ་》《སྣར་》,སྐང་།,,
,,22,7,《པེ་》《སྣར་》,འཐོབ།,,
,,23,8,《པེ་》《སྣར་》,mཞི་བྱེད།,,
,,24,9,《པེ་》《སྣར་》,ཤྲཱིས།,,
,,25,10,《པེ་》《སྣར་》,པའོ།,,
,,26,11,《པེ་》,pསརྦ་མངྒཱ་ལ།། །།,,
