མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བའི་རོའི་སྦྱིན་སྲེག་གི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,1301,2,1,《པེ་》《སྣར་》,ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བའི་རོའི་སྲེག་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཆོས་ཀྱི་གྲགས་པས་མཛད་པ་བཞུགས་སོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,mགི།,,,,,,
,,4,3,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,5,4,《པེ་》《སྣར་》,བསྲེག,,,,,,
,,6,5,《པེ་》《སྣར་》,པོ།,,,,,,
,,7,6,《པེ་》《སྣར་》,mདང་།,,,,,,
,1302,8,1,《པེ་》《སྣར་》,བཟང་པོ་ལ།,,,,,,
,,9,2,《པེ་》《སྣར་》,ལྟ།,,,,,,
,,10,3,《པེ་》《སྣར་》,འདུས།,,,,,,
,,11,4,《པེ་》《སྣར་》,mས།,,,,,,
,,12,5,《པེ་》《སྣར་》,pལྡན།,,,,,,
,,13,6,《པེ་》《སྣར་》,བྱ།,,,,,,
,,14,7,《པེ་》《སྣར་》,བསམ།,,,,,,
,,15,8,《པེ་》《སྣར་》,ལ།,,,,,,
,,16,9,《པེ་》《སྣར་》,mསྟེ་ལྟོ་བར་བསམས་ན།,,,,,,
,,17,10,《པེ་》《སྣར་》,འཕོངས།,,,,,,
,,18,11,《པེ་》《སྣར་》,mལྟར།,,,,,,
,,19,12,《པེ་》《སྣར་》,པས།,,,,,,
,1303,20,1,《པེ་》《སྣར་》,སྔར།,,,,,,
,,21,2,《པེ་》《སྣར་》,སྐྲད།,,,,,,
,,22,3,《པེ་》《སྣར་》,བསྒྲག,,,,,,
