མཚན་བྱང།,ཤོག་གྲངས། ,1,མཆན་གྲངས། ,དཔར་མ། ,མཆན།
,100,2,1,《པེ་》《སྣར་》,མཉམས་ཏེ།
,,3,2,《པེ་》《སྣར་》,ཀྱི།
,101,4,1,《པེ་》《སྣར་》,ལ།
,,5,2,《པེ་》《སྣར་》,རྡུབ།
,,6,3,《པེ་》《སྣར་》,གང་།
,,7,4,《པེ་》《སྣར་》,བརླབས།
,,8,5,《པེ་》《སྣར་》,གྲི།
,,9,6,《པེ་》《སྣར་》,ཧཱ།
,102,10,1,《པེ་》《སྣར་》,པ།
,,11,2,《པེ་》《སྣར་》,བརྒྱན།
,,12,3,《པེ་》《སྣར་》,mཀྱིས།
,,13,4,《པེ་》《སྣར་》,མོའི།
,,14,5,《སྣར་》,བདབ།
,,15,6,《པེ་》《སྣར་》,དུར།
,,16,7,《པེ་》《སྣར་》,བཞུག་གོ།
,,17,8,《པེ་》《སྣར་》,ལ།
,,18,9,《པེ་》《སྣར་》,ཐབས།
,,19,10,《པེ་》《སྣར་》,mལག་པ།
,,20,11,《པེ་》《སྣར་》,རིན་ཏི།
,,21,12,《པེ་》《སྣར་》,གཟུངས།
,,22,13,《པེ་》《སྣར་》,པར།
,103,23,1,《པེ་》《སྣར་》,pཕྱོགས་བཅུར་ཁྱབ་པར་བལྟས་ཏེ།
,,24,2,《པེ་》《སྣར་》,གཞིའི།
,,25,3,《པེ་》《སྣར་》,ལི།
,,26,4,《པེ་》《སྣར་》,ཐབས།
,,27,5,《པེ་》《སྣར་》,སྔགས།
,,28,6,《པེ་》《སྣར་》,ཐབས།
,,29,7,《པེ་》《སྣར་》,བརྗོད་ཅིང་།
,,30,8,《སྣར་》,དེ།
,,31,9,《པེ་》《སྣར་》,གོང་།
,,32,10,《པེ་》《སྣར་》,ཁྲུས་བྱེད།
,,33,11,《པེ་》《སྣར་》,mའབྲུ།
,,34,12,《པེ་》《སྣར་》,མོའི།
,,35,13,《པེ་》《སྣར་》,བཤིབས།
,,36,14,《པེ་》《སྣར་》,ན།
,,37,15,《པེ་》《སྣར་》,དྷ་ར་ན།
,,38,16,《པེ་》《སྣར་》,mཔ།
,104,39,1,《པེ་》《སྣར་》,ཏ།
,,40,2,《པེ་》《སྣར་》,བཛྲ།
,,41,3,《པེ་》《སྣར་》,བུ།
,,42,4,《པེ་》《སྣར་》,དུཥྚན།
,,43,5,《པེ་》《སྣར་》,བསྟིམས།
,,44,6,《པེ་》《སྣར་》,བཤིབས།
,,45,7,《པེ་》《སྣར་》,ཀི་ལ་བནྡྷ།
,,46,8,《པེ་》《སྣར་》,བཤིབས།
,,47,9,《པེ་》《སྣར་》,བཤིབས།
,105,48,1,《པེ་》《སྣར་》,བཤིབས་ཏེ་བསྒྲེངས།
,,49,2,《པེ་》《སྣར་》,རཀྵ།
,,50,3,《པེ་》《སྣར་》,བསྐྱོད།
,,51,4,《པེ་》《སྣར་》,བར།
,,52,5,《པེ་》《སྣར་》,ཨ།
,,53,6,《པེ་》《སྣར་》,mདྷ།
,,54,7,《པེ་》《སྣར་》,མུག་ཏ།
,,55,8,《པེ་》《སྣར་》,ཙ། ཛ།
,,56,9,《པེ་》《སྣར་》,སྨ་ར། ཨ་གདྡྷ་ཨ་གདྡྷ།
,,57,10,《པེ་》《སྣར་》,བསྐྱོད།
,,58,11,《པེ་》《སྣར་》,བཤིབས།
,,59,12,《པེ་》《སྣར་》,བ་ཐིང་ཐོ་གཙུགས།
,,60,13,《པེ་》《སྣར་》,ན་ལི།
,,61,14,《པེ་》《སྣར་》,དུཥྚན།
,,62,15,《པེ་》《སྣར་》,བཏང་།
,,63,16,《པེ་》《སྣར་》,ཏེ།
,,64,17,《པེ་》《སྣར་》,བཤིབས།
,,65,18,《པེ་》《སྣར་》,དྲང་བའོ།
,,66,19,《པེ་》《སྣར་》,བཏང་།
,106,67,1,《པེ་》《སྣར་》,བཤིབས།
,,68,2,《པེ་》《སྣར་》,བཤིབས།
,,69,3,《པེ་》《སྣར་》,ཤུ།
,,70,4,《པེ་》《སྣར་》,བསྐྱོད།
,,71,5,《པེ་》《སྣར་》,mཿ།
,,72,6,《པེ་》《སྣར་》,བུད་དྷ་ནན།
,,73,7,《པེ་》《སྣར་》,ཏི།
,,74,8,《པེ་》《སྣར་》,བཤིབས།
,,75,9,《པེ་》《སྣར་》,mདང་།
,,76,10,《པེ་》《སྣར་》,བཀྲོལ།
,,77,11,《པེ་》《སྣར་》,mཿ།
,,78,12,《པེ་》《སྣར་》,བྷུ།
,,79,13,《པེ་》《སྣར་》,རྒྱ་པྲ་ཏ།
,,80,14,《པེ་》《སྣར་》,པ།
