མཚན་བྱང།,ཤོག་གྲངས། ,1,མཆན་གྲངས། ,དཔར་མ། ,མཆན།,
,110,2,1,《པེ་》《སྣར་》,པ།,
,,3,2,《པེ་》《སྣར་》,བསྟོད།,
,,4,3,《པེ་》《སྣར་》,པ།,
,,5,4,《པེ་》《སྣར་》,སྤྲུ།,
,,6,5,《པེ་》《སྣར་》,བརྒྱན།,
,,7,6,《པེ་》《སྣར་》,གདབ།,
,,8,7,《པེ་》《སྣར་》,བཞུག,
,111,9,1,《པེ་》《སྣར་》,བཞུགས།,
,,10,2,《པེ་》《སྣར་》,གཞར།,
,,11,3,《སྣར་》,བརྒྱན།,
,,12,4,《པེ་》《སྣར་》,pཉིད།,
,,13,5,《པེ་》《སྣར་》,བརྟེན།,
,,14,6,《པེ་》《སྣར་》,mཔ།,
,,15,7,《པེ་》,ཧྲི།,《སྣར་》,mཧྲཱི།
,,16,8,《པེ་》《སྣར་》,བསྟན།,
,112,17,1,《པེ་》《སྣར་》,ཆེ།,
,,18,2,《པེ་》《སྣར་》,ཨཾ།,
,,19,3,《པེ་》《སྣར་》,ཧ།,
,,20,4,《པེ་》《སྣར་》,གི།,
,,21,5,《པེ་》《སྣར་》,བཀླག,
,,22,6,《པེ་》《སྣར་》,བསྙུང་།,
,,23,7,《པེ་》《སྣར་》,གི།,
,,24,8,《པེ་》《སྣར་》,གཅིག,
,,25,9,《པེ་》《སྣར་》,བརླབས།,
,,26,10,《པེ་》《སྣར་》,mསྐྱོང་།,
,,27,11,《པེ་》《སྣར་》,བསྲུང་།,
,113,28,1,《པེ་》《སྣར་》,དུར།,
,,29,2,《པེ་》《སྣར་》,སྨན་པ།,
,,30,3,《པེ་》《སྣར་》,བཏང་།,
