མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,དཔར་མ།,མཆན།
,213,2,1,《པེ་》《སྣར་》,ཀྱི་ཐ།
,214,3,1,《པེ་》《སྣར་》,mཔ།
,,4,2,《པེ་》《སྣར་》,པ།
,,5,3,《པེ་》《སྣར་》,mམོ།
,,6,4,《པེ་》《སྣར་》,བཏང་།
,,7,5,《པེ་》《སྣར་》,ཀྱི།
,,8,6,《པེ་》《སྣར་》,ན།
,,9,7,《པེ་》《སྣར་》,འབུལ།
,,10,8,《པེ་》《སྣར་》,བགྱིའོ།
,215,11,1,《པེ་》《སྣར་》,mསྐུ་མདོག་དམར་སྐྱ་འོད་ཟེར་འབར། །ཕྱག་མཚན་པདྨ་ཞགས་པ་བསྣམས། །སྤྱི་གཙུག་ཡིད་བཞིན་ནོར་བུ་དང་། །སྦྲུལ་མགོ་བདུན་གྱི་གདེངས་ཀ་ཅན། །སྦྲུལ་དང་རིན་ཆེན་རྒྱན་གྱིས་བརྒྱན། །དེ་ལ་མཆོད་ཅིང་བསྟོད་པར་བགྱི། །ཤར་ལྷོར་ཀླུ་རྒྱལ་ནོར་རྒྱས་ནི། །ཞལ་གཅིག་ཕྱག་གཉིས་རོ་སྨད་སྦྲུལ། །
,,12,2,《པེ་》《སྣར་》,སུ་ན།
,216,13,1,《པེ་》《སྣར་》,སྡུག
,,14,2,《པེ་》《སྣར་》,དང་ནི།
,,15,3,《པེ་》《སྣར་》,མང་།
,,16,4,《པེ་》《སྣར་》,ཀྱི།
,,17,5,《པེ་》《སྣར་》,བཏང་།
,,18,6,《པེ་》《སྣར་》,mཆུས།
